% run    par  time               x                   y
  1      1    0.35618E-02    0.3925383565E+01    0.2170277346E+01


% run    par  time               x                   y
  2      1    0.71237E-02    0.3550501881E+01    0.1916080753E+01


% run    par  time               x                   y
  3      1    0.10685E-01    0.3345290268E+01    0.2119332998E+01


% run    par  time               x                   y
  4      1    0.14247E-01    0.3075758004E+01    0.2007586341E+01


% run    par  time               x                   y
  5      1    0.17809E-01    0.3021782357E+01    0.1766318712E+01


% run    par  time               x                   y
  6      1    0.21371E-01    0.2995350870E+01    0.1511600179E+01


% run    par  time               x                   y
  7      1    0.24933E-01    0.3116565006E+01    0.1200309813E+01


% run    par  time               x                   y
  8      1    0.28495E-01    0.3257521083E+01    0.1255353790E+01


% run    par  time               x                   y
  9      1    0.32056E-01    0.3143570450E+01    0.1541755892E+01


% run    par  time               x                   y
 10      1    0.35618E-01    0.2938162843E+01    0.1717585140E+01


% run    par  time               x                   y
 11      1    0.39180E-01    0.2580392667E+01    0.1875078078E+01


% run    par  time               x                   y
 12      1    0.42742E-01    0.2512329349E+01    0.2002901948E+01


% run    par  time               x                   y
 13      1    0.46304E-01    0.2788030013E+01    0.2105262045E+01


% run    par  time               x                   y
 14      1    0.49866E-01    0.2693312680E+01    0.2293294051E+01


% run    par  time               x                   y
 15      1    0.53427E-01    0.2610310029E+01    0.2041774199E+01


% run    par  time               x                   y
 16      1    0.56989E-01    0.2626708876E+01    0.1791721842E+01


% run    par  time               x                   y
 17      1    0.60551E-01    0.2248711059E+01    0.1770853929E+01


% run    par  time               x                   y
 18      1    0.64113E-01    0.1878765909E+01    0.1817400593E+01


% run    par  time               x                   y
 19      1    0.67675E-01    0.2132104518E+01    0.1927133325E+01


% run    par  time               x                   y
 20      1    0.71237E-01    0.2396171590E+01    0.1685896906E+01


% run    par  time               x                   y
 21      1    0.74798E-01    0.2223278234E+01    0.1330960660E+01


% run    par  time               x                   y
 22      1    0.78360E-01    0.2105545806E+01    0.1073116648E+01


% run    par  time               x                   y
 23      1    0.81922E-01    0.2157734753E+01    0.7758584629E+00


% run    par  time               x                   y
 24      1    0.85484E-01    0.2068200883E+01    0.5789761264E+00


% run    par  time               x                   y
 25      1    0.89046E-01    0.2344553951E+01    0.7168445963E+00


% run    par  time               x                   y
 26      1    0.92608E-01    0.2126698456E+01    0.5461756808E+00


% run    par  time               x                   y
 27      1    0.96169E-01    0.1842561202E+01    0.5254022087E+00


% run    par  time               x                   y
 28      1    0.99731E-01    0.1680352608E+01    0.6190552624E+00


% run    par  time               x                   y
 29      1    0.10329E+00    0.1595391270E+01    0.3990108231E+00


% run    par  time               x                   y
 30      1    0.10685E+00    0.1502350574E+01    0.3679774079E+00


% run    par  time               x                   y
 31      1    0.11042E+00    0.1719938803E+01    0.4952544051E+00


% run    par  time               x                   y
 32      1    0.11398E+00    0.1985009152E+01    0.6234641421E+00


% run    par  time               x                   y
 33      1    0.11754E+00    0.2228722157E+01    0.8675574295E+00


% run    par  time               x                   y
 34      1    0.12110E+00    0.2318055795E+01    0.1150595853E+01


% run    par  time               x                   y
 35      1    0.12466E+00    0.2139582150E+01    0.1428592567E+01


% run    par  time               x                   y
 36      1    0.12823E+00    0.1772483936E+01    0.1513208634E+01


% run    par  time               x                   y
 37      1    0.13179E+00    0.1622028666E+01    0.1403005641E+01


% run    par  time               x                   y
 38      1    0.13535E+00    0.1423902223E+01    0.1787347408E+01


% run    par  time               x                   y
 39      1    0.13891E+00    0.1585065883E+01    0.2044961622E+01


% run    par  time               x                   y
 40      1    0.14247E+00    0.1462652067E+01    0.2353987065E+01


% run    par  time               x                   y
 41      1    0.14603E+00    0.1112024629E+01    0.2676715953E+01


% run    par  time               x                   y
 42      1    0.14960E+00    0.9257262873E+00    0.2856683131E+01


% run    par  time               x                   y
 43      1    0.15316E+00    0.5521025280E+00    0.3070442761E+01


% run    par  time               x                   y
 44      1    0.15672E+00    0.7010977230E+00    0.3303409468E+01


% run    par  time               x                   y
 45      1    0.16028E+00    0.4379578219E+00    0.3280901188E+01


% run    par  time               x                   y
 46      1    0.16384E+00    0.5691912645E+00    0.3309593648E+01


% run    par  time               x                   y
 47      1    0.16741E+00    0.2678793030E+00    0.3282455889E+01


% run    par  time               x                   y
 48      1    0.17097E+00    0.5155016141E+00    0.3409555946E+01


% run    par  time               x                   y
 49      1    0.17453E+00    0.5585624604E+00    0.3079290389E+01


% run    par  time               x                   y
 50      1    0.17809E+00    0.5320823070E+00    0.3300164224E+01


% run    par  time               x                   y
 51      1    0.18165E+00    0.6682626573E+00    0.3215439109E+01


% run    par  time               x                   y
 52      1    0.18522E+00    0.5795687426E+00    0.2953477849E+01


% run    par  time               x                   y
 53      1    0.18878E+00    0.7542573809E+00    0.2626420289E+01


% run    par  time               x                   y
 54      1    0.19234E+00    0.1041323168E+01    0.2561107090E+01


% run    par  time               x                   y
 55      1    0.19590E+00    0.1293636711E+01    0.2372120636E+01


% run    par  time               x                   y
 56      1    0.19946E+00    0.1251765480E+01    0.2006686810E+01


% run    par  time               x                   y
 57      1    0.20302E+00    0.1085090059E+01    0.1728499632E+01


% run    par  time               x                   y
 58      1    0.20659E+00    0.1244452333E+01    0.1578480495E+01


% run    par  time               x                   y
 59      1    0.21015E+00    0.1094886370E+01    0.1564391999E+01


% run    par  time               x                   y
 60      1    0.21371E+00    0.1177363076E+01    0.1985145554E+01


% run    par  time               x                   y
 61      1    0.21727E+00    0.1003912529E+01    0.2399289770E+01


% run    par  time               x                   y
 62      1    0.22083E+00    0.6924918534E+00    0.2537468675E+01


% run    par  time               x                   y
 63      1    0.22440E+00    0.4830956748E+00    0.2528481017E+01


% run    par  time               x                   y
 64      1    0.22796E+00    0.6566137954E+00    0.2208685257E+01


% run    par  time               x                   y
 65      1    0.23152E+00    0.8461888938E+00    0.2146338708E+01


% run    par  time               x                   y
 66      1    0.23508E+00    0.7941348942E+00    0.2502345336E+01


% run    par  time               x                   y
 67      1    0.23864E+00    0.9745343534E+00    0.2500365407E+01


% run    par  time               x                   y
 68      1    0.24220E+00    0.7845163897E+00    0.2336540941E+01


% run    par  time               x                   y
 69      1    0.24577E+00    0.7437636097E+00    0.2637027012E+01


% run    par  time               x                   y
 70      1    0.24933E+00    0.9580546618E+00    0.2879700658E+01


% run    par  time               x                   y
 71      1    0.25289E+00    0.1232369072E+01    0.2894443800E+01


% run    par  time               x                   y
 72      1    0.25645E+00    0.1315423870E+01    0.2757384914E+01


% run    par  time               x                   y
 73      1    0.26001E+00    0.1777000117E+01    0.2992705536E+01


% run    par  time               x                   y
 74      1    0.26358E+00    0.1748548738E+01    0.3090840915E+01


% run    par  time               x                   y
 75      1    0.26714E+00    0.1760144020E+01    0.2985315650E+01


% run    par  time               x                   y
 76      1    0.27070E+00    0.1500938619E+01    0.2705508177E+01


% run    par  time               x                   y
 77      1    0.27426E+00    0.1371598103E+01    0.2348575839E+01


% run    par  time               x                   y
 78      1    0.27782E+00    0.1458076999E+01    0.1997235113E+01


% run    par  time               x                   y
 79      1    0.28138E+00    0.1689693587E+01    0.1990261465E+01


% run    par  time               x                   y
 80      1    0.28495E+00    0.1920483549E+01    0.2044804229E+01


% run    par  time               x                   y
 81      1    0.28851E+00    0.2124269574E+01    0.1932431731E+01


% run    par  time               x                   y
 82      1    0.29207E+00    0.1872594091E+01    0.1826811691E+01


% run    par  time               x                   y
 83      1    0.29563E+00    0.1521974807E+01    0.1666141625E+01


% run    par  time               x                   y
 84      1    0.29919E+00    0.1253183199E+01    0.1870901048E+01


% run    par  time               x                   y
 85      1    0.30276E+00    0.1502548894E+01    0.1874252918E+01


% run    par  time               x                   y
 86      1    0.30632E+00    0.1618716371E+01    0.2179559152E+01


% run    par  time               x                   y
 87      1    0.30988E+00    0.1468003109E+01    0.2451396830E+01


% run    par  time               x                   y
 88      1    0.31344E+00    0.1365762127E+01    0.2355592868E+01


% run    par  time               x                   y
 89      1    0.31700E+00    0.1478682530E+01    0.2032040231E+01


% run    par  time               x                   y
 90      1    0.32056E+00    0.1634863978E+01    0.1787663773E+01


% run    par  time               x                   y
 91      1    0.32413E+00    0.1675974270E+01    0.1618686243E+01


% run    par  time               x                   y
 92      1    0.32769E+00    0.1928820855E+01    0.1568736345E+01


% run    par  time               x                   y
 93      1    0.33125E+00    0.2089607391E+01    0.1636833723E+01


% run    par  time               x                   y
 94      1    0.33481E+00    0.1947545099E+01    0.1582814085E+01


% run    par  time               x                   y
 95      1    0.33837E+00    0.2124200630E+01    0.1503358296E+01


% run    par  time               x                   y
 96      1    0.34194E+00    0.2101592014E+01    0.1186051108E+01


% run    par  time               x                   y
 97      1    0.34550E+00    0.1906482331E+01    0.9911966549E+00


% run    par  time               x                   y
 98      1    0.34906E+00    0.2151252421E+01    0.8225446790E+00


% run    par  time               x                   y
 99      1    0.35262E+00    0.2500376130E+01    0.8336359527E+00


% run    par  time               x                   y
100      1    0.35618E+00    0.2666343875E+01    0.6772127077E+00


