% run    par  time              vx                  vy
  1      1    0.35618E-02    0.8298214004E+02    0.1465415058E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02    0.1715603537E+04   -0.2738154654E+02


% run    par  time              vx                  vy
  3      1    0.10685E-01   -0.9821354410E+03   -0.1192653946E+04


% run    par  time              vx                  vy
  4      1    0.14247E-01    0.2277813539E+04    0.2453283441E+04


% run    par  time              vx                  vy
  5      1    0.17809E-01   -0.3604924424E+04    0.1320014797E+04


% run    par  time              vx                  vy
  6      1    0.21371E-01   -0.9795258920E+02   -0.3525895681E+03


% run    par  time              vx                  vy
  7      1    0.24933E-01   -0.2837123905E+03    0.3028387891E+03


% run    par  time              vx                  vy
  8      1    0.28495E-01   -0.1249468840E+04   -0.9024391133E+02


% run    par  time              vx                  vy
  9      1    0.32056E-01   -0.3192870754E+04   -0.3513637916E+02


% run    par  time              vx                  vy
 10      1    0.35618E-01   -0.7582777263E+02    0.1464815722E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.3041895531E+03    0.1373115513E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01    0.1406935193E+04   -0.4655863618E+04


% run    par  time              vx                  vy
 13      1    0.46304E-01   -0.4804034787E+04   -0.5177191107E+03


% run    par  time              vx                  vy
 14      1    0.49866E-01    0.3488410212E+04   -0.5842436263E+04


% run    par  time              vx                  vy
 15      1    0.53427E-01    0.1021899428E+04   -0.1592857814E+04


% run    par  time              vx                  vy
 16      1    0.56989E-01    0.3186003936E+04   -0.1011179891E+04


% run    par  time              vx                  vy
 17      1    0.60551E-01    0.1345855184E+04    0.2549257004E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01   -0.4151832412E+04    0.1245641653E+04


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.1321165085E+04   -0.2618059401E+04


% run    par  time              vx                  vy
 20      1    0.71237E-01    0.2539945549E+04    0.5730090762E+03


% run    par  time              vx                  vy
 21      1    0.74798E-01    0.1946418668E+02    0.2685187536E+03


% run    par  time              vx                  vy
 22      1    0.78360E-01    0.1252209619E+04   -0.3320693410E+04


% run    par  time              vx                  vy
 23      1    0.81922E-01    0.3203023967E+04    0.1681387270E+04


% run    par  time              vx                  vy
 24      1    0.85484E-01   -0.3179568194E+04    0.3545975312E+04


% run    par  time              vx                  vy
 25      1    0.89046E-01    0.6195287048E+03    0.1660823692E+03


% run    par  time              vx                  vy
 26      1    0.92608E-01    0.4459205624E+03    0.2875756823E+04


% run    par  time              vx                  vy
 27      1    0.96169E-01   -0.5433362710E+03    0.1031207249E+03


% run    par  time              vx                  vy
 28      1    0.99731E-01    0.1449302123E+04    0.2804981270E+04


% run    par  time              vx                  vy
 29      1    0.10329E+00   -0.6169353073E+03    0.7179648044E+03


% run    par  time              vx                  vy
 30      1    0.10685E+00    0.4193435707E+04   -0.2612324651E+04


% run    par  time              vx                  vy
 31      1    0.11042E+00    0.1284206850E+04   -0.1144276230E+04


% run    par  time              vx                  vy
 32      1    0.11398E+00    0.3571376846E+03   -0.3839618418E+04


