% run    par  time              vx                  vy
  1      1    0.35618E-02   -0.1471362380E+04   -0.2147457206E+03
  1      2    0.35618E-02   -0.1957847712E+04    0.3279475520E+04
  1      3    0.35618E-02    0.8065930200E+03    0.5117668611E+04
  1      4    0.35618E-02   -0.1810372245E+04    0.2872407480E+04
  1      5    0.35618E-02    0.7431031868E+03    0.1833297530E+03
  1      6    0.35618E-02    0.1608180379E+03    0.1222220825E+02
  1      7    0.35618E-02    0.1359656739E+04    0.6022029552E+03
  1      8    0.35618E-02   -0.5895628620E+03   -0.2685943702E+04
  1      9    0.35618E-02    0.2189594061E+04   -0.2492046581E+04
  1     10    0.35618E-02   -0.1603074165E+04   -0.2373262161E+03
  1     11    0.35618E-02   -0.1284712431E+04    0.2599274041E+04
  1     12    0.35618E-02   -0.8665696781E+03   -0.1009337162E+04
  1     13    0.35618E-02   -0.3557130665E+04   -0.7405105296E+04
  1     14    0.35618E-02    0.5143124055E+04   -0.3412427775E+04
  1     15    0.35618E-02    0.1248174675E+04   -0.3666746729E+04
  1     16    0.35618E-02    0.2789481385E+04   -0.1575455037E+04
  1     17    0.35618E-02   -0.1616094212E+04   -0.2643047625E+04
  1     18    0.35618E-02   -0.8772140669E+03   -0.3349884352E+04
  1     19    0.35618E-02   -0.2380514777E+03   -0.9658733056E+03
  1     20    0.35618E-02   -0.1003262751E+04    0.4216011302E+03
  1     21    0.35618E-02    0.1210200167E+04    0.3016457574E+04
  1     22    0.35618E-02    0.1047642748E+04   -0.6482860968E+03
  1     23    0.35618E-02   -0.3874163320E+03   -0.1028490521E+04
  1     24    0.35618E-02   -0.2662413954E+04    0.1391187256E+04
  1     25    0.35618E-02    0.9213087310E+03    0.3481208751E+04
  1     26    0.35618E-02   -0.1420808498E+04   -0.3059459932E+04
  1     27    0.35618E-02    0.8025508308E+03    0.1743558809E+04
  1     28    0.35618E-02    0.2631236001E+04    0.3244743874E+04
  1     29    0.35618E-02    0.2342101185E+04    0.1381506425E+04
  1     30    0.35618E-02    0.2615857174E+04    0.1723237465E+04
  1     31    0.35618E-02    0.5140387158E+04   -0.1491639682E+03
  1     32    0.35618E-02   -0.1071190260E+04   -0.3199639996E+04
  1     33    0.35618E-02   -0.8206695650E+03    0.1111502221E+04
  1     34    0.35618E-02    0.2693420317E+03    0.3691127715E+04
  1     35    0.35618E-02   -0.2393284096E+04   -0.2876741521E+04
  1     36    0.35618E-02    0.6625186434E+03    0.4028597212E+04
  1     37    0.35618E-02    0.1479180380E+04    0.2584529604E+04
  1     38    0.35618E-02   -0.8569530800E+03   -0.3655449887E+04
  1     39    0.35618E-02    0.4101648956E+04   -0.3960449925E+04
  1     40    0.35618E-02    0.6040850180E+02   -0.1471745430E+04
  1     41    0.35618E-02    0.2718450431E+04   -0.2560787683E+04
  1     42    0.35618E-02   -0.3220279886E+04   -0.7970653930E+03
  1     43    0.35618E-02    0.2233714896E+03    0.2029986258E+04
  1     44    0.35618E-02    0.1855485338E+04    0.3435047895E+04
  1     45    0.35618E-02   -0.1989283203E+04    0.3885488237E+04
  1     46    0.35618E-02    0.5525366106E+04    0.3730460075E+04
  1     47    0.35618E-02    0.1395731610E+04   -0.1343560126E+04
  1     48    0.35618E-02   -0.7579748549E+04    0.1005160359E+04
  1     49    0.35618E-02    0.3815821874E+04   -0.7787498030E+03
  1     50    0.35618E-02    0.2229736021E+03    0.2407039119E+04
  1     51    0.35618E-02   -0.1021691659E+04    0.1010271965E+04
  1     52    0.35618E-02    0.7684083605E+03   -0.5809256436E+03
  1     53    0.35618E-02   -0.2447652326E+04   -0.1684079666E+04
  1     54    0.35618E-02   -0.1318359792E+04   -0.2784549674E+04
  1     55    0.35618E-02    0.1566054633E+04    0.1559331275E+04
  1     56    0.35618E-02   -0.2842490230E+04   -0.1197196646E+04
  1     57    0.35618E-02    0.2171039851E+04   -0.6025703239E+04
  1     58    0.35618E-02    0.8880223773E+03   -0.2049084013E+04
  1     59    0.35618E-02    0.1599883262E+04   -0.1360193959E+04
  1     60    0.35618E-02   -0.1897270826E+04    0.3017813799E+04
  1     61    0.35618E-02    0.2460500705E+04    0.3291486379E+03
  1     62    0.35618E-02   -0.3842181176E+03    0.3645930276E+04
  1     63    0.35618E-02   -0.2413139089E+04   -0.2325960397E+04
  1     64    0.35618E-02    0.2444630237E+04   -0.1448058137E+04
  1     65    0.35618E-02   -0.1738377214E+04   -0.2561806327E+04
  1     66    0.35618E-02   -0.2289366422E+04    0.1610564659E+02
  1     67    0.35618E-02    0.1870377913E+04    0.3125527255E+04
  1     68    0.35618E-02   -0.2374075408E+04    0.8854061307E+03
  1     69    0.35618E-02   -0.1752957246E+04    0.2939452329E+04
  1     70    0.35618E-02    0.5805990808E+04    0.5159351367E+04
  1     71    0.35618E-02    0.1781866203E+04    0.2737853298E+04
  1     72    0.35618E-02    0.3717867718E+04    0.6540391308E+03
  1     73    0.35618E-02    0.1597511124E+04   -0.1634559895E+04
  1     74    0.35618E-02   -0.1610271749E+04   -0.2925919282E+04
  1     75    0.35618E-02    0.2166566276E+04    0.2407919897E+04
  1     76    0.35618E-02    0.1493072611E+04    0.9321005810E+03
