% run    par  time               x                   y
  1      1    0.35618E-02    0.1156462098E+01    0.1626284987E+00


% run    par  time               x                   y
  2      1    0.71237E-02    0.1161499613E+01    0.3782624345E+00


% run    par  time               x                   y
  3      1    0.10685E-01    0.7499497195E+00    0.2905969967E+00


% run    par  time               x                   y
  4      1    0.14247E-01    0.6346893366E+00    0.3522070165E+00


% run    par  time               x                   y
  5      1    0.17809E-01    0.4850852056E+00    0.3107751705E+00


% run    par  time               x                   y
  6      1    0.21371E-01    0.6610935644E+00   -0.1347004260E-01


% run    par  time               x                   y
  7      1    0.24933E-01    0.9784770684E+00    0.1471495714E+00


% run    par  time               x                   y
  8      1    0.28495E-01    0.1329964837E+01    0.3581756774E+00


% run    par  time               x                   y
  9      1    0.32056E-01    0.1348899596E+01    0.4866389608E+00


% run    par  time               x                   y
 10      1    0.35618E-01    0.1601498900E+01    0.6888872538E+00


% run    par  time               x                   y
 11      1    0.39180E-01    0.1957120139E+01    0.7635585116E+00


% run    par  time               x                   y
 12      1    0.42742E-01    0.1900150496E+01    0.4772415950E+00


% run    par  time               x                   y
 13      1    0.46304E-01    0.1792596234E+01    0.2070469813E+00


% run    par  time               x                   y
 14      1    0.49866E-01    0.1960268474E+01    0.3630785207E+00


% run    par  time               x                   y
 15      1    0.53427E-01    0.2319869372E+01    0.3257246247E+00


% run    par  time               x                   y
 16      1    0.56989E-01    0.2747108029E+01    0.3083754789E+00


% run    par  time               x                   y
 17      1    0.60551E-01    0.3054576700E+01    0.1832351385E+00


% run    par  time               x                   y
 18      1    0.64113E-01    0.3304971930E+01    0.1169231186E+00


% run    par  time               x                   y
 19      1    0.67675E-01    0.3549718697E+01    0.3537678081E+00


% run    par  time               x                   y
 20      1    0.71237E-01    0.3870680796E+01    0.1436768619E+00


% run    par  time               x                   y
 21      1    0.74798E-01    0.3819298718E+01   -0.8700974189E-01


% run    par  time               x                   y
 22      1    0.78360E-01    0.3503160701E+01   -0.6215961606E-01


% run    par  time               x                   y
 23      1    0.81922E-01    0.3726798479E+01    0.7232841457E-01


