% run    par  time              vx                  vy
  1      1    0.35618E-02   -0.4045248086E+03    0.3358343069E+04
  1      2    0.35618E-02   -0.4437429266E+03   -0.4134944888E+03
  1      3    0.35618E-02   -0.3030395000E+03   -0.3299751393E+04
  1      4    0.35618E-02   -0.7297393990E+02   -0.1776537089E+04
  1      5    0.35618E-02   -0.9323993464E+03    0.6618307802E+04
  1      6    0.35618E-02   -0.2985122576E+04    0.9298078994E+03
  1      7    0.35618E-02    0.4663262550E+03    0.7247960019E+03
  1      8    0.35618E-02   -0.6644615224E+03   -0.1340557998E+04
  1      9    0.35618E-02   -0.4468714523E+03    0.2236082629E+04
  1     10    0.35618E-02    0.3329051054E+04   -0.1943915424E+04
  1     11    0.35618E-02   -0.7892353276E+03   -0.7483251838E+03
  1     12    0.35618E-02    0.1903132898E+04   -0.5133337183E+03
  1     13    0.35618E-02    0.4197455076E+04   -0.1112983520E+03
  1     14    0.35618E-02   -0.2842964238E+04    0.2551760183E+04
  1     15    0.35618E-02   -0.2099063169E+03    0.1284580150E+04
  1     16    0.35618E-02   -0.4533793085E+03   -0.2110136056E+04
  1     17    0.35618E-02    0.1472925592E+04    0.1404567248E+04
  1     18    0.35618E-02   -0.7024084744E+03    0.1398284366E+04
  1     19    0.35618E-02   -0.1577798066E+04   -0.2636813454E+03
  1     20    0.35618E-02   -0.2926043200E+04    0.5460022280E+04
  1     21    0.35618E-02   -0.9002815981E+03   -0.1589943574E+04
  1     22    0.35618E-02   -0.5470616734E+03    0.5057534117E+04
  1     23    0.35618E-02   -0.2316483364E+04   -0.2832967297E+04
  1     24    0.35618E-02    0.2350306494E+04    0.6554924236E+03
  1     25    0.35618E-02    0.1177379276E+04    0.3895360947E+04
  1     26    0.35618E-02    0.1682728012E+04    0.3125598822E+03
  1     27    0.35618E-02    0.5223640796E+03    0.2132412113E+04
  1     28    0.35618E-02    0.2909096848E+03    0.1225152280E+04
  1     29    0.35618E-02   -0.1523190945E+04    0.2218493127E+04
  1     30    0.35618E-02    0.1060811698E+04    0.3447096345E+04
  1     31    0.35618E-02   -0.2840671459E+04    0.1097828803E+04
