% run    par  time               x                   y
  1      1    0.35618E-02    0.1353077242E+01    0.1507452748E+00


% run    par  time               x                   y
  2      1    0.71237E-02    0.1528963037E+01    0.3717991520E+00


% run    par  time               x                   y
  3      1    0.10685E-01    0.1799281167E+01    0.7796804685E+00


% run    par  time               x                   y
  4      1    0.14247E-01    0.1398111599E+01    0.7753939310E+00


% run    par  time               x                   y
  5      1    0.17809E-01    0.1288795509E+01    0.5368330465E+00


% run    par  time               x                   y
  6      1    0.21371E-01    0.1607368188E+01    0.2030944396E+00


% run    par  time               x                   y
  7      1    0.24933E-01    0.2101137250E+01    0.9971996867E-01


% run    par  time               x                   y
  8      1    0.28495E-01    0.2288147702E+01   -0.1037359706E+00


% run    par  time               x                   y
  9      1    0.32056E-01    0.2638059141E+01   -0.4181587779E+00


% run    par  time               x                   y
 10      1    0.35618E-01    0.2940001576E+01   -0.9013131578E-01


% run    par  time               x                   y
 11      1    0.39180E-01    0.3191624492E+01    0.1120694662E+00


% run    par  time               x                   y
 12      1    0.42742E-01    0.2997833558E+01    0.6250089855E+00


% run    par  time               x                   y
 13      1    0.46304E-01    0.3000137066E+01    0.1017706625E+01


% run    par  time               x                   y
 14      1    0.49866E-01    0.3167389878E+01    0.1192016370E+01


% run    par  time               x                   y
 15      1    0.53427E-01    0.2871301055E+01    0.1263980375E+01


% run    par  time               x                   y
 16      1    0.56989E-01    0.2463695953E+01    0.1462890920E+01


% run    par  time               x                   y
 17      1    0.60551E-01    0.2671096367E+01    0.1713598884E+01


% run    par  time               x                   y
 18      1    0.64113E-01    0.2646312825E+01    0.2046382979E+01


% run    par  time               x                   y
 19      1    0.67675E-01    0.2784123181E+01    0.2493245624E+01


% run    par  time               x                   y
 20      1    0.71237E-01    0.2933432268E+01    0.2940045822E+01


% run    par  time               x                   y
 21      1    0.74798E-01    0.2986608664E+01    0.2671401317E+01


% run    par  time               x                   y
 22      1    0.78360E-01    0.2918321007E+01    0.2657419085E+01


% run    par  time               x                   y
 23      1    0.81922E-01    0.2594384542E+01    0.2641972611E+01


% run    par  time               x                   y
 24      1    0.85484E-01    0.2567480332E+01    0.2719635350E+01


% run    par  time               x                   y
 25      1    0.89046E-01    0.2447752519E+01    0.2530844910E+01


% run    par  time               x                   y
