% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.78946E-05
  1      2    0.71237E-02    0.24992E-04
  1      3    0.10685E-01    0.45027E-04
  1      4    0.14247E-01    0.94738E-04
  1      5    0.17809E-01    0.16563E-03
  1      6    0.21371E-01    0.18274E-03
  1      7    0.24933E-01    0.18700E-03
  1      8    0.28495E-01    0.14582E-03
  1      9    0.32056E-01    0.15987E-03
  1     10    0.35618E-01    0.20794E-03
  1     11    0.39180E-01    0.25493E-03
  1     12    0.42742E-01    0.42536E-03
  1     13    0.46304E-01    0.57547E-03
  1     14    0.49866E-01    0.57301E-03
  1     15    0.53427E-01    0.51872E-03
  1     16    0.56989E-01    0.46179E-03
  1     17    0.60551E-01    0.47585E-03
  1     18    0.64113E-01    0.61553E-03
  1     19    0.67675E-01    0.66734E-03
  1     20    0.71237E-01    0.54571E-03
  1     21    0.74798E-01    0.48102E-03
  1     22    0.78360E-01    0.49821E-03
  1     23    0.81922E-01    0.60124E-03
  1     24    0.85484E-01    0.79958E-03
  1     25    0.89046E-01    0.92356E-03
  1     26    0.92608E-01    0.77105E-03
  1     27    0.96169E-01    0.82221E-03
  1     28    0.99731E-01    0.86297E-03
  1     29    0.10329E+00    0.71004E-03
  1     30    0.10685E+00    0.65928E-03
  1     31    0.11042E+00    0.61754E-03
  1     32    0.11398E+00    0.74838E-03
  1     33    0.11754E+00    0.83157E-03
  1     34    0.12110E+00    0.93629E-03
  1     35    0.12466E+00    0.92349E-03
  1     36    0.12823E+00    0.10432E-02
  1     37    0.13179E+00    0.12396E-02
  1     38    0.13535E+00    0.12667E-02
  1     39    0.13891E+00    0.15321E-02
  1     40    0.14247E+00    0.17340E-02
  1     41    0.14603E+00    0.14780E-02
  1     42    0.14960E+00    0.18040E-02
  1     43    0.15316E+00    0.16700E-02
  1     44    0.15672E+00    0.16894E-02
  1     45    0.16028E+00    0.14608E-02
  1     46    0.16384E+00    0.14721E-02
  1     47    0.16741E+00    0.16033E-02
  1     48    0.17097E+00    0.16266E-02
  1     49    0.17453E+00    0.18131E-02
  1     50    0.17809E+00    0.18556E-02
  1     51    0.18165E+00    0.18775E-02
  1     52    0.18522E+00    0.22272E-02
  1     53    0.18878E+00    0.23767E-02
  1     54    0.19234E+00    0.26333E-02
  1     55    0.19590E+00    0.28702E-02
  1     56    0.19946E+00    0.29474E-02
  1     57    0.20302E+00    0.27511E-02
  1     58    0.20659E+00    0.25095E-02
  1     59    0.21015E+00    0.24380E-02
  1     60    0.21371E+00    0.23038E-02
  1     61    0.21727E+00    0.20243E-02
  1     62    0.22083E+00    0.18636E-02
  1     63    0.22440E+00    0.15229E-02
  1     64    0.22796E+00    0.12590E-02
  1     65    0.23152E+00    0.14270E-02
  1     66    0.23508E+00    0.12606E-02
  1     67    0.23864E+00    0.11661E-02
  1     68    0.24220E+00    0.10106E-02
  1     69    0.24577E+00    0.94753E-03
  1     70    0.24933E+00    0.80574E-03
  1     71    0.25289E+00    0.57833E-03
  1     72    0.25645E+00    0.45841E-03
  1     73    0.26001E+00    0.35962E-03
  1     74    0.26358E+00    0.32625E-03
  1     75    0.26714E+00    0.39316E-03
  1     76    0.27070E+00    0.55057E-03
  1     77    0.27426E+00    0.63673E-03
  1     78    0.27782E+00    0.74848E-03
  1     79    0.28138E+00    0.67934E-03
  1     80    0.28495E+00    0.60651E-03
  1     81    0.28851E+00    0.55190E-03
  1     82    0.29207E+00    0.65968E-03
  1     83    0.29563E+00    0.71792E-03
  1     84    0.29919E+00    0.66382E-03
  1     85    0.30276E+00    0.79043E-03
  1     86    0.30632E+00    0.87697E-03
  1     87    0.30988E+00    0.85688E-03
  1     88    0.31344E+00    0.76501E-03
  1     89    0.31700E+00    0.81066E-03
  1     90    0.32056E+00    0.80018E-03
  1     91    0.32413E+00    0.69884E-03
  1     92    0.32769E+00    0.72595E-03
  1     93    0.33125E+00    0.80548E-03
  1     94    0.33481E+00    0.84203E-03
  1     95    0.33837E+00    0.73587E-03
  1     96    0.34194E+00    0.65303E-03
  1     97    0.34550E+00    0.73294E-03
  1     98    0.34906E+00    0.81309E-03
  1     99    0.35262E+00    0.86901E-03
  1    100    0.35618E+00    0.10821E-02


% itn    run  time           mean square displacement
  2      1    0.35618E-02    0.64801E-05
  2      2    0.71237E-02    0.24878E-04
  2      3    0.10685E-01    0.40562E-04
  2      4    0.14247E-01    0.71984E-04
  2      5    0.17809E-01    0.10986E-03
  2      6    0.21371E-01    0.17765E-03
  2      7    0.24933E-01    0.23667E-03
  2      8    0.28495E-01    0.22745E-03
  2      9    0.32056E-01    0.15061E-03
  2     10    0.35618E-01    0.13245E-03
  2     11    0.39180E-01    0.21173E-03
  2     12    0.42742E-01    0.16455E-03
  2     13    0.46304E-01    0.79330E-04
  2     14    0.49866E-01    0.57675E-04
  2     15    0.53427E-01    0.27872E-04
  2     16    0.56989E-01    0.16107E-04
  2     17    0.60551E-01    0.19131E-05
  2     18    0.64113E-01    0.86577E-05
  2     19    0.67675E-01    0.17184E-04
  2     20    0.71237E-01    0.58542E-04
  2     21    0.74798E-01    0.23704E-04
  2     22    0.78360E-01    0.76511E-05
  2     23    0.81922E-01    0.13451E-04
  2     24    0.85484E-01    0.50435E-04
  2     25    0.89046E-01    0.34943E-04
  2     26    0.92608E-01    0.40908E-04
  2     27    0.96169E-01    0.22953E-04
  2     28    0.99731E-01    0.36372E-04
  2     29    0.10329E+00    0.47751E-04
  2     30    0.10685E+00    0.97202E-04
  2     31    0.11042E+00    0.11689E-03
  2     32    0.11398E+00    0.72158E-04
  2     33    0.11754E+00    0.27116E-04
  2     34    0.12110E+00    0.92643E-05
  2     35    0.12466E+00    0.27791E-04
  2     36    0.12823E+00    0.49547E-04
  2     37    0.13179E+00    0.49205E-04
  2     38    0.13535E+00    0.91542E-04
  2     39    0.13891E+00    0.19595E-03
  2     40    0.14247E+00    0.17712E-03
  2     41    0.14603E+00    0.24786E-03
  2     42    0.14960E+00    0.14204E-03
  2     43    0.15316E+00    0.10986E-03
  2     44    0.15672E+00    0.16182E-03
  2     45    0.16028E+00    0.24521E-03
  2     46    0.16384E+00    0.33240E-03
  2     47    0.16741E+00    0.43844E-03
  2     48    0.17097E+00    0.31431E-03
  2     49    0.17453E+00    0.35216E-03
  2     50    0.17809E+00    0.37584E-03
  2     51    0.18165E+00    0.56610E-03
  2     52    0.18522E+00    0.61109E-03
  2     53    0.18878E+00    0.73861E-03
  2     54    0.19234E+00    0.89938E-03
  2     55    0.19590E+00    0.96920E-03
  2     56    0.19946E+00    0.11933E-02
  2     57    0.20302E+00    0.12448E-02
  2     58    0.20659E+00    0.14294E-02
  2     59    0.21015E+00    0.17778E-02
  2     60    0.21371E+00    0.19967E-02
  2     61    0.21727E+00    0.22353E-02
  2     62    0.22083E+00    0.26352E-02
  2     63    0.22440E+00    0.28291E-02
  2     64    0.22796E+00    0.30175E-02
  2     65    0.23152E+00    0.33701E-02
  2     66    0.23508E+00    0.37214E-02
  2     67    0.23864E+00    0.40834E-02
  2     68    0.24220E+00    0.40087E-02
  2     69    0.24577E+00    0.40648E-02
  2     70    0.24933E+00    0.42974E-02
  2     71    0.25289E+00    0.44638E-02
  2     72    0.25645E+00    0.41793E-02
  2     73    0.26001E+00    0.39879E-02
  2     74    0.26358E+00    0.41933E-02
  2     75    0.26714E+00    0.44938E-02
  2     76    0.27070E+00    0.48884E-02
  2     77    0.27426E+00    0.53336E-02
  2     78    0.27782E+00    0.57891E-02
  2     79    0.28138E+00    0.61347E-02
