% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.1230652143E+04    0.3685704285E+04    0.3885732977E+04
  1      2    0.71237E-02    0.5933899188E+03    0.3495481122E+04    0.3545490074E+04
  1      3    0.10685E-01   -0.3400540685E+04    0.2469898458E+04    0.4202865135E+04
  1      4    0.14247E-01   -0.2431589690E+04   -0.5427330159E+04    0.5947145624E+04
  1      5    0.17809E-01    0.1716049855E+04    0.2298746353E+04    0.2868634153E+04
  1      6    0.21371E-01    0.3845225355E+04   -0.1371873559E+04    0.4082621106E+04
  1      7    0.24933E-01   -0.7603518629E+03    0.7762866117E+03    0.1086625906E+04
  1      8    0.28495E-01   -0.9258342756E+03    0.9979027684E+03    0.1361241728E+04
  1      9    0.32056E-01   -0.5486556514E+04   -0.2705833058E+04    0.6117502343E+04
  1     10    0.35618E-01    0.3127207943E+04    0.2189301567E+04    0.3817390584E+04
  1     11    0.39180E-01    0.2367445815E+04    0.5561531433E+03    0.2431893502E+04
  1     12    0.42742E-01   -0.1928973611E+04   -0.3651831880E+03    0.1963236601E+04
  1     13    0.46304E-01   -0.5128489679E+03   -0.1695710053E+04    0.1771566157E+04
  1     14    0.49866E-01    0.3554263813E+04    0.1817282603E+04    0.3991905223E+04
  1     15    0.53427E-01   -0.2879357667E+04   -0.1511782073E+03    0.2883323677E+04
  1     16    0.56989E-01    0.7941195365E+02   -0.5421184041E+02    0.9615186958E+02
  1     17    0.60551E-01    0.2409002276E+04    0.2475909330E+04    0.3454478105E+04
  1     18    0.64113E-01   -0.3402369318E+03   -0.8941583771E+03    0.9567028657E+03
  1     19    0.67675E-01   -0.3273219426E+04    0.2162820746E+04    0.3923233232E+04
  1     20    0.71237E-01   -0.1154956335E+03    0.3395209705E+04    0.3397173557E+04
  1     21    0.74798E-01    0.1819672628E+04    0.1968746088E+04    0.2680889709E+04
  1     22    0.78360E-01    0.2735313543E+04    0.1638495407E+04    0.3188511781E+04
  1     23    0.81922E-01   -0.8255224757E+03   -0.3758470628E+04    0.3848062996E+04
  1     24    0.85484E-01   -0.1461211168E+04   -0.6221837996E+03    0.1588159550E+04
  1     25    0.89046E-01    0.7952619674E+03    0.7518555431E+03    0.1094407764E+04
  1     26    0.92608E-01   -0.2684045308E+03   -0.7482855529E+03    0.7949668300E+03
  1     27    0.96169E-01   -0.2007102937E+04    0.2869437880E+04    0.3501733277E+04
  1     28    0.99731E-01   -0.1145451262E+04    0.1814643533E+03    0.1159736136E+04
  1     29    0.10329E+00    0.2807821591E+03   -0.1146459382E+04    0.1180342211E+04
  1     30    0.10685E+00   -0.3120937789E+04   -0.4060728547E+04    0.5121500660E+04
  1     31    0.11042E+00    0.8162671550E+03    0.1836469866E+04    0.2009704863E+04
  1     32    0.11398E+00   -0.9478531560E+03    0.8191207775E+02    0.9513859332E+03
  1     33    0.11754E+00   -0.3838327863E+03    0.7009671724E+03    0.7991761912E+03
  1     34    0.12110E+00    0.1107544525E+04    0.8772651789E+03    0.1412886785E+04
  1     35    0.12466E+00   -0.6656316124E+03   -0.5303869070E+04    0.5345474025E+04
  1     36    0.12823E+00   -0.2176217835E+04   -0.3331492402E+03    0.2201570458E+04
  1     37    0.13179E+00   -0.1189716282E+04   -0.8426324584E+03    0.1457893786E+04
  1     38    0.13535E+00    0.1515136449E+03    0.3886108239E+04    0.3889060764E+04
  1     39    0.13891E+00    0.5173380526E+04    0.1266839902E+04    0.5326232196E+04
  1     40    0.14247E+00   -0.1412876482E+04    0.1736609788E+03    0.1423509076E+04
  1     41    0.14603E+00    0.3174739641E+04    0.1111310464E+04    0.3363626427E+04
  1     42    0.14960E+00   -0.3487980314E+03   -0.6187024155E+04    0.6196848228E+04
