% run    par  time               x                   y
  1      1    0.35618E-02    0.1804240273E+01   -0.1777589081E+00


% run    par  time               x                   y
  2      1    0.71237E-02    0.1923619388E+01    0.5477477449E-01


% run    par  time               x                   y
  3      1    0.10685E-01    0.2057906180E+01   -0.1228289256E+00


% run    par  time               x                   y
  4      1    0.14247E-01    0.1841685160E+01    0.8839113625E-02


% run    par  time               x                   y
  5      1    0.17809E-01    0.1975158179E+01    0.1465786915E+00


% run    par  time               x                   y
  6      1    0.21371E-01    0.2267363733E+01   -0.1058082929E+00


% run    par  time               x                   y
  7      1    0.24933E-01    0.2353079324E+01   -0.3249513999E+00


% run    par  time               x                   y
  8      1    0.28495E-01    0.2162931059E+01   -0.2855365432E+00


% run    par  time               x                   y
  9      1    0.32056E-01    0.1928173906E+01   -0.5483906950E+00


% run    par  time               x                   y
 10      1    0.35618E-01    0.1769433395E+01   -0.4403290388E+00


% run    par  time               x                   y
 11      1    0.39180E-01    0.1717993310E+01   -0.3244920818E+00


% run    par  time               x                   y
 12      1    0.42742E-01    0.1376384631E+01   -0.3668110868E+00


% run    par  time               x                   y
 13      1    0.46304E-01    0.1197136251E+01   -0.5038235203E+00


% run    par  time               x                   y
 14      1    0.49866E-01    0.1559221190E+01   -0.3805610579E+00


% run    par  time               x                   y
 15      1    0.53427E-01    0.1724728734E+01   -0.5203627425E+00


% run    par  time               x                   y
 16      1    0.56989E-01    0.1414482000E+01   -0.5625889321E+00


% run    par  time               x                   y
 17      1    0.60551E-01    0.1186028562E+01   -0.5088916847E+00


% run    par  time               x                   y
 18      1    0.64113E-01    0.1277216500E+01   -0.1541626639E+00


% run    par  time               x                   y
 19      1    0.67675E-01    0.9634061590E+00   -0.2034075328E+00


% run    par  time               x                   y
 20      1    0.71237E-01    0.9557402454E+00   -0.4152733770E+00


% run    par  time               x                   y
 21      1    0.74798E-01    0.1146087538E+01   -0.3895337954E+00


% run    par  time               x                   y
 22      1    0.78360E-01    0.1482472719E+01   -0.5960672363E+00


% run    par  time               x                   y
 23      1    0.81922E-01    0.1350129727E+01   -0.8724545994E+00


% run    par  time               x                   y
 24      1    0.85484E-01    0.1484787510E+01   -0.7784448296E+00


% run    par  time               x                   y
 25      1    0.89046E-01    0.1214063555E+01   -0.4162795458E+00


% run    par  time               x                   y
 26      1    0.92608E-01    0.1078557240E+01   -0.2206848117E+00


% run    par  time               x                   y
 27      1    0.96169E-01    0.1224679753E+01   -0.4393860959E+00


% run    par  time               x                   y
 28      1    0.99731E-01    0.1393419539E+01   -0.7912501720E+00


% run    par  time               x                   y
 29      1    0.10329E+00    0.1444439160E+01   -0.8749426624E+00


% run    par  time               x                   y
 30      1    0.10685E+00    0.1351680497E+01   -0.6228606392E+00


% run    par  time               x                   y
 31      1    0.11042E+00    0.1659734016E+01   -0.3616470757E+00


% run    par  time               x                   y
 32      1    0.11398E+00    0.1877541148E+01   -0.1064972318E+00


% run    par  time               x                   y
 33      1    0.11754E+00    0.1714632138E+01   -0.8686104293E-01


% run    par  time               x                   y
 34      1    0.12110E+00    0.1462404837E+01   -0.1273500251E+00


% run    par  time               x                   y
 35      1    0.12466E+00    0.1876972891E+01   -0.2374691559E+00


% run    par  time               x                   y
 36      1    0.12823E+00    0.1796125428E+01   -0.7592446460E+00


% run    par  time               x                   y
 37      1    0.13179E+00    0.1887700214E+01   -0.1099684214E+01


% run    par  time               x                   y
 38      1    0.13535E+00    0.1993251491E+01   -0.1308811461E+01


% run    par  time               x                   y
 39      1    0.13891E+00    0.2174693958E+01   -0.1682400162E+01


% run    par  time               x                   y
 40      1    0.14247E+00    0.2377321554E+01   -0.1932181354E+01


% run    par  time               x                   y
 41      1    0.14603E+00    0.2603660276E+01   -0.2103676894E+01


% run    par  time               x                   y
 42      1    0.14960E+00    0.2770281929E+01   -0.2057732875E+01


% run    par  time               x                   y
 43      1    0.15316E+00    0.2720625114E+01   -0.2376013900E+01


% run    par  time               x                   y
 44      1    0.15672E+00    0.3007646042E+01   -0.2403848967E+01


% run    par  time               x                   y
 45      1    0.16028E+00    0.3276967674E+01   -0.2118715119E+01


% run    par  time               x                   y
 46      1    0.16384E+00    0.3796229738E+01   -0.2129405568E+01


% run    par  time               x                   y
 47      1    0.16741E+00    0.3918243838E+01   -0.2001573829E+01


% run    par  time               x                   y
 48      1    0.17097E+00    0.3810736319E+01   -0.1712886634E+01


% run    par  time               x                   y
 49      1    0.17453E+00    0.3617822040E+01   -0.1567307371E+01


% run    par  time               x                   y
 50      1    0.17809E+00    0.3306019640E+01   -0.1661726389E+01


% run    par  time               x                   y
 51      1    0.18165E+00    0.3170102982E+01   -0.1523078989E+01


% run    par  time               x                   y
 52      1    0.18522E+00    0.3152914089E+01   -0.1754735007E+01


% run    par  time               x                   y
 53      1    0.18878E+00    0.3417257367E+01   -0.1940614976E+01


% run    par  time               x                   y
 54      1    0.19234E+00    0.2977110596E+01   -0.2075482571E+01


% run    par  time               x                   y
 55      1    0.19590E+00    0.2873187570E+01   -0.1740171022E+01


% run    par  time               x                   y
 56      1    0.19946E+00    0.3185113854E+01   -0.1856681449E+01


% run    par  time               x                   y
 57      1    0.20302E+00    0.2700840157E+01   -0.1988473509E+01


% run    par  time               x                   y
 58      1    0.20659E+00    0.2559493818E+01   -0.1908367203E+01


% run    par  time               x                   y
 59      1    0.21015E+00    0.2551130698E+01   -0.2367102730E+01


% run    par  time               x                   y
 60      1    0.21371E+00    0.2843891796E+01   -0.2551868022E+01


% run    par  time               x                   y
 61      1    0.21727E+00    0.2885158275E+01   -0.2264709999E+01


% run    par  time               x                   y
 62      1    0.22083E+00    0.2728084604E+01   -0.2230814614E+01


% run    par  time               x                   y
 63      1    0.22440E+00    0.2547717557E+01   -0.2359890296E+01


% run    par  time               x                   y
 64      1    0.22796E+00    0.2452355722E+01   -0.2153244569E+01


% run    par  time               x                   y
 65      1    0.23152E+00    0.2676845799E+01   -0.2036811394E+01


% run    par  time               x                   y
 66      1    0.23508E+00    0.2616241934E+01   -0.1726639503E+01


% run    par  time               x                   y
 67      1    0.23864E+00    0.2678105124E+01   -0.1490344622E+01


% run    par  time               x                   y
 68      1    0.24220E+00    0.2481988031E+01   -0.1655321738E+01


% run    par  time               x                   y
 69      1    0.24577E+00    0.2647631720E+01   -0.1763403490E+01


% run    par  time               x                   y
 70      1    0.24933E+00    0.3042237708E+01   -0.1863432124E+01


% run    par  time               x                   y
 71      1    0.25289E+00    0.3341074365E+01   -0.1960636218E+01


% run    par  time               x                   y
 72      1    0.25645E+00    0.3196052435E+01   -0.2005901822E+01


% run    par  time               x                   y
 73      1    0.26001E+00    0.3312307534E+01   -0.1992658680E+01


% run    par  time               x                   y
 74      1    0.26358E+00    0.3415145647E+01   -0.2336745351E+01


% run    par  time               x                   y
 75      1    0.26714E+00    0.3610307863E+01   -0.2280502019E+01


% run    par  time               x                   y
 76      1    0.27070E+00    0.3507627553E+01   -0.2363470066E+01


% run    par  time               x                   y
 77      1    0.27426E+00    0.3248900433E+01   -0.2610020258E+01


% run    par  time               x                   y
 78      1    0.27782E+00    0.3158048029E+01   -0.2938810450E+01


% run    par  time               x                   y
 79      1    0.28138E+00    0.3040055117E+01   -0.2977133109E+01


% run    par  time               x                   y
 80      1    0.28495E+00    0.3081003537E+01   -0.3062025150E+01


% run    par  time               x                   y
 81      1    0.28851E+00    0.3389111480E+01   -0.3154380941E+01


% run    par  time               x                   y
 82      1    0.29207E+00    0.3485370538E+01   -0.3356722394E+01


% run    par  time               x                   y
 83      1    0.29563E+00    0.3743919769E+01   -0.3330385847E+01


% run    par  time               x                   y
