% run    par  time               x                   y
  1      1    0.35618E-02    0.1018085993E+02    0.3613234657E+01
  1      2    0.35618E-02    0.7007346195E+00    0.6509029364E+01
  1      3    0.35618E-02    0.8894326477E+01   -0.6382950310E+01
  1      4    0.35618E-02    0.3088162719E+01    0.4499772469E+01
  1      5    0.35618E-02   -0.7967631469E+01   -0.3072121483E+00
  1      6    0.35618E-02   -0.7576178125E+01    0.5444819960E+01
  1      7    0.35618E-02   -0.5599891113E+00    0.8415785254E+01
  1      8    0.35618E-02   -0.1382276995E+01   -0.8330825890E+01
  1      9    0.35618E-02    0.1042313006E+02    0.2739485172E+01
  1     10    0.35618E-02    0.7335587591E+01   -0.1646745613E+00
  1     11    0.35618E-02   -0.3222628960E+01    0.8944362226E+01
  1     12    0.35618E-02   -0.6303433781E+01    0.7993867331E+01
  1     13    0.35618E-02    0.3694370020E+01   -0.2445543930E+00
  1     14    0.35618E-02    0.5943489903E+01   -0.9063491985E+01
  1     15    0.35618E-02    0.1127675245E+01   -0.1411466222E+00
  1     16    0.35618E-02   -0.3989642212E+01   -0.1660749354E+01
  1     17    0.35618E-02   -0.1082641915E+02   -0.1074868041E+01
  1     18    0.35618E-02    0.4423442103E+01    0.8460606464E+00
  1     19    0.35618E-02    0.7057545875E+01   -0.8014453831E+01
  1     20    0.35618E-02   -0.4438961935E+01   -0.1969391955E+01
  1     21    0.35618E-02    0.3746800205E+01    0.2283331906E+01
  1     22    0.35618E-02   -0.1396285440E+01   -0.5930137961E+01
  1     23    0.35618E-02   -0.4642711848E+01    0.2698002372E+01
  1     24    0.35618E-02   -0.4892463856E+01    0.8160946640E+01
  1     25    0.35618E-02    0.5046103335E+01    0.7506958005E+01
  1     26    0.35618E-02    0.3219944218E+01    0.3706958348E+01
  1     27    0.35618E-02    0.2067251226E+01    0.1178060197E+01
  1     28    0.35618E-02   -0.9765855333E-01   -0.6363539035E+01
  1     29    0.35618E-02    0.5496267279E+01    0.4342367440E+01
  1     30    0.35618E-02    0.8837883292E+01    0.6229577170E+01
  1     31    0.35618E-02   -0.2567464479E+01   -0.3598680791E+01
  1     32    0.35618E-02   -0.6019945026E+01   -0.2596268669E+01
  1     33    0.35618E-02   -0.1461158999E+01    0.5061855225E+01
  1     34    0.35618E-02   -0.1070158906E+02   -0.3328364356E+01
  1     35    0.35618E-02    0.5685577718E+01   -0.1216577920E+01
  1     36    0.35618E-02   -0.4827539699E+01    0.5412163654E+01
  1     37    0.35618E-02   -0.1036564271E+02    0.6593351630E+00
  1     38    0.35618E-02    0.2808445239E+01    0.8859031660E+00
  1     39    0.35618E-02    0.2108976714E+01    0.6168021418E+01
  1     40    0.35618E-02   -0.1572201407E+00   -0.1072204111E+02
  1     41    0.35618E-02   -0.4539219265E+01   -0.6943026451E+01
  1     42    0.35618E-02   -0.5988460155E+00    0.8610949770E+00
  1     43    0.35618E-02   -0.4808736650E+01    0.9695455362E+01
  1     44    0.35618E-02    0.2463058678E+01   -0.8921007088E+01
  1     45    0.35618E-02   -0.5949653519E+01    0.6626441773E+01
  1     46    0.35618E-02   -0.1877277619E+01    0.8729940038E+01
  1     47    0.35618E-02   -0.3344988082E+01    0.8975810638E+01
  1     48    0.35618E-02   -0.8581532732E+01    0.6759034322E+01
  1     49    0.35618E-02   -0.7761418086E+01    0.4296097663E+01
  1     50    0.35618E-02    0.5669485839E+01    0.2245300163E+01
  1     51    0.35618E-02    0.5211889825E+01    0.9099270050E+01
  1     52    0.35618E-02    0.7963401199E+01    0.2491611153E+01
  1     53    0.35618E-02    0.6243608629E+00    0.9435685636E+01
  1     54    0.35618E-02   -0.9774424845E+01   -0.2089584013E+01
  1     55    0.35618E-02   -0.1331841417E+00    0.5207749999E+01
  1     56    0.35618E-02    0.5864616877E+01   -0.5953433677E+01
  1     57    0.35618E-02    0.4116962397E+01    0.4879084689E+01
  1     58    0.35618E-02    0.3116014792E+01   -0.7929203544E+01
  1     59    0.35618E-02   -0.1079407790E+01    0.7555097258E+01
  1     60    0.35618E-02   -0.8329339425E+01    0.2360310647E+01
  1     61    0.35618E-02   -0.9556362686E+01    0.2006320378E+01
  1     62    0.35618E-02   -0.6608703127E+01   -0.4123972320E+01
  1     63    0.35618E-02    0.5568072665E+01   -0.7620089803E+01
  1     64    0.35618E-02   -0.8255922709E+01   -0.3029521016E+01
  1     65    0.35618E-02    0.5328976997E+01   -0.7726083379E+01
  1     66    0.35618E-02   -0.2897108728E+01   -0.7588089863E+01
  1     67    0.35618E-02   -0.4877112724E+01    0.3615601299E+01
  1     68    0.35618E-02    0.5999435247E+01    0.9062933584E+01
  1     69    0.35618E-02   -0.2709446100E+01    0.4575236657E+01
  1     70    0.35618E-02   -0.2494001361E+01    0.7859044642E+01
  1     71    0.35618E-02   -0.6325141263E+01   -0.6949871421E+00
  1     72    0.35618E-02   -0.2131786343E+01   -0.1059317926E+02
  1     73    0.35618E-02    0.2008012696E+01    0.1763014689E+01
  1     74    0.35618E-02    0.1333166888E+01    0.1059612507E+02
  1     75    0.35618E-02    0.6261704903E+01   -0.2849233923E+01
  1     76    0.35618E-02    0.7434817495E+01   -0.4256558775E+01
  1     77    0.35618E-02    0.6410185526E+01    0.5623849856E+01
  1     78    0.35618E-02   -0.1130545397E+01   -0.3385948844E+01
  1     79    0.35618E-02    0.2361372123E-01   -0.3668820631E+00
  1     80    0.35618E-02   -0.4410562377E+01    0.1012836322E+02
  1     81    0.35618E-02    0.2064873746E+01   -0.6876911627E+01
  1     82    0.35618E-02    0.9391686719E+01    0.5094392384E+01
  1     83    0.35618E-02   -0.1805074212E+01   -0.1102954351E+02
  1     84    0.35618E-02    0.3096650707E+01    0.5438728742E+01
  1     85    0.35618E-02   -0.8471622887E+01    0.1240169669E-01
  1     86    0.35618E-02    0.1534055839E+01    0.3215723084E+01
  1     87    0.35618E-02    0.9181262833E+01   -0.6075505910E+01
  1     88    0.35618E-02    0.5359902439E+01    0.7710665895E+01
  1     89    0.35618E-02   -0.5362169047E+01   -0.9254793126E+01
  1     90    0.35618E-02   -0.3181180680E+01   -0.8720433359E+01
  1     91    0.35618E-02   -0.1369100654E-01    0.2898976050E+01
  1     92    0.35618E-02    0.3441716106E+01   -0.1062904914E+02
  1     93    0.35618E-02   -0.3753004382E+00    0.6991822653E+01
  1     94    0.35618E-02   -0.6142017426E+01    0.7795508296E+00
  1     95    0.35618E-02   -0.1151190783E+01    0.6754253014E+01
  1     96    0.35618E-02   -0.5941417889E+01    0.1893045285E+00
  1     97    0.35618E-02   -0.5970237140E+01   -0.2707255829E+01
  1     98    0.35618E-02    0.3009953602E+01   -0.8492512884E+01
  1     99    0.35618E-02    0.4164216588E+01   -0.7977231069E+00
  1    100    0.35618E-02   -0.5029001841E+01    0.7506378452E+01
  1    101    0.35618E-02   -0.1044752218E+02   -0.1876629833E-01
  1    102    0.35618E-02   -0.2742709832E+01    0.3294151463E+01
  1    103    0.35618E-02    0.4408035191E+01    0.1485676733E+01
  1    104    0.35618E-02    0.3203776824E+01   -0.7619523486E+01
  1    105    0.35618E-02    0.2942328475E+01    0.1610843934E+00
  1    106    0.35618E-02   -0.9788081702E+01    0.2991785812E+01
  1    107    0.35618E-02   -0.1043147013E+02   -0.1679118871E+01
  1    108    0.35618E-02    0.9203114492E+01   -0.5178452509E+01
  1    109    0.35618E-02   -0.9566410491E+01    0.6779311049E+00
  1    110    0.35618E-02    0.1016673036E+02   -0.2625775833E+01
  1    111    0.35618E-02   -0.2038152027E+01    0.8956920818E+01
  1    112    0.35618E-02   -0.6155484000E+01    0.5530789108E+01
  1    113    0.35618E-02    0.1826214575E+01   -0.3801567784E+01
  1    114    0.35618E-02    0.4589034892E+01    0.6268573677E+01
  1    115    0.35618E-02    0.5022153567E+01    0.8884698094E+01
  1    116    0.35618E-02   -0.5753054227E+01   -0.9511369501E+01
  1    117    0.35618E-02   -0.2484119209E+01   -0.3277782844E+01
  1    118    0.35618E-02   -0.5111199077E+01   -0.7434835266E+01
  1    119    0.35618E-02   -0.1226985523E+01    0.9642982321E+01
  1    120    0.35618E-02    0.2724666520E+00    0.1666556537E+01
  1    121    0.35618E-02    0.2252514829E+01    0.3092175962E+01
  1    122    0.35618E-02   -0.3185518360E+01   -0.7365248865E+01
  1    123    0.35618E-02   -0.9005135909E+01   -0.1383364733E+01
  1    124    0.35618E-02   -0.4689604339E+01    0.2117786553E+01
  1    125    0.35618E-02    0.1851810079E+01    0.5373423743E+01
  1    126    0.35618E-02   -0.4985800583E+01    0.6373769391E+00
  1    127    0.35618E-02   -0.5166856606E+01   -0.6988237434E+01
  1    128    0.35618E-02   -0.4338554904E+01    0.6764353433E+01
  1    129    0.35618E-02   -0.5948224562E+01    0.9109232330E+01
  1    130    0.35618E-02   -0.8193214507E+01   -0.6176061918E+01
  1    131    0.35618E-02   -0.5513279588E+01   -0.5353728460E+01
  1    132    0.35618E-02    0.1861895921E+01    0.9848510005E+01
  1    133    0.35618E-02    0.6766673397E+01    0.4506053881E+01
  1    134    0.35618E-02    0.4428274501E+01    0.9552905330E+01
  1    135    0.35618E-02   -0.8729805469E+01   -0.2091341880E+01
  1    136    0.35618E-02   -0.1832862900E+01   -0.4859256035E+01
  1    137    0.35618E-02   -0.2404470370E+01   -0.2540707692E+01
  1    138    0.35618E-02   -0.2053025695E+01   -0.8061360638E+01
  1    139    0.35618E-02   -0.1389202156E+01   -0.4264328125E+01
  1    140    0.35618E-02   -0.4081543845E+01    0.6805247371E+01
  1    141    0.35618E-02   -0.6937389988E+01   -0.7840723936E+01
  1    142    0.35618E-02   -0.1878508879E+01    0.3334037289E+01
  1    143    0.35618E-02   -0.8336309806E+00    0.6218913711E+01
  1    144    0.35618E-02   -0.3534785960E+01    0.8218879176E+01
  1    145    0.35618E-02    0.7446310765E+01   -0.4886110536E+01
  1    146    0.35618E-02    0.9426378705E+01   -0.5896272387E+01
  1    147    0.35618E-02   -0.9127492005E+01   -0.4434678955E+01
  1    148    0.35618E-02   -0.1092186530E+02   -0.2099550003E+01
  1    149    0.35618E-02    0.7944763253E+01   -0.2728994733E+01
  1    150    0.35618E-02   -0.3509427578E+01   -0.2074266126E+01
