% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.12690E-04
  1      2    0.71237E-02    0.73302E-05
  1      3    0.10685E-01    0.12084E-04
  1      4    0.14247E-01    0.15213E-04
  1      5    0.17809E-01    0.43341E-05
  1      6    0.21371E-01    0.67007E-05
  1      7    0.24933E-01    0.23054E-04
  1      8    0.28495E-01    0.80837E-04
  1      9    0.32056E-01    0.10412E-03
  1     10    0.35618E-01    0.22579E-03
  1     11    0.39180E-01    0.22845E-03
  1     12    0.42742E-01    0.31446E-03
  1     13    0.46304E-01    0.27562E-03
  1     14    0.49866E-01    0.25424E-03
  1     15    0.53427E-01    0.28452E-03
  1     16    0.56989E-01    0.38760E-03
  1     17    0.60551E-01    0.36327E-03
  1     18    0.64113E-01    0.23520E-03
  1     19    0.67675E-01    0.18541E-03
  1     20    0.71237E-01    0.15202E-03
  1     21    0.74798E-01    0.14513E-03
  1     22    0.78360E-01    0.18550E-03
  1     23    0.81922E-01    0.24620E-03
  1     24    0.85484E-01    0.31208E-03
  1     25    0.89046E-01    0.32521E-03
  1     26    0.92608E-01    0.42536E-03
  1     27    0.96169E-01    0.43719E-03
  1     28    0.99731E-01    0.43883E-03
  1     29    0.10329E+00    0.42632E-03
  1     30    0.10685E+00    0.44734E-03
  1     31    0.11042E+00    0.44977E-03
  1     32    0.11398E+00    0.46177E-03
  1     33    0.11754E+00    0.34477E-03
  1     34    0.12110E+00    0.24317E-03
  1     35    0.12466E+00    0.26884E-03
  1     36    0.12823E+00    0.37981E-03
  1     37    0.13179E+00    0.42070E-03
  1     38    0.13535E+00    0.45586E-03
  1     39    0.13891E+00    0.39068E-03
  1     40    0.14247E+00    0.36038E-03
  1     41    0.14603E+00    0.25112E-03
  1     42    0.14960E+00    0.24192E-03
  1     43    0.15316E+00    0.29652E-03
  1     44    0.15672E+00    0.37438E-03
  1     45    0.16028E+00    0.34216E-03
  1     46    0.16384E+00    0.35112E-03
  1     47    0.16741E+00    0.36515E-03
  1     48    0.17097E+00    0.32663E-03
  1     49    0.17453E+00    0.32746E-03
  1     50    0.17809E+00    0.47748E-03
  1     51    0.18165E+00    0.47696E-03
  1     52    0.18522E+00    0.41546E-03
  1     53    0.18878E+00    0.39549E-03
  1     54    0.19234E+00    0.32025E-03
  1     55    0.19590E+00    0.29035E-03
  1     56    0.19946E+00    0.31172E-03
  1     57    0.20302E+00    0.36502E-03
  1     58    0.20659E+00    0.31176E-03
  1     59    0.21015E+00    0.30142E-03
  1     60    0.21371E+00    0.31669E-03
  1     61    0.21727E+00    0.43320E-03
  1     62    0.22083E+00    0.62511E-03
  1     63    0.22440E+00    0.59169E-03
  1     64    0.22796E+00    0.50255E-03
  1     65    0.23152E+00    0.45240E-03
  1     66    0.23508E+00    0.29060E-03
  1     67    0.23864E+00    0.30457E-03
  1     68    0.24220E+00    0.19782E-03
