% run    par  time               x                   y
  1      1    0.35618E-02    0.1316728675E+02   -0.1089451264E+02


% run    par  time               x                   y
  2      1    0.71237E-02    0.1321003110E+02   -0.1087150483E+02


% run    par  time               x                   y
  3      1    0.10685E-01    0.1328421412E+02   -0.1090850571E+02


% run    par  time               x                   y
  4      1    0.14247E-01    0.1330502178E+02   -0.1089914460E+02


% run    par  time               x                   y
  5      1    0.17809E-01    0.1334180509E+02   -0.1093325038E+02


% run    par  time               x                   y
  6      1    0.21371E-01    0.1326152334E+02   -0.1110984240E+02


% run    par  time               x                   y
  7      1    0.24933E-01    0.1321457069E+02   -0.1105575981E+02


% run    par  time               x                   y
  8      1    0.28495E-01    0.1332254132E+02   -0.1105787934E+02


% run    par  time               x                   y
  9      1    0.32056E-01    0.1329871428E+02   -0.1101189103E+02


% run    par  time               x                   y
 10      1    0.35618E-01    0.1318695630E+02   -0.1092098456E+02


% run    par  time               x                   y
 11      1    0.39180E-01    0.1319284731E+02   -0.1094748771E+02


% run    par  time               x                   y
 12      1    0.42742E-01    0.1336794225E+02   -0.1088207951E+02


% run    par  time               x                   y
 13      1    0.46304E-01    0.1326031050E+02   -0.1085009907E+02


% run    par  time               x                   y
 14      1    0.49866E-01    0.1329295993E+02   -0.1095454621E+02


% run    par  time               x                   y
 15      1    0.53427E-01    0.1324217383E+02   -0.1100427474E+02


% run    par  time               x                   y
 16      1    0.56989E-01    0.1324045562E+02   -0.1112589356E+02


% run    par  time               x                   y
 17      1    0.60551E-01    0.1333558374E+02   -0.1108193550E+02


% run    par  time               x                   y
 18      1    0.64113E-01    0.1334948845E+02   -0.1110634835E+02


% run    par  time               x                   y
 19      1    0.67675E-01    0.1329647664E+02   -0.1113552608E+02


% run    par  time               x                   y
 20      1    0.71237E-01    0.1325837268E+02   -0.1117872856E+02


% run    par  time               x                   y
 21      1    0.74798E-01    0.1322547614E+02   -0.1117758721E+02


% run    par  time               x                   y
 22      1    0.78360E-01    0.1314756587E+02   -0.1114376682E+02


% run    par  time               x                   y
 23      1    0.81922E-01    0.1311568743E+02   -0.1107818200E+02


% run    par  time               x                   y
 24      1    0.85484E-01    0.1305056844E+02   -0.1105276161E+02


% run    par  time               x                   y
 25      1    0.89046E-01    0.1327447952E+02   -0.1098552276E+02


% run    par  time               x                   y
 26      1    0.92608E-01    0.1323447232E+02   -0.1111588473E+02


% run    par  time               x                   y
 27      1    0.96169E-01    0.1317870642E+02   -0.1107279965E+02


% run    par  time               x                   y
 28      1    0.99731E-01    0.1311266212E+02   -0.1115313356E+02


% run    par  time               x                   y
 29      1    0.10329E+00    0.1316238609E+02   -0.1100171696E+02


% run    par  time               x                   y
 30      1    0.10685E+00    0.1329992668E+02   -0.1091378582E+02


% run    par  time               x                   y
 31      1    0.11042E+00    0.1322492764E+02   -0.1097780755E+02


% run    par  time               x                   y
 32      1    0.11398E+00    0.1297883970E+02   -0.1091397165E+02


% run    par  time               x                   y
