% run    par  time              vx                  vy
  1      1    0.35618E-02    0.9914597900E+03    0.4370009743E+03


% run    par  time              vx                  vy
  2      1    0.71237E-02   -0.2126491907E+04    0.4194143384E+04


% run    par  time              vx                  vy
  3      1    0.10685E-01    0.5580615312E+04   -0.9318515778E+03


% run    par  time              vx                  vy
  4      1    0.14247E-01    0.1133846193E+04   -0.3223341967E+04


% run    par  time              vx                  vy
  5      1    0.17809E-01    0.3092722921E+02    0.8066123840E+03


% run    par  time              vx                  vy
  6      1    0.21371E-01   -0.7146549152E+03   -0.1733500777E+04


% run    par  time              vx                  vy
  7      1    0.24933E-01    0.2811703020E+04    0.4454293343E+04


% run    par  time              vx                  vy
  8      1    0.28495E-01   -0.3336612174E+04   -0.4986590425E+03


% run    par  time              vx                  vy
  9      1    0.32056E-01    0.5550333390E+04    0.4509536806E+03


% run    par  time              vx                  vy
 10      1    0.35618E-01   -0.5894602475E+03    0.3936503548E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.2082767439E+04   -0.1450864514E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01    0.3666319313E+04    0.1605271950E+04


% run    par  time              vx                  vy
 13      1    0.46304E-01    0.2807610159E+04    0.1517817363E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01    0.9351224208E+03   -0.2216169722E+03


% run    par  time              vx                  vy
 15      1    0.53427E-01   -0.1132940842E+04   -0.1552727625E+03


% run    par  time              vx                  vy
 16      1    0.56989E-01    0.1461423639E+04   -0.1614756378E+04


% run    par  time              vx                  vy
 17      1    0.60551E-01    0.1933644509E+04   -0.4298585508E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01   -0.1850810599E+04   -0.1552161639E+04


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.1606297920E+04    0.2497669998E+02


% run    par  time              vx                  vy
 20      1    0.71237E-01   -0.1725781853E+04    0.7408807688E+03


% run    par  time              vx                  vy
 21      1    0.74798E-01   -0.1350791801E+04   -0.2284119763E+04


% run    par  time              vx                  vy
 22      1    0.78360E-01   -0.3203481884E+04    0.1828838692E+04


% run    par  time              vx                  vy
 23      1    0.81922E-01   -0.1329199830E+04    0.1480666360E+04


% run    par  time              vx                  vy
 24      1    0.85484E-01   -0.1421563929E+04    0.9169372368E+03


% run    par  time              vx                  vy
 25      1    0.89046E-01   -0.1543584963E+04    0.5183971284E+03


% run    par  time              vx                  vy
 26      1    0.92608E-01   -0.4865220694E+00   -0.1158604771E+04


% run    par  time              vx                  vy
 27      1    0.96169E-01   -0.1362946377E+03    0.1784303928E+04


% run    par  time              vx                  vy
 28      1    0.99731E-01   -0.1585161166E+04   -0.1305601117E+04


% run    par  time              vx                  vy
 29      1    0.10329E+00    0.8268824868E+03    0.2435905214E+04


% run    par  time              vx                  vy
 30      1    0.10685E+00   -0.9537830197E+03   -0.2429511831E+04


% run    par  time              vx                  vy
 31      1    0.11042E+00   -0.3417202623E+03   -0.3036611827E+04


% run    par  time              vx                  vy
 32      1    0.11398E+00    0.4134666243E+04   -0.4419423088E+04


% run    par  time              vx                  vy
 33      1    0.11754E+00    0.3991826106E+03   -0.1462533929E+04


% run    par  time              vx                  vy
 34      1    0.12110E+00   -0.2129119683E+04    0.9359370243E+03


% run    par  time              vx                  vy
