% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02   -0.1013996218E+03    0.1314760262E+02    0.1022484364E+03
  1      2    0.71237E-02    0.1722210415E+03    0.2036247514E+03    0.2666891946E+03
  1      3    0.10685E-01    0.3105379614E+02   -0.3803531188E+02    0.4910217108E+02
  1      4    0.14247E-01    0.2596287338E+02   -0.3077044809E+02    0.4026029396E+02
  1      5    0.17809E-01   -0.4063083045E+02    0.2679836022E+02    0.4867254353E+02
  1      6    0.21371E-01   -0.1795083504E+03    0.5285906930E+02    0.1871291775E+03
  1      7    0.24933E-01    0.3150617298E+02    0.1142412574E+03    0.1185061341E+03
  1      8    0.28495E-01    0.3297555522E+02    0.1062968564E+03    0.1112942448E+03
  1      9    0.32056E-01   -0.8436251768E+02    0.7000381604E+02    0.1096246717E+03
  1     10    0.35618E-01    0.2139647142E+02    0.2633047952E+02    0.3392791094E+02
  1     11    0.39180E-01    0.1548934560E+03    0.2175693457E+02    0.1564140241E+03
  1     12    0.42742E-01    0.7360368121E+02    0.8364966329E+02    0.1114215781E+03
  1     13    0.46304E-01   -0.1179880689E+02    0.1930659403E+01    0.1195572205E+02
  1     14    0.49866E-01   -0.5672118916E+02    0.5366870928E+02    0.7808728229E+02
  1     15    0.53427E-01    0.7643182848E+02    0.2307423748E+02    0.7983886798E+02
  1     16    0.56989E-01    0.1790262316E+02    0.4326172925E+02    0.4681966610E+02
  1     17    0.60551E-01    0.9985822640E+02   -0.7031605203E+02    0.1221311285E+03
  1     18    0.64113E-01    0.3240171599E+02   -0.7416566522E+01    0.3323968498E+02
  1     19    0.67675E-01    0.8366603881E+02    0.4025067759E+02    0.9284461803E+02
  1     20    0.71237E-01   -0.5838356244E+02    0.4383141559E+02    0.7300570769E+02
  1     21    0.74798E-01    0.8448977125E+01   -0.9594702037E+02    0.9631830528E+02
  1     22    0.78360E-01   -0.2393112505E+02   -0.2496497631E+01    0.2406099014E+02
  1     23    0.81922E-01    0.1274781857E+02    0.4165546952E+02    0.4356242669E+02
  1     24    0.85484E-01   -0.1007913172E+03    0.5731260368E+01    0.1009541330E+03
  1     25    0.89046E-01   -0.6544456680E+02   -0.2144051433E+02    0.6886716908E+02
  1     26    0.92608E-01   -0.4423529139E+02   -0.2679985059E+02    0.5172033446E+02
  1     27    0.96169E-01    0.1836464030E+02   -0.2951705125E+02    0.3476372143E+02
  1     28    0.99731E-01   -0.3941311823E+02   -0.8291705549E+01    0.4027587701E+02
  1     29    0.10329E+00    0.6238997256E+02    0.4693111448E+02    0.7807072551E+02
  1     30    0.10685E+00   -0.5418887438E+02    0.1547908315E+03    0.1640019379E+03
  1     31    0.11042E+00   -0.6690598267E+02   -0.2315792474E+02    0.7080042369E+02
  1     32    0.11398E+00   -0.6946150821E+02   -0.3344013881E+02    0.7709178949E+02
  1     33    0.11754E+00    0.3292730329E+02   -0.1433982356E+03    0.1471300829E+03
  1     34    0.12110E+00    0.3631451175E+01    0.1746574790E+03    0.1746952272E+03
  1     35    0.12466E+00    0.6827159453E+00    0.5744049504E+02    0.5744455215E+02
  1     36    0.12823E+00    0.6768803357E+02    0.4180822464E+02    0.7955876782E+02
  1     37    0.13179E+00   -0.1562554316E+03    0.7127065616E+02    0.1717418596E+03
  1     38    0.13535E+00    0.6307022359E+02   -0.7092519816E+02    0.9491173182E+02
  1     39    0.13891E+00    0.3319249880E+02    0.2457328120E+02    0.4129876664E+02
  1     40    0.14247E+00   -0.1222728134E+02   -0.7428889620E+01    0.1430715940E+02
  1     41    0.14603E+00    0.5349263776E+02   -0.5177260102E+02    0.7444370027E+02
  1     42    0.14960E+00   -0.3404898822E+02   -0.4170938352E+02    0.5384242076E+02
  1     43    0.15316E+00   -0.7551086711E+02    0.2876554322E+02    0.8080437815E+02
  1     44    0.15672E+00    0.4699423188E+00    0.1494732533E+02    0.1495471097E+02
  1     45    0.16028E+00    0.9416994607E+02   -0.2341346572E+02    0.9703694719E+02
  1     46    0.16384E+00   -0.2345524665E+02   -0.2521941147E+02    0.3444077975E+02
  1     47    0.16741E+00   -0.1547157317E+03   -0.1044861093E+03    0.1866930761E+03
  1     48    0.17097E+00   -0.2785711427E+02   -0.4461146973E+02    0.5259469600E+02
  1     49    0.17453E+00   -0.1094596559E+02    0.4468194836E+02    0.4600315937E+02
  1     50    0.17809E+00    0.4824036839E+02    0.9687754005E+01    0.4920351329E+02
  1     51    0.18165E+00   -0.3697296021E+02    0.2048649591E+02    0.4226933050E+02
