% run    par  time               x                   y
  1      1    0.35618E-02    0.1405744186E+01   -0.9655043004E-01


% run    par  time               x                   y
  2      1    0.71237E-02    0.1366088550E+01   -0.1247897925E+00


% run    par  time               x                   y
  3      1    0.10685E-01    0.1377016852E+01   -0.1461473373E+00


% run    par  time               x                   y
  4      1    0.14247E-01    0.1351590500E+01   -0.1217648388E+00


% run    par  time               x                   y
  5      1    0.17809E-01    0.1333387273E+01   -0.1646881956E+00


% run    par  time               x                   y
  6      1    0.21371E-01    0.1234474608E+01   -0.1095139914E+00


% run    par  time               x                   y
  7      1    0.24933E-01    0.1047611631E+01   -0.3561407951E-01


% run    par  time               x                   y
  8      1    0.28495E-01    0.1007913554E+01   -0.9753830917E-01


% run    par  time               x                   y
  9      1    0.32056E-01    0.9470891054E+00   -0.2605607082E+00


% run    par  time               x                   y
 10      1    0.35618E-01    0.8868149999E+00   -0.2227623512E+00


% run    par  time               x                   y
 11      1    0.39180E-01    0.1062261572E+01   -0.1839295504E-01


% run    par  time               x                   y
 12      1    0.42742E-01    0.1080181711E+01    0.3471902891E-01


% run    par  time               x                   y
 13      1    0.46304E-01    0.1124893625E+01    0.1125154738E+00


% run    par  time               x                   y
 14      1    0.49866E-01    0.1133446627E+01    0.1418542223E+00


% run    par  time               x                   y
 15      1    0.53427E-01    0.1102027735E+01    0.1364179409E+00


% run    par  time               x                   y
 16      1    0.56989E-01    0.1100739243E+01    0.1996682612E+00


% run    par  time               x                   y
 17      1    0.60551E-01    0.1279183803E+01    0.1878081881E+00


% run    par  time               x                   y
 18      1    0.64113E-01    0.1144045592E+01    0.1403991267E+00


% run    par  time               x                   y
 19      1    0.67675E-01    0.9990695614E+00    0.1825127148E+00


% run    par  time               x                   y
 20      1    0.71237E-01    0.1119265320E+01    0.2382058221E+00


% run    par  time               x                   y
 21      1    0.74798E-01    0.1118213487E+01    0.1916910373E+00


% run    par  time               x                   y
 22      1    0.78360E-01    0.1185326968E+01    0.2038936875E+00


% run    par  time               x                   y
 23      1    0.81922E-01    0.1273187634E+01    0.1101137698E+00


% run    par  time               x                   y
 24      1    0.85484E-01    0.1293190579E+01    0.1381186809E+00


% run    par  time               x                   y
 25      1    0.89046E-01    0.1240553436E+01    0.1254392478E+00


% run    par  time               x                   y
 26      1    0.92608E-01    0.1210965495E+01    0.1569032009E+00


% run    par  time               x                   y
 27      1    0.96169E-01    0.1342960888E+01    0.2370347118E+00


% run    par  time               x                   y
