% run    par  time              vx                  vy
  1      1    0.35618E-02    0.2577750314E+04    0.1258393521E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02    0.1344956599E+04   -0.2071570331E+04


% run    par  time              vx                  vy
  3      1    0.10685E-01    0.6312323158E+03    0.2208376117E+04


% run    par  time              vx                  vy
  4      1    0.14247E-01   -0.9054415469E+03    0.1701041601E+03


% run    par  time              vx                  vy
  5      1    0.17809E-01   -0.3147321348E+04    0.6572251228E+03


% run    par  time              vx                  vy
  6      1    0.21371E-01    0.4125357871E+03    0.4311191770E+04


% run    par  time              vx                  vy
  7      1    0.24933E-01    0.1350576551E+04    0.3582228223E+04


% run    par  time              vx                  vy
  8      1    0.28495E-01   -0.6276496141E+03   -0.1489537240E+03


% run    par  time              vx                  vy
  9      1    0.32056E-01   -0.3407630626E+04   -0.3989645779E+04


% run    par  time              vx                  vy
 10      1    0.35618E-01    0.1938884665E+04    0.2446972522E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.6760043636E+03   -0.3457339870E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01    0.1386924179E+04    0.1553295799E+04


% run    par  time              vx                  vy
 13      1    0.46304E-01   -0.2789663035E+04    0.4426668716E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01   -0.6322628757E+03   -0.1958239531E+04


% run    par  time              vx                  vy
 15      1    0.53427E-01    0.2218472822E+04   -0.8348797250E+03


% run    par  time              vx                  vy
 16      1    0.56989E-01   -0.6616790653E+03    0.3031807397E+04


% run    par  time              vx                  vy
 17      1    0.60551E-01   -0.1059567208E+04   -0.3929629382E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01    0.7465875128E+03   -0.1355650750E+04


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.8244172079E+03    0.4665863981E+04


% run    par  time              vx                  vy
 20      1    0.71237E-01    0.1933057797E+04    0.9104910997E+03


% run    par  time              vx                  vy
 21      1    0.74798E-01    0.1814790789E+04   -0.2402503576E+04


% run    par  time              vx                  vy
