% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.2390047374E+03    0.5429399376E+01    0.2390663985E+03
  1      2    0.71237E-02   -0.4653888494E+03    0.3819594136E+03    0.6020629326E+03
  1      3    0.10685E-01    0.1608583606E+03    0.1438732780E+03    0.2158122617E+03
  1      4    0.14247E-01   -0.3005251393E+02   -0.1831682074E+03    0.1856172023E+03
  1      5    0.17809E-01    0.2578864742E+02    0.1893538562E+03    0.1911019026E+03
  1      6    0.21371E-01    0.3694017181E+02    0.4449302869E+03    0.4464611254E+03
  1      7    0.24933E-01    0.2618167027E+03    0.9355090580E+02    0.2780283399E+03
  1      8    0.28495E-01    0.2054618913E+03   -0.8294445154E+02    0.2215724957E+03
  1      9    0.32056E-01   -0.9768876353E+01   -0.1649184314E+03    0.1652075057E+03
  1     10    0.35618E-01   -0.9368938918E+02    0.1408246316E+03    0.1691427756E+03
  1     11    0.39180E-01   -0.4517380750E+01    0.1721847479E+03    0.1722439960E+03
  1     12    0.42742E-01    0.2436498254E+03   -0.1239530208E+03    0.2733671319E+03
  1     13    0.46304E-01   -0.1160980222E+03    0.2736412547E+03    0.2972512187E+03
  1     14    0.49866E-01    0.2757536786E+02    0.2254504441E+03    0.2271305872E+03
  1     15    0.53427E-01   -0.1581683616E+03    0.2567969014E+03    0.3015988713E+03
  1     16    0.56989E-01    0.2486406035E+03    0.3213192988E+03    0.4062859110E+03
  1     17    0.60551E-01    0.2202383787E+03    0.1889831084E+03    0.2902060625E+03
  1     18    0.64113E-01   -0.1489302722E+02    0.1705657312E+01    0.1499038114E+02
  1     19    0.67675E-01    0.1991782118E+03   -0.1123533273E+02    0.1994948439E+03
  1     20    0.71237E-01    0.1011682276E+03   -0.1001639728E+03    0.1423651352E+03
  1     21    0.74798E-01    0.6014174148E+02   -0.9183318504E+01    0.6083882319E+02
  1     22    0.78360E-01   -0.1077478753E+02    0.6066289807E+02    0.6161236279E+02
  1     23    0.81922E-01   -0.2903879382E+02   -0.1838139406E+02    0.3436753110E+02
  1     24    0.85484E-01   -0.1141408901E+03    0.1851319699E+02    0.1156325268E+03
  1     25    0.89046E-01    0.1414124735E+03    0.4305526949E+03    0.4531811015E+03
  1     26    0.92608E-01   -0.9240155376E+02   -0.1597150632E+03    0.1845181523E+03
  1     27    0.96169E-01    0.3529184193E+02    0.5109301506E+02    0.6209678168E+02
  1     28    0.99731E-01    0.2577827650E+03    0.5918794377E+02    0.2644903904E+03
  1     29    0.10329E+00   -0.7816516240E+02    0.4445995517E+02    0.8992485878E+02
  1     30    0.10685E+00    0.1558883005E+03    0.6871752173E+02    0.1703621438E+03
  1     31    0.11042E+00   -0.2671810782E+03   -0.1255249342E+03    0.2951986410E+03
