% run    par  time              vx                  vy
  1      1    0.35618E-02    0.1219408618E+07    0.5249164985E+07
  1      2    0.35618E-02    0.2759284787E+08    0.6001781623E+07
  1      3    0.35618E-02   -0.1013489041E+08    0.1772026473E+08
  1      4    0.35618E-02   -0.5649260644E+07    0.1236282916E+08
  1      5    0.35618E-02   -0.4967367972E+08   -0.4770966614E+07
  1      6    0.35618E-02    0.2301485118E+08   -0.2235620384E+08
  1      7    0.35618E-02    0.2189496525E+08    0.1464431069E+08
  1      8    0.35618E-02   -0.1858460457E+07   -0.3981661182E+08
  1      9    0.35618E-02   -0.2338487537E+08   -0.1871616426E+08
  1     10    0.35618E-02   -0.2386921663E+08    0.2223104798E+08
  1     11    0.35618E-02   -0.1472687271E+08    0.5482203373E+07
  1     12    0.35618E-02   -0.2606238484E+08    0.3154184497E+08
  1     13    0.35618E-02   -0.8997797879E+07    0.9976665954E+07
  1     14    0.35618E-02   -0.2995614568E+08    0.2452504905E+08
  1     15    0.35618E-02   -0.4370507332E+08   -0.2742832586E+07
  1     16    0.35618E-02    0.2276211154E+08    0.2082299651E+08
  1     17    0.35618E-02    0.2455328864E+08    0.2215689258E+08
  1     18    0.35618E-02    0.9510216305E+07   -0.2268488699E+08
  1     19    0.35618E-02   -0.2938254336E+08    0.8731088155E+07
  1     20    0.35618E-02    0.3073700120E+08    0.7232185976E+07
  1     21    0.35618E-02    0.6929484691E+07    0.1121939705E+08
  1     22    0.35618E-02    0.2057913805E+08    0.2223884585E+08
  1     23    0.35618E-02    0.3657155924E+08   -0.3100891422E+08
  1     24    0.35618E-02   -0.6489572683E+07   -0.1990979352E+07
  1     25    0.35618E-02    0.4106565495E+07   -0.2251370656E+08
  1     26    0.35618E-02    0.1473855329E+08    0.8866681676E+07
  1     27    0.35618E-02   -0.1140426932E+08   -0.4192537482E+08
  1     28    0.35618E-02    0.7755460132E+07   -0.1735268824E+08
  1     29    0.35618E-02    0.3495088037E+08   -0.4041022930E+07
  1     30    0.35618E-02    0.4869422408E+07   -0.3094013301E+08
  1     31    0.35618E-02    0.2463843960E+08   -0.1836475414E+08
  1     32    0.35618E-02    0.2085741253E+08   -0.4283016306E+07
  1     33    0.35618E-02   -0.2349584505E+08    0.2358523463E+08
  1     34    0.35618E-02    0.1605816996E+08   -0.2984062523E+08
  1     35    0.35618E-02   -0.2028475512E+08    0.2188434822E+08
  1     36    0.35618E-02   -0.4217098042E+08   -0.3936659760E+08
  1     37    0.35618E-02   -0.2013285823E+08   -0.5259564156E+07
  1     38    0.35618E-02    0.1732202496E+08    0.5782635279E+07
  1     39    0.35618E-02   -0.5655139913E+08   -0.8092104995E+07
  1     40    0.35618E-02   -0.3435251863E+08    0.1828037294E+08
  1     41    0.35618E-02   -0.9855227007E+06   -0.4522820598E+08
  1     42    0.35618E-02    0.1089821377E+08   -0.1913774681E+08
  1     43    0.35618E-02   -0.3072063922E+07   -0.3205882122E+08
  1     44    0.35618E-02    0.1243854244E+08    0.9331992928E+07
  1     45    0.35618E-02    0.1229482054E+08   -0.6381074420E+08
  1     46    0.35618E-02   -0.6214626107E+08    0.1420905043E+08
  1     47    0.35618E-02    0.4721218882E+08   -0.4589649368E+07
  1     48    0.35618E-02   -0.1234307811E+08    0.1652684627E+08
  1     49    0.35618E-02   -0.3005009591E+08   -0.2395552576E+08
  1     50    0.35618E-02   -0.1721685461E+08   -0.1141888345E+08
  1     51    0.35618E-02   -0.2384526510E+08   -0.1747445998E+08
  1     52    0.35618E-02   -0.6049046139E+08    0.1548790657E+08
  1     53    0.35618E-02    0.1031591458E+08   -0.7139023869E+07
  1     54    0.35618E-02    0.1584379684E+08    0.3404980967E+06
  1     55    0.35618E-02   -0.4228477067E+07    0.2102946194E+07
  1     56    0.35618E-02   -0.3051816064E+08   -0.1777807015E+08
  1     57    0.35618E-02   -0.1719486914E+08    0.1359232039E+08
  1     58    0.35618E-02    0.2073654332E+08   -0.1202148947E+08
  1     59    0.35618E-02    0.1609719325E+08    0.3418231559E+08
  1     60    0.35618E-02   -0.1306307883E+08    0.1224731153E+08
  1     61    0.35618E-02    0.3559621864E+08   -0.1755628614E+08
  1     62    0.35618E-02   -0.4350732842E+08    0.5387244336E+08
  1     63    0.35618E-02    0.1107545129E+08   -0.9029350257E+07
  1     64    0.35618E-02   -0.9524122826E+07    0.1104824064E+08
  1     65    0.35618E-02    0.3267269962E+08    0.3569904724E+08
  1     66    0.35618E-02    0.8355708844E+07    0.2118656742E+08
  1     67    0.35618E-02    0.5243461137E+08   -0.1252118214E+08
  1     68    0.35618E-02    0.1124601591E+08    0.5718079419E+08
  1     69    0.35618E-02   -0.1675051159E+08   -0.2380959062E+08
  1     70    0.35618E-02   -0.2757316745E+08   -0.2201943327E+08
  1     71    0.35618E-02   -0.5377716264E+08    0.1931955981E+08
  1     72    0.35618E-02    0.5973201647E+07   -0.8476916333E+07
  1     73    0.35618E-02   -0.1926054714E+07   -0.1822711970E+08
  1     74    0.35618E-02    0.3904611628E+07    0.1023679529E+08
  1     75    0.35618E-02    0.3117434899E+07    0.1312747311E+08
  1     76    0.35618E-02   -0.2228616277E+08   -0.1401590573E+08
  1     77    0.35618E-02    0.1932786227E+07    0.1103072754E+08
  1     78    0.35618E-02   -0.9068545149E+07    0.1091999726E+08
  1     79    0.35618E-02   -0.7147905059E+07    0.2313581644E+08
  1     80    0.35618E-02    0.4843760104E+07    0.2159884223E+08
  1     81    0.35618E-02    0.2453091618E+08   -0.1019017822E+08
