% run    par  time              vx                  vy
  1      1    0.35618E-02    0.2370217172E+03   -0.1341627565E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02    0.2972733638E+04    0.4971948748E+03


% run    par  time              vx                  vy
  3      1    0.10685E-01    0.2417350758E+04   -0.1888923731E+04


% run    par  time              vx                  vy
  4      1    0.14247E-01   -0.4659183738E+03   -0.6556340243E+02


% run    par  time              vx                  vy
  5      1    0.17809E-01   -0.3371550507E+04   -0.4377383758E+04


% run    par  time              vx                  vy
  6      1    0.21371E-01    0.1066439750E+04    0.1337910402E+04


% run    par  time              vx                  vy
  7      1    0.24933E-01    0.2809134424E+04    0.1113411121E+04


% run    par  time              vx                  vy
  8      1    0.28495E-01   -0.2568934376E+04   -0.5075680080E+04


% run    par  time              vx                  vy
  9      1    0.32056E-01    0.4212826582E+03   -0.3888412636E+04


% run    par  time              vx                  vy
 10      1    0.35618E-01   -0.5190516925E+04   -0.1861532857E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01   -0.1426757901E+04   -0.1401684639E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01    0.2615280688E+04   -0.2118159153E+04


% run    par  time              vx                  vy
 13      1    0.46304E-01    0.1050387224E+04    0.2160764433E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01   -0.5690002823E+03    0.2994977574E+04


% run    par  time              vx                  vy
 15      1    0.53427E-01    0.3192363447E+04    0.3701583628E+04


% run    par  time              vx                  vy
 16      1    0.56989E-01   -0.8260191555E+03    0.2340689473E+03


% run    par  time              vx                  vy
 17      1    0.60551E-01   -0.2380212748E+04    0.3209341945E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01   -0.1135218713E+03   -0.3389040859E+04


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.1199550407E+04    0.2951271608E+04


% run    par  time              vx                  vy
 20      1    0.71237E-01   -0.1812280243E+04    0.1729177553E+04


% run    par  time              vx                  vy
 21      1    0.74798E-01    0.3333548390E+04   -0.3572286883E+04


% run    par  time              vx                  vy
 22      1    0.78360E-01   -0.2665470326E+03   -0.1520791884E+04


% run    par  time              vx                  vy
 23      1    0.81922E-01   -0.3488627891E+02    0.1521742573E+04


% run    par  time              vx                  vy
 24      1    0.85484E-01   -0.2386368566E+04    0.1983189773E+04


% run    par  time              vx                  vy
 25      1    0.89046E-01   -0.1408484653E+04    0.6088077333E+03


% run    par  time              vx                  vy
 26      1    0.92608E-01    0.2250387199E+04    0.1278687493E+04


% run    par  time              vx                  vy
 27      1    0.96169E-01    0.1031643435E+04   -0.1925443673E+04


% run    par  time              vx                  vy
 28      1    0.99731E-01   -0.1570077266E+04    0.1248792005E+04


% run    par  time              vx                  vy
 29      1    0.10329E+00    0.1533300409E+04    0.2387313746E+04


% run    par  time              vx                  vy
 30      1    0.10685E+00    0.2590337085E+04    0.1208964639E+04


% run    par  time              vx                  vy
 31      1    0.11042E+00    0.3387252757E+04    0.3948886933E+04


% run    par  time              vx                  vy
 32      1    0.11398E+00    0.1097695736E+04    0.6914081729E+03


% run    par  time              vx                  vy
 33      1    0.11754E+00   -0.8826801062E+03   -0.1170002582E+04


% run    par  time              vx                  vy
