% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.85266E-01
  1      2    0.71237E-02    0.20575E+00
  1      3    0.10685E-01    0.33313E+00
  1      4    0.14247E-01    0.45418E+00
  1      5    0.17809E-01    0.56135E+00
  1      6    0.21371E-01    0.66374E+00
  1      7    0.24933E-01    0.77112E+00
  1      8    0.28495E-01    0.87265E+00
  1      9    0.32056E-01    0.97863E+00
  1     10    0.35618E-01    0.10975E+01
  1     11    0.39180E-01    0.12194E+01
  1     12    0.42742E-01    0.13588E+01
  1     13    0.46304E-01    0.14787E+01
  1     14    0.49866E-01    0.16017E+01
  1     15    0.53427E-01    0.17053E+01
  1     16    0.56989E-01    0.18358E+01
  1     17    0.60551E-01    0.19595E+01
  1     18    0.64113E-01    0.20892E+01
  1     19    0.67675E-01    0.22141E+01
  1     20    0.71237E-01    0.22974E+01
  1     21    0.74798E-01    0.23871E+01
  1     22    0.78360E-01    0.25207E+01
  1     23    0.81922E-01    0.26678E+01
  1     24    0.85484E-01    0.28140E+01
  1     25    0.89046E-01    0.29318E+01
  1     26    0.92608E-01    0.30819E+01
  1     27    0.96169E-01    0.32514E+01
  1     28    0.99731E-01    0.33781E+01
  1     29    0.10329E+00    0.34623E+01
  1     30    0.10685E+00    0.35146E+01
  1     31    0.11042E+00    0.36075E+01
  1     32    0.11398E+00    0.37210E+01
  1     33    0.11754E+00    0.38510E+01
  1     34    0.12110E+00    0.39917E+01
  1     35    0.12466E+00    0.40876E+01
  1     36    0.12823E+00    0.41870E+01
  1     37    0.13179E+00    0.43151E+01
  1     38    0.13535E+00    0.44179E+01
  1     39    0.13891E+00    0.45611E+01
  1     40    0.14247E+00    0.46686E+01
  1     41    0.14603E+00    0.47162E+01
  1     42    0.14960E+00    0.48376E+01
  1     43    0.15316E+00    0.49282E+01
  1     44    0.15672E+00    0.50447E+01
  1     45    0.16028E+00    0.51153E+01
  1     46    0.16384E+00    0.51925E+01
  1     47    0.16741E+00    0.53279E+01
  1     48    0.17097E+00    0.54659E+01
  1     49    0.17453E+00    0.56081E+01
  1     50    0.17809E+00    0.57234E+01
  1     51    0.18165E+00    0.58221E+01
  1     52    0.18522E+00    0.59335E+01
  1     53    0.18878E+00    0.60930E+01
  1     54    0.19234E+00    0.62388E+01
  1     55    0.19590E+00    0.63770E+01
  1     56    0.19946E+00    0.64600E+01
  1     57    0.20302E+00    0.66298E+01
  1     58    0.20659E+00    0.67409E+01
  1     59    0.21015E+00    0.68539E+01
  1     60    0.21371E+00    0.69552E+01
  1     61    0.21727E+00    0.70458E+01
  1     62    0.22083E+00    0.71337E+01
  1     63    0.22440E+00    0.72830E+01
  1     64    0.22796E+00    0.74435E+01
  1     65    0.23152E+00    0.75990E+01
  1     66    0.23508E+00    0.77619E+01
  1     67    0.23864E+00    0.79096E+01
  1     68    0.24220E+00    0.80192E+01
  1     69    0.24577E+00    0.80948E+01
  1     70    0.24933E+00    0.81532E+01
  1     71    0.25289E+00    0.82439E+01
  1     72    0.25645E+00    0.83478E+01
  1     73    0.26001E+00    0.84719E+01
  1     74    0.26358E+00    0.85544E+01
  1     75    0.26714E+00    0.86128E+01
  1     76    0.27070E+00    0.87910E+01
  1     77    0.27426E+00    0.88943E+01
