% run    par  time               x                   y
  1      1    0.35618E-02    0.2972173579E+01   -0.9762669055E+01
  1      2    0.35618E-02   -0.1657973345E+01   -0.4223447193E+01
  1      3    0.35618E-02   -0.3392915026E+01   -0.3975615400E+00
  1      4    0.35618E-02   -0.8466642207E+01    0.1047029969E+02
  1      5    0.35618E-02   -0.9794171880E+01    0.6532248824E+00
  1      6    0.35618E-02   -0.8216461904E+01    0.1199188526E+02
  1      7    0.35618E-02    0.5875047834E+01    0.6656143077E+01
  1      8    0.35618E-02    0.1311386626E+01    0.1163598258E+02
  1      9    0.35618E-02    0.7932960841E+01    0.6077721305E+01
  1     10    0.35618E-02   -0.1830850115E+01   -0.3700476599E+01
  1     11    0.35618E-02   -0.2044433684E+01   -0.2777925777E+01
  1     12    0.35618E-02    0.6518229388E+01   -0.8423995792E+01
  1     13    0.35618E-02    0.1328564963E+02   -0.4475574422E+01
  1     14    0.35618E-02   -0.1025287981E+02   -0.7845866713E+01
  1     15    0.35618E-02   -0.8671680631E+01    0.9583577435E+01
  1     16    0.35618E-02   -0.3744648581E+01    0.2716437329E+00
  1     17    0.35618E-02    0.4113451955E+01    0.1805677927E+01
  1     18    0.35618E-02    0.2618792042E+01    0.9899054822E+01
  1     19    0.35618E-02    0.8517681806E+01    0.1271556106E+02
  1     20    0.35618E-02    0.1099632557E+02    0.5866547306E+01
  1     21    0.35618E-02   -0.1291658944E+02    0.3687686715E+00
  1     22    0.35618E-02    0.1068534375E+02   -0.9124955026E+01
  1     23    0.35618E-02   -0.5255114115E+00    0.1022793648E+02
  1     24    0.35618E-02   -0.1787225617E+01    0.6303586283E+01
  1     25    0.35618E-02    0.7277361878E+01   -0.5684981843E+01
  1     26    0.35618E-02    0.4078997806E+01   -0.3594797559E+01
  1     27    0.35618E-02   -0.1447892725E+02   -0.4251017600E+00
  1     28    0.35618E-02    0.1003111154E+01    0.1011235139E+02
  1     29    0.35618E-02   -0.1402777269E+02   -0.3027846812E+01
  1     30    0.35618E-02    0.1255604516E+02   -0.4515694879E+01
  1     31    0.35618E-02    0.4709419315E+01    0.1423575121E+02
  1     32    0.35618E-02    0.5247251464E+01   -0.4413712213E-01
  1     33    0.35618E-02    0.9567965904E+01    0.1123666499E+02
  1     34    0.35618E-02    0.3622106532E+01   -0.7064840690E+01
  1     35    0.35618E-02   -0.8794225207E+01    0.6414435780E+01
  1     36    0.35618E-02   -0.1053398513E+02   -0.1332161134E+01
  1     37    0.35618E-02   -0.6901783867E+00    0.8439612896E+01
  1     38    0.35618E-02   -0.2745878878E+01   -0.1069202883E+02
  1     39    0.35618E-02   -0.8550750712E+01   -0.1248018075E+02
  1     40    0.35618E-02    0.1446953774E+02   -0.4485538764E+01
  1     41    0.35618E-02    0.1219127941E+01   -0.1262341283E+02
  1     42    0.35618E-02    0.5805118195E+01    0.4542320427E+01
  1     43    0.35618E-02    0.1459373998E+02   -0.5865989844E+00
  1     44    0.35618E-02    0.2201352245E+01   -0.8617447041E+01
  1     45    0.35618E-02   -0.3741798118E+00   -0.2881668199E+01
  1     46    0.35618E-02    0.4079873481E+00   -0.1126651705E+02
  1     47    0.35618E-02   -0.6568470992E+00    0.6515713074E+01
  1     48    0.35618E-02    0.1284646237E+02    0.5377523214E+01
  1     49    0.35618E-02    0.5510208128E+01   -0.4504884214E+01
  1     50    0.35618E-02    0.4999214213E+01    0.1213982275E+02
  1     51    0.35618E-02    0.2087148678E+01    0.7471683915E+01
  1     52    0.35618E-02    0.6405930476E+01    0.7735381998E+00
  1     53    0.35618E-02   -0.7299849727E+01    0.5650199154E+01
  1     54    0.35618E-02   -0.6800056080E+01    0.8020574206E+01
  1     55    0.35618E-02    0.6843617113E+01   -0.7938691512E+01
  1     56    0.35618E-02   -0.1018421980E+02   -0.3785165714E+01
  1     57    0.35618E-02   -0.1089076447E+02   -0.8678985381E+01
  1     58    0.35618E-02   -0.1013011899E+02    0.4887851587E+01
  1     59    0.35618E-02   -0.2642203151E+01    0.9958655649E+01
  1     60    0.35618E-02   -0.2397671077E+00   -0.1464102332E+02
  1     61    0.35618E-02   -0.3571355980E+01    0.8133309146E+01
  1     62    0.35618E-02    0.5805914384E+00   -0.1186587427E+02
  1     63    0.35618E-02   -0.1384829721E+02    0.1502111887E+01
  1     64    0.35618E-02    0.1182106112E+01   -0.7527183342E+01
  1     65    0.35618E-02    0.4970126634E+01   -0.1082453167E+02
  1     66    0.35618E-02   -0.1474366460E+02    0.2773864132E+01
  1     67    0.35618E-02   -0.1130511853E+02    0.2635142599E+01
  1     68    0.35618E-02   -0.1327400191E+02   -0.5413936359E+01
  1     69    0.35618E-02   -0.3820665675E+01   -0.1919082599E+01
  1     70    0.35618E-02    0.3806458859E+01    0.9134282215E+01
  1     71    0.35618E-02    0.1189651550E+02    0.5360653802E+01
  1     72    0.35618E-02    0.1169540830E+02    0.2930188927E+01
  1     73    0.35618E-02   -0.2257347613E+01   -0.4278863513E+01
  1     74    0.35618E-02    0.1251636115E+02    0.2221146942E+01
  1     75    0.35618E-02    0.5946674065E+01   -0.8076504966E+01
  1     76    0.35618E-02    0.4461099782E+00   -0.1355986821E+02
  1     77    0.35618E-02   -0.1402043244E+02   -0.1740522367E+01
