% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.10199E+00
  1      2    0.71237E-02    0.23708E+00
  1      3    0.10685E-01    0.37579E+00
  1      4    0.14247E-01    0.49985E+00
  1      5    0.17809E-01    0.62325E+00
  1      6    0.21371E-01    0.72703E+00
  1      7    0.24933E-01    0.77286E+00
  1      8    0.28495E-01    0.90380E+00
  1      9    0.32056E-01    0.99444E+00
  1     10    0.35618E-01    0.11325E+01
  1     11    0.39180E-01    0.13107E+01
  1     12    0.42742E-01    0.14870E+01
  1     13    0.46304E-01    0.16490E+01
  1     14    0.49866E-01    0.17477E+01
  1     15    0.53427E-01    0.18361E+01
  1     16    0.56989E-01    0.19440E+01
  1     17    0.60551E-01    0.20227E+01
  1     18    0.64113E-01    0.20951E+01
  1     19    0.67675E-01    0.21451E+01
  1     20    0.71237E-01    0.21324E+01
  1     21    0.74798E-01    0.22744E+01
  1     22    0.78360E-01    0.24498E+01
  1     23    0.81922E-01    0.26140E+01
  1     24    0.85484E-01    0.27189E+01
  1     25    0.89046E-01    0.29090E+01
  1     26    0.92608E-01    0.30137E+01
  1     27    0.96169E-01    0.31465E+01
  1     28    0.99731E-01    0.32804E+01
  1     29    0.10329E+00    0.33649E+01
  1     30    0.10685E+00    0.34138E+01
  1     31    0.11042E+00    0.35666E+01
  1     32    0.11398E+00    0.37041E+01
  1     33    0.11754E+00    0.39326E+01
  1     34    0.12110E+00    0.40733E+01
  1     35    0.12466E+00    0.41626E+01
  1     36    0.12823E+00    0.42580E+01
  1     37    0.13179E+00    0.42908E+01
  1     38    0.13535E+00    0.43459E+01
  1     39    0.13891E+00    0.44371E+01
  1     40    0.14247E+00    0.45216E+01
  1     41    0.14603E+00    0.46060E+01
  1     42    0.14960E+00    0.45899E+01
  1     43    0.15316E+00    0.45840E+01
  1     44    0.15672E+00    0.46728E+01
  1     45    0.16028E+00    0.48924E+01
  1     46    0.16384E+00    0.50153E+01
  1     47    0.16741E+00    0.50557E+01
  1     48    0.17097E+00    0.51274E+01
  1     49    0.17453E+00    0.52176E+01
  1     50    0.17809E+00    0.52837E+01
  1     51    0.18165E+00    0.53213E+01
  1     52    0.18522E+00    0.53918E+01
  1     53    0.18878E+00    0.55480E+01
  1     54    0.19234E+00    0.56895E+01
  1     55    0.19590E+00    0.58504E+01
