% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.3738845425E+02    0.1272779182E+03    0.1326558139E+03
  1      2    0.71237E-02    0.2374912884E+02    0.5212367412E+02    0.5727912817E+02
  1      3    0.10685E-01   -0.2660363279E+03    0.3163641855E+03    0.4133541165E+03
  1      4    0.14247E-01    0.1443780426E+03    0.4314505434E+02    0.1506868106E+03
  1      5    0.17809E-01    0.2103247674E+03   -0.2023899868E+03    0.2918873320E+03
  1      6    0.21371E-01   -0.1334429073E+02   -0.2986725367E+03    0.2989704906E+03
  1      7    0.24933E-01    0.4046088702E+03    0.1293544975E+03    0.4247833846E+03
  1      8    0.28495E-01    0.2085101032E+03   -0.1272380031E+02    0.2088979613E+03
  1      9    0.32056E-01   -0.2524843340E+03    0.1664339941E+02    0.2530322937E+03
  1     10    0.35618E-01    0.1406327805E+03    0.1473193091E+03    0.2036677633E+03
  1     11    0.39180E-01   -0.1165538471E+03    0.2245550915E+03    0.2530015581E+03
  1     12    0.42742E-01    0.1258473990E+03   -0.7966373070E+02    0.1489425320E+03
  1     13    0.46304E-01   -0.5476710881E+02   -0.2737672757E+03    0.2791916143E+03
  1     14    0.49866E-01    0.3475641549E+02   -0.9536517498E+02    0.1015013548E+03
  1     15    0.53427E-01   -0.1188360889E+03   -0.1662703768E+03    0.2043718528E+03
  1     16    0.56989E-01    0.1912912078E+03    0.5814939373E+02    0.1999341846E+03
  1     17    0.60551E-01   -0.4310867262E+03   -0.2228078905E+03    0.4852619103E+03
  1     18    0.64113E-01   -0.1373494911E+03   -0.1043885645E+03    0.1725162459E+03
  1     19    0.67675E-01    0.1902772221E+03    0.4571586333E+02    0.1956920065E+03
  1     20    0.71237E-01   -0.5616301481E+02    0.4175538000E+03    0.4213139686E+03
  1     21    0.74798E-01    0.1830528957E+03    0.1146703321E+03    0.2160038140E+03
  1     22    0.78360E-01   -0.7002921662E+02    0.9406817929E+02    0.1172728167E+03
  1     23    0.81922E-01   -0.4069770039E+02   -0.1768013213E+03    0.1814249433E+03
  1     24    0.85484E-01   -0.2693418951E+02   -0.1635132684E+03    0.1657167448E+03
  1     25    0.89046E-01    0.4855913155E+03   -0.7765401860E+02    0.4917611944E+03
  1     26    0.92608E-01   -0.2167594056E+03    0.1251583411E+03    0.2502983226E+03
  1     27    0.96169E-01   -0.5767161065E+01   -0.1109549842E+03    0.1111047644E+03
  1     28    0.99731E-01    0.8607809186E+02    0.8697136625E+02    0.1223660756E+03
  1     29    0.10329E+00    0.6731765357E+02    0.1728323512E+03    0.1854796164E+03
  1     30    0.10685E+00   -0.4124612949E+00   -0.9796195130E+02    0.9796281962E+02
  1     31    0.11042E+00    0.1761914440E+03   -0.6416065888E+02    0.1875100400E+03
  1     32    0.11398E+00    0.4857437150E+02    0.2071040945E+03    0.2127241771E+03
  1     33    0.11754E+00    0.1024286558E+03   -0.7845892440E+02    0.1290249292E+03
  1     34    0.12110E+00   -0.1630999746E+03   -0.1448852456E+03    0.2181589698E+03
  1     35    0.12466E+00   -0.4582260109E+02    0.7925393861E+02    0.9154724221E+02
  1     36    0.12823E+00   -0.1632528743E+03    0.2526240682E+03    0.3007830128E+03
  1     37    0.13179E+00    0.6501957801E+02   -0.6193171925E+02    0.8979467342E+02
  1     38    0.13535E+00   -0.4024787374E+03   -0.1662425963E+03    0.4354603712E+03
  1     39    0.13891E+00    0.2184105681E+03   -0.1294881104E+03    0.2539101160E+03
  1     40    0.14247E+00   -0.1290673174E+03    0.1780133467E+03    0.2198797945E+03
  1     41    0.14603E+00   -0.2251239096E+02    0.6683743526E+02    0.7052694874E+02
  1     42    0.14960E+00    0.3730116529E+03    0.6015011535E+01    0.3730601474E+03
  1     43    0.15316E+00    0.1668805214E+02   -0.1918267339E+03    0.1925512579E+03
  1     44    0.15672E+00    0.2255854527E+03    0.2703957525E+03    0.3521401134E+03
  1     45    0.16028E+00   -0.8841464800E+02   -0.1575479445E+03    0.1806612986E+03
  1     46    0.16384E+00   -0.1284343302E+03   -0.4369966032E+02    0.1356651668E+03
  1     47    0.16741E+00    0.1717037735E+03    0.2608568905E+03    0.3122955381E+03
  1     48    0.17097E+00   -0.3171731468E+02   -0.9148336312E+02    0.9682558432E+02
  1     49    0.17453E+00    0.2653054112E+02   -0.8446985940E+02    0.8853827850E+02
  1     50    0.17809E+00   -0.1558235831E+03    0.2257601923E+03    0.2743148802E+03
  1     51    0.18165E+00   -0.2275366146E+02   -0.8301662577E+02    0.8607839023E+02
  1     52    0.18522E+00   -0.1741732692E+03   -0.2102279766E+03    0.2730057322E+03
  1     53    0.18878E+00   -0.2395335429E+03    0.2399850194E+03    0.3390709774E+03
  1     54    0.19234E+00    0.1865868163E+02    0.1042978606E+03    0.1059537170E+03
  1     55    0.19590E+00    0.2098064511E+03    0.1104492739E+03    0.2371029081E+03
  1     56    0.19946E+00   -0.2837716156E+03    0.4200466581E+03    0.5069176706E+03
  1     57    0.20302E+00   -0.1758084688E+03   -0.1520587184E+03    0.2324445558E+03
  1     58    0.20659E+00    0.1318629915E+02   -0.1459270993E+03    0.1465216599E+03
  1     59    0.21015E+00   -0.9854380093E+02   -0.2876185436E+03    0.3040317538E+03
  1     60    0.21371E+00    0.1781370206E+03    0.8381476408E+02    0.1968697864E+03
  1     61    0.21727E+00    0.2787396761E+01    0.1764803775E+02    0.1786680769E+02
  1     62    0.22083E+00    0.7285011221E+02    0.1437237582E+03    0.1611324223E+03
  1     63    0.22440E+00    0.8276413876E+02    0.7765514277E+02    0.1134910739E+03
  1     64    0.22796E+00   -0.2470740549E+03   -0.2200310338E+03    0.3308462549E+03
  1     65    0.23152E+00   -0.1603134638E+03   -0.5123301681E+02    0.1683010062E+03
  1     66    0.23508E+00   -0.1481966916E+02    0.3059825123E+02    0.3399817013E+02
  1     67    0.23864E+00   -0.5927899362E+02   -0.1384238711E+03    0.1505827585E+03
  1     68    0.24220E+00   -0.1553674893E+03    0.4240242690E+02    0.1610497517E+03
  1     69    0.24577E+00    0.2208427275E+03    0.3884024558E+02    0.2242321899E+03
  1     70    0.24933E+00   -0.6391735638E+02   -0.7618525557E+02    0.9944657668E+02
  1     71    0.25289E+00   -0.8112836659E+02    0.1670386645E+03    0.1856979464E+03
  1     72    0.25645E+00   -0.3846428680E+02    0.7836930574E+02    0.8729976771E+02
  1     73    0.26001E+00    0.2760871005E+03   -0.1694423091E+02    0.2766065691E+03
  1     74    0.26358E+00    0.5575239289E+01    0.3229887318E+03    0.3230368465E+03
  1     75    0.26714E+00    0.4736984820E+02   -0.2057784827E+02    0.5164639734E+02
  1     76    0.27070E+00   -0.4041764574E+03   -0.1929968292E+03    0.4478910412E+03
  1     77    0.27426E+00    0.3424535297E+03   -0.5433856512E+02    0.3467377967E+03
  1     78    0.27782E+00    0.1144438819E+03   -0.2803034392E+02    0.1178265771E+03
  1     79    0.28138E+00    0.1820712932E+03    0.6438911482E+02    0.1931215004E+03
  1     80    0.28495E+00    0.9674242695E+02    0.1319939036E+03    0.1636505049E+03
  1     81    0.28851E+00   -0.3902807255E+01    0.1085248532E+03    0.1085950076E+03
  1     82    0.29207E+00   -0.1255079517E+03    0.1656941495E+03    0.2078624476E+03
  1     83    0.29563E+00   -0.1050349127E+03    0.2693361184E+03    0.2890921611E+03
  1     84    0.29919E+00   -0.4642985460E+02    0.6478529987E+02    0.7970487111E+02
  1     85    0.30276E+00   -0.8534300521E+02   -0.1436156995E+03    0.1670595632E+03
  1     86    0.30632E+00    0.3179628378E+03   -0.1507756358E+03    0.3519000690E+03
  1     87    0.30988E+00   -0.6711787824E+02    0.2430535734E+01    0.6716187225E+02
  1     88    0.31344E+00   -0.7471653634E+02    0.4184428348E+02    0.8563588537E+02
  1     89    0.31700E+00    0.1217198041E+03    0.2075449588E+02    0.1234765557E+03
  1     90    0.32056E+00   -0.1455108187E+03    0.1813971394E+03    0.2325474587E+03
  1     91    0.32413E+00    0.1867158725E+03    0.1653009407E+03    0.2493736515E+03
  1     92    0.32769E+00   -0.1984901885E+03   -0.8308860945E+02    0.2151791625E+03
  1     93    0.33125E+00    0.2593329347E+02    0.2053695384E+03    0.2070004421E+03
  1     94    0.33481E+00   -0.2211066049E+03   -0.2935351112E+02    0.2230465407E+03
  1     95    0.33837E+00    0.7264414811E+02   -0.4493276377E+03    0.4551620572E+03
  1     96    0.34194E+00    0.1587248516E+03   -0.1986621518E+03    0.2542837570E+03
  1     97    0.34550E+00    0.1474963829E+02   -0.6325597783E+02    0.6495283336E+02
  1     98    0.34906E+00    0.1084164039E+02    0.2349149293E+01    0.1109322626E+02
  1     99    0.35262E+00   -0.1989012140E+03    0.1167970193E+03    0.2306582681E+03
  1    100    0.35618E+00   -0.2358683786E+02   -0.4260374600E+03    0.4266898830E+03


% itn    run  time           vxave               vyave               vaverun
  2      1    0.35618E-02   -0.4074408593E+02    0.2282733802E+02    0.4670297527E+02
  2      2    0.71237E-02    0.1488621118E+01   -0.1477627147E+03    0.1477702130E+03
  2      3    0.10685E-01    0.4035565257E+02    0.9412146417E+02    0.1024081477E+03
