% itn    run  time               r                   g
  1      1    0.35618E-02    0.3952847075E-01    0.0000000000E+00
  1      1    0.35618E-02    0.7905694150E-01    0.0000000000E+00
  1      1    0.35618E-02    0.1185854123E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1581138830E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1976423538E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2371708245E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2766992953E+00    0.1044709370E+00
  1      1    0.35618E-02    0.3162277660E+00    0.9054147874E-01
  1      1    0.35618E-02    0.3557562368E+00    0.7988954006E-01
  1      1    0.35618E-02    0.3952847075E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4348131783E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4743416490E+00    0.2952439524E+00
  1      1    0.35618E-02    0.5138701198E+00    0.1629746617E+00
  1      1    0.35618E-02    0.5533985905E+00    0.2515041076E+00
  1      1    0.35618E-02    0.5929270613E+00    0.3746543948E+00
  1      1    0.35618E-02    0.6324555320E+00    0.4381039294E+00
  1      1    0.35618E-02    0.6719840028E+00    0.3292417409E+00
  1      1    0.35618E-02    0.7115124735E+00    0.5432488724E+00
  1      1    0.35618E-02    0.7510409443E+00    0.3670600489E+00
  1      1    0.35618E-02    0.7905694150E+00    0.3134128110E+00
  1      1    0.35618E-02    0.8300978858E+00    0.4637490374E+00
  1      1    0.35618E-02    0.8696263565E+00    0.4421793148E+00
  1      1    0.35618E-02    0.9091548273E+00    0.6941513370E+00
  1      1    0.35618E-02    0.9486832981E+00    0.3467545994E+00
  1      1    0.35618E-02    0.9882117688E+00    0.4434684673E+00
  1      1    0.35618E-02    0.1027740240E+01    0.5325969337E+00
  1      1    0.35618E-02    0.1067268710E+01    0.4612490426E+00
  1      1    0.35618E-02    0.1106797181E+01    0.3950900890E+00
  1      1    0.35618E-02    0.1146325652E+01    0.1906136394E+00
  1      1    0.35618E-02    0.1185854123E+01    0.3452853003E+00
  1      1    0.35618E-02    0.1225382593E+01    0.3784930669E+00
  1      1    0.35618E-02    0.1264911064E+01    0.4958223836E+00
  1      1    0.35618E-02    0.1304439535E+01    0.2507302488E+00
  1      1    0.35618E-02    0.1343968006E+01    0.1216228819E+00
  1      1    0.35618E-02    0.1383496476E+01    0.3346098127E+00
  1      1    0.35618E-02    0.1423024947E+01    0.2869272213E+00
  1      1    0.35618E-02    0.1462553418E+01    0.4279015091E+00
  1      1    0.35618E-02    0.1502081889E+01    0.2897327320E+00
  1      1    0.35618E-02    0.1541610359E+01    0.3880349089E+00
  1      1    0.35618E-02    0.1581138830E+01    0.4469769203E+00
  1      1    0.35618E-02    0.1620667301E+01    0.4359404532E+00
  1      1    0.35618E-02    0.1660195772E+01    0.4254358639E+00
  1      1    0.35618E-02    0.1699724242E+01    0.3994477003E+00
  1      1    0.35618E-02    0.1739252713E+01    0.2029377972E+00
  1      1    0.35618E-02    0.1778781184E+01    0.4120145943E+00
  1      1    0.35618E-02    0.1818309655E+01    0.4029593284E+00
  1      1    0.35618E-02    0.1857838125E+01    0.2920692862E+00
  1      1    0.35618E-02    0.1897366596E+01    0.3431045510E+00
  1      1    0.35618E-02    0.1936895067E+01    0.3220289708E+00
  1      1    0.35618E-02    0.1976423538E+01    0.3292417409E+00
  1      1    0.35618E-02    0.2015952008E+01    0.3630623652E+00
  1      1    0.35618E-02    0.2055480479E+01    0.3428269583E+00
  1      1    0.35618E-02    0.2095008950E+01    0.1940174544E+00
  1      1    0.35618E-02    0.2134537421E+01    0.3553964586E+00
