% run    par  time              vx                  vy
  1      1    0.35618E-02   -0.8351246604E+03    0.8503702156E+03
  1      2    0.35618E-02    0.2449335842E+04    0.1645198178E+04
  1      3    0.35618E-02   -0.1942387862E+04   -0.2376931790E+03
  1      4    0.35618E-02    0.4878203573E+03    0.3063806222E+04
  1      5    0.35618E-02   -0.3822495883E+04    0.3503990129E+04
  1      6    0.35618E-02    0.2259628204E+04    0.9860501710E+03
  1      7    0.35618E-02    0.4593361128E+04    0.2114477619E+04
  1      8    0.35618E-02   -0.3028652983E+03    0.5735942658E+04
  1      9    0.35618E-02    0.2866187769E+03   -0.8101694800E+03
  1     10    0.35618E-02   -0.3163450091E+04   -0.3681312339E+03
  1     11    0.35618E-02   -0.2591927960E+04    0.9546767419E+03
  1     12    0.35618E-02    0.3390096837E+04   -0.3290911479E+03
  1     13    0.35618E-02   -0.6502357175E+03    0.6985228783E+03
  1     14    0.35618E-02    0.2030680034E+04   -0.9741847204E+03
  1     15    0.35618E-02   -0.2614560415E+04   -0.2640147096E+03
  1     16    0.35618E-02   -0.5181951832E+03   -0.3365568293E+04
  1     17    0.35618E-02   -0.7749130451E+03   -0.2300627553E+04
  1     18    0.35618E-02   -0.2181001983E+04   -0.2265034297E+04
  1     19    0.35618E-02   -0.1814137268E+04   -0.4254340350E+04
  1     20    0.35618E-02   -0.5343592787E+03    0.2244600035E+04
  1     21    0.35618E-02    0.1506936135E+04    0.2101479320E+04
  1     22    0.35618E-02   -0.7008694751E+03    0.9080813789E+03
  1     23    0.35618E-02    0.1228292838E+04    0.4287430586E+04
  1     24    0.35618E-02    0.5539837805E+03    0.3449440894E+04
  1     25    0.35618E-02   -0.2987380599E+04   -0.3946246916E+03
  1     26    0.35618E-02    0.1056928062E+04   -0.5017707081E+04
  1     27    0.35618E-02    0.2142729959E+04   -0.3714845366E+03
  1     28    0.35618E-02    0.1561013371E+04   -0.8460629678E+03
  1     29    0.35618E-02   -0.2104908931E+04   -0.4097150029E+04
  1     30    0.35618E-02    0.8054139566E+03   -0.2091724260E+04
  1     31    0.35618E-02   -0.2773521723E+04    0.2567137590E+04
  1     32    0.35618E-02   -0.7187254724E+03    0.2494598662E+04
  1     33    0.35618E-02   -0.1243469867E+04    0.1104321124E+04
  1     34    0.35618E-02   -0.1594438506E+04   -0.5665982129E+02
  1     35    0.35618E-02    0.8486307265E+03    0.5189142743E+04
  1     36    0.35618E-02   -0.1314347182E+04    0.9777111760E+03
  1     37    0.35618E-02    0.2083069371E+04    0.5360155569E+04
  1     38    0.35618E-02   -0.2297084613E+04   -0.3554050452E+04
  1     39    0.35618E-02   -0.5349038049E+04   -0.1223150552E+04
  1     40    0.35618E-02    0.3415072733E+03    0.1023555273E+04
  1     41    0.35618E-02   -0.3309279466E+03   -0.1657059527E+04
  1     42    0.35618E-02    0.1749195528E+04    0.2209119288E+04
  1     43    0.35618E-02    0.2469119488E+03    0.4381512070E+03
  1     44    0.35618E-02    0.1527500056E+04   -0.1040526897E+04
  1     45    0.35618E-02   -0.1374637103E+04    0.6215693096E+04
  1     46    0.35618E-02   -0.4501268347E+03    0.1019751559E+04
  1     47    0.35618E-02    0.2140195250E+04   -0.3818754087E+04
  1     48    0.35618E-02    0.3740208675E+04    0.2981153165E+04
  1     49    0.35618E-02    0.2115760066E+04    0.8511642557E+03
  1     50    0.35618E-02    0.3481260239E+04   -0.3869664824E+03
  1     51    0.35618E-02    0.1226171330E+04    0.1441734478E+04
  1     52    0.35618E-02    0.2239335645E+04    0.2036150983E+03
  1     53    0.35618E-02   -0.7842013508E+03   -0.4015218657E+04
  1     54    0.35618E-02    0.2142511880E+04   -0.1597556240E+04
  1     55    0.35618E-02   -0.4230632393E+04    0.2608720241E+04
  1     56    0.35618E-02    0.1832143038E+04   -0.2397372456E+04
  1     57    0.35618E-02    0.1671126226E+04    0.2721158334E+04
  1     58    0.35618E-02    0.3891678326E+04    0.1213157258E+04
  1     59    0.35618E-02    0.7350963083E+02    0.3241842721E+04
  1     60    0.35618E-02    0.1481713944E+04    0.9570379210E+03
  1     61    0.35618E-02   -0.1169874189E+03   -0.2671364277E+04
  1     62    0.35618E-02    0.1065284710E+03    0.1107083461E+04
  1     63    0.35618E-02    0.1944244694E+04   -0.4090544037E+04
  1     64    0.35618E-02    0.8418780021E+03    0.1022476277E+04
  1     65    0.35618E-02    0.1469997966E+04   -0.1162926106E+04
  1     66    0.35618E-02   -0.5897462599E+03    0.4303565778E+03
  1     67    0.35618E-02    0.5600104183E+03   -0.7169311533E+04
  1     68    0.35618E-02   -0.2931414862E+04   -0.9257442384E+03
  1     69    0.35618E-02   -0.2829021060E+04   -0.4913633044E+03
