% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.4535498361E+02    0.1262676014E+03    0.1341662465E+03
  1      2    0.71237E-02    0.2743726565E+02    0.5218738873E+02    0.5896038576E+02
  1      3    0.10685E-01   -0.2647968123E+03    0.3162775374E+03    0.4124910089E+03
  1      4    0.14247E-01    0.1464126089E+03    0.4306891129E+02    0.1526158025E+03
  1      5    0.17809E-01    0.2083029032E+03   -0.2014803210E+03    0.2898006543E+03
  1      6    0.21371E-01   -0.1860820937E+02   -0.3015551176E+03    0.3021287050E+03
  1      7    0.24933E-01    0.4015051228E+03    0.1306600273E+03    0.4222302764E+03
  1      8    0.28495E-01    0.2077857446E+03   -0.1810737301E+02    0.2085732308E+03
  1      9    0.32056E-01   -0.2541042063E+03    0.1670163411E+02    0.2546524931E+03
  1     10    0.35618E-01    0.1388444431E+03    0.1484747945E+03    0.2032794726E+03
  1     11    0.39180E-01   -0.1122065976E+03    0.2247550625E+03    0.2512074017E+03
  1     12    0.42742E-01    0.1269189942E+03   -0.7810707382E+02    0.1490273333E+03
  1     13    0.46304E-01   -0.5294575212E+02   -0.2680928700E+03    0.2732710003E+03
  1     14    0.49866E-01    0.3535016242E+02   -0.1004295083E+03    0.1064693389E+03
  1     15    0.53427E-01   -0.1183053025E+03   -0.1677269622E+03    0.2052522313E+03
  1     16    0.56989E-01    0.1893486986E+03    0.5824914523E+02    0.1981057611E+03
  1     17    0.60551E-01   -0.4304331228E+03   -0.2257328721E+03    0.4860329235E+03
  1     18    0.64113E-01   -0.1362321999E+03   -0.1024961282E+03    0.1704836315E+03
  1     19    0.67675E-01    0.1936998465E+03    0.4500447419E+02    0.1988593303E+03
  1     20    0.71237E-01   -0.5262920222E+02    0.4171212398E+03    0.4204283074E+03
  1     21    0.74798E-01    0.1843254254E+03    0.1146726428E+03    0.2170844938E+03
  1     22    0.78360E-01   -0.7028186338E+02    0.9863894338E+02    0.1211163964E+03
  1     23    0.81922E-01   -0.4394191414E+02   -0.1784452671E+03    0.1837759646E+03
  1     24    0.85484E-01   -0.3027311812E+02   -0.1650625697E+03    0.1678157132E+03
  1     25    0.89046E-01    0.4878166664E+03   -0.7394206241E+02    0.4933888209E+03
  1     26    0.92608E-01   -0.2186125757E+03    0.1238059186E+03    0.2512356736E+03
  1     27    0.96169E-01   -0.8262777528E+01   -0.1092971705E+03    0.1096090551E+03
  1     28    0.99731E-01    0.8463448580E+02    0.8645688368E+02    0.1209867304E+03
  1     29    0.10329E+00    0.7125988106E+02    0.1725828106E+03    0.1867158193E+03
  1     30    0.10685E+00    0.3660822673E+01   -0.9364063973E+02    0.9371217120E+02
  1     31    0.11042E+00    0.1786547843E+03   -0.6456839997E+02    0.1899647605E+03
  1     32    0.11398E+00    0.4893670476E+02    0.2067369637E+03    0.2124499312E+03
  1     33    0.11754E+00    0.1029010665E+03   -0.8282597476E+02    0.1320937984E+03
  1     34    0.12110E+00   -0.1604721762E+03   -0.1427525058E+03    0.2147780186E+03
  1     35    0.12466E+00   -0.4821275460E+02    0.7842638232E+02    0.9206067102E+02
  1     36    0.12823E+00   -0.1654366198E+03    0.2496579244E+03    0.2994968353E+03
  1     37    0.13179E+00    0.6627585019E+02   -0.6394792194E+02    0.9209682426E+02
  1     38    0.13535E+00   -0.4044594407E+03   -0.1668181746E+03    0.4375108485E+03
  1     39    0.13891E+00    0.2169384695E+03   -0.1288095232E+03    0.2522978257E+03
  1     40    0.14247E+00   -0.1279158881E+03    0.1791497181E+03    0.2201297252E+03
  1     41    0.14603E+00   -0.2316720013E+02    0.6628441310E+02    0.7021639824E+02
  1     42    0.14960E+00    0.3680001913E+03    0.7687489274E+01    0.3680804780E+03
  1     43    0.15316E+00    0.1528099517E+02   -0.1890748406E+03    0.1896913392E+03
  1     44    0.15672E+00    0.2260650940E+03    0.2688399053E+03    0.3512553508E+03
  1     45    0.16028E+00   -0.9214003059E+02   -0.1575549793E+03    0.1825194694E+03
  1     46    0.16384E+00   -0.1276719357E+03   -0.4504028562E+02    0.1353837158E+03
  1     47    0.16741E+00    0.1729922190E+03    0.2584318468E+03    0.3109876642E+03
  1     48    0.17097E+00   -0.3241711886E+02   -0.9681999459E+02    0.1021027960E+03
  1     49    0.17453E+00    0.2870709055E+02   -0.8949003707E+02    0.9398172047E+02
  1     50    0.17809E+00   -0.1584317468E+03    0.2311773530E+03    0.2802562880E+03
  1     51    0.18165E+00   -0.1692958706E+02   -0.8025921664E+02    0.8202531788E+02
  1     52    0.18522E+00   -0.1718652326E+03   -0.2083414734E+03    0.2700811502E+03
  1     53    0.18878E+00   -0.2386540772E+03    0.2397764909E+03    0.3383024300E+03
  1     54    0.19234E+00    0.2337585166E+02    0.1050092096E+03    0.1075795730E+03
  1     55    0.19590E+00    0.2109817371E+03    0.1078833459E+03    0.2369643638E+03
  1     56    0.19946E+00   -0.2853843149E+03    0.4214332925E+03    0.5089697704E+03
  1     57    0.20302E+00   -0.1767939455E+03   -0.1535174222E+03    0.2341446093E+03
  1     58    0.20659E+00    0.1203874192E+02   -0.1425645227E+03    0.1430719205E+03
  1     59    0.21015E+00   -0.1017049408E+03   -0.2818451838E+03    0.2996341146E+03
  1     60    0.21371E+00    0.1787812060E+03    0.8295954346E+02    0.1970913633E+03
  1     61    0.21727E+00    0.3826008443E+01    0.2176451991E+02    0.2209825033E+02
  1     62    0.22083E+00    0.7893874881E+02    0.1441630530E+03    0.1643603112E+03
  1     63    0.22440E+00    0.8220756587E+02    0.7605364765E+02    0.1119921480E+03
  1     64    0.22796E+00   -0.2429329192E+03   -0.2232236921E+03    0.3299169895E+03
  1     65    0.23152E+00   -0.1541414081E+03   -0.5255169052E+02    0.1628534736E+03
  1     66    0.23508E+00   -0.1664718024E+02    0.3055605227E+02    0.3479656507E+02
  1     67    0.23864E+00   -0.6066647479E+02   -0.1359028938E+03    0.1488288201E+03
  1     68    0.24220E+00   -0.1535240991E+03    0.4451128461E+02    0.1598464997E+03
  1     69    0.24577E+00    0.2265628675E+03    0.3930274039E+02    0.2299465989E+03
  1     70    0.24933E+00   -0.5917032070E+02   -0.7842500339E+02    0.9824259772E+02
  1     71    0.25289E+00   -0.8371650082E+02    0.1658854523E+03    0.1858129053E+03
  1     72    0.25645E+00   -0.4200388620E+02    0.7824033691E+02    0.8880245929E+02
  1     73    0.26001E+00    0.2716091310E+03   -0.1424408940E+02    0.2719823784E+03
  1     74    0.26358E+00    0.2316962291E+01    0.3298051272E+03    0.3298132657E+03
  1     75    0.26714E+00    0.4835180234E+02   -0.2009488762E+02    0.5236125761E+02
  1     76    0.27070E+00   -0.4039743736E+03   -0.1958716061E+03    0.4489554328E+03
  1     77    0.27426E+00    0.3409145310E+03   -0.6286844193E+02    0.3466628887E+03
  1     78    0.27782E+00    0.1178066931E+03   -0.2851573762E+02    0.1212087630E+03
  1     79    0.28138E+00    0.1863263463E+03    0.6144934747E+02    0.1961976800E+03
