% run    par  time              vx                  vy
  1      1    0.35618E-02    0.2578599168E+04    0.1595590209E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02   -0.1850115449E+03   -0.1718400917E+04


% run    par  time              vx                  vy
  3      1    0.10685E-01    0.4377033200E+04    0.2787165906E+04


% run    par  time              vx                  vy
  4      1    0.14247E-01    0.2138277987E+04    0.5421940300E+04


% run    par  time              vx                  vy
  5      1    0.17809E-01   -0.8860755232E+03   -0.1660557785E+04


% run    par  time              vx                  vy
  6      1    0.21371E-01    0.4820710745E+03   -0.1839200222E+03


% run    par  time              vx                  vy
  7      1    0.24933E-01    0.6915862769E+03   -0.1551053892E+04


% run    par  time              vx                  vy
  8      1    0.28495E-01    0.8635794731E+03   -0.1108982037E+04


% run    par  time              vx                  vy
  9      1    0.32056E-01   -0.4251774232E+04   -0.1378536199E+04


% run    par  time              vx                  vy
 10      1    0.35618E-01   -0.2770250685E+03   -0.4468856420E+03


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.3464860281E+03    0.4221198813E+04


% run    par  time              vx                  vy
 12      1    0.42742E-01   -0.1850396518E+03    0.2811411218E+04


% run    par  time              vx                  vy
 13      1    0.46304E-01   -0.1057674730E+04    0.1339759379E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01   -0.1970087192E+04    0.1334255809E+04


% run    par  time              vx                  vy
 15      1    0.53427E-01   -0.7763314506E+03   -0.2308002935E+04


% run    par  time              vx                  vy
 16      1    0.56989E-01   -0.1059169688E+04   -0.1129815336E+04


% run    par  time              vx                  vy
 17      1    0.60551E-01    0.4200990714E+04    0.1564546967E+03


% run    par  time              vx                  vy
 18      1    0.64113E-01    0.2799008341E+04    0.3499872412E+04


% run    par  time              vx                  vy
 19      1    0.67675E-01    0.3625756226E+04   -0.1789431798E+04


% run    par  time              vx                  vy
 20      1    0.71237E-01   -0.1826465431E+04   -0.1107580156E+04


% run    par  time              vx                  vy
 21      1    0.74798E-01   -0.1207194333E+04    0.1597482971E+04


% run    par  time              vx                  vy
 22      1    0.78360E-01   -0.4388506927E+03   -0.5445938864E+03


% run    par  time              vx                  vy
 23      1    0.81922E-01    0.2600720790E+04    0.6970502289E+03


% run    par  time              vx                  vy
 24      1    0.85484E-01   -0.9851584243E+03   -0.2842110752E+03


% run    par  time              vx                  vy
 25      1    0.89046E-01   -0.2901689198E+04   -0.1847662211E+04


% run    par  time              vx                  vy
 26      1    0.92608E-01   -0.1923079734E+04   -0.3150285982E+04


% run    par  time              vx                  vy
 27      1    0.96169E-01    0.2166932538E+04    0.1852627656E+04


% run    par  time              vx                  vy
 28      1    0.99731E-01   -0.1382833860E+04   -0.3616049627E+04


% run    par  time              vx                  vy
 29      1    0.10329E+00   -0.9040402311E+03    0.1536034115E+04


% run    par  time              vx                  vy
 30      1    0.10685E+00    0.1359781323E+04   -0.1102986104E+04


% run    par  time              vx                  vy
 31      1    0.11042E+00   -0.3576940821E+03   -0.7947507404E+03


% run    par  time              vx                  vy
 32      1    0.11398E+00   -0.1669089830E+04    0.3766117737E+03


% run    par  time              vx                  vy
 33      1    0.11754E+00    0.2627015498E+04    0.1617379634E+04


% run    par  time              vx                  vy
 34      1    0.12110E+00    0.6447135337E+04    0.1828851686E+04


% run    par  time              vx                  vy
 35      1    0.12466E+00   -0.1671343036E+04   -0.4952332941E+03


% run    par  time              vx                  vy
 36      1    0.12823E+00    0.8820398639E+03   -0.2463638596E+04


% run    par  time              vx                  vy
 37      1    0.13179E+00   -0.2896101731E+04   -0.1853040783E+04


% run    par  time              vx                  vy
 38      1    0.13535E+00   -0.5385307083E+04    0.3007608977E+04


% run    par  time              vx                  vy
 39      1    0.13891E+00   -0.1896728106E+04   -0.3910873799E+04


% run    par  time              vx                  vy
 40      1    0.14247E+00   -0.3818452074E+04    0.1777699389E+04


% run    par  time              vx                  vy
 41      1    0.14603E+00    0.9173148428E+03   -0.4289209694E+04


% run    par  time              vx                  vy
 42      1    0.14960E+00    0.1260260859E+04    0.9683307715E+03


% run    par  time              vx                  vy
 43      1    0.15316E+00    0.9192092284E+03   -0.4148942531E+04


% run    par  time              vx                  vy
 44      1    0.15672E+00    0.7634025952E+03   -0.1389787826E+04


% run    par  time              vx                  vy
 45      1    0.16028E+00   -0.4480545397E+04    0.1775693353E+04


% run    par  time              vx                  vy
 46      1    0.16384E+00    0.1516333069E+04    0.2887844364E+03


% run    par  time              vx                  vy
 47      1    0.16741E+00    0.9812271416E+03   -0.2325681419E+04


% run    par  time              vx                  vy
 48      1    0.17097E+00    0.1359119047E+04    0.7668670788E+02


% run    par  time              vx                  vy
 49      1    0.17453E+00   -0.7757932014E+02   -0.1101891209E+04


% run    par  time              vx                  vy
 50      1    0.17809E+00   -0.2025460878E+04   -0.2955765875E+04


% run    par  time              vx                  vy
 51      1    0.18165E+00   -0.3683950340E+04    0.2713835351E+04


% run    par  time              vx                  vy
 52      1    0.18522E+00    0.5018803808E+03   -0.4908040245E+02


% run    par  time              vx                  vy
 53      1    0.18878E+00    0.3628136690E+04   -0.1043273232E+04


% run    par  time              vx                  vy
 54      1    0.19234E+00    0.8071279111E+03    0.1395354389E+04


% run    par  time              vx                  vy
 55      1    0.19590E+00    0.5702011163E+02    0.6603932136E+03


% run    par  time              vx                  vy
 56      1    0.19946E+00    0.8306061463E+03    0.8812072523E+03


% run    par  time              vx                  vy
 57      1    0.20302E+00   -0.2261182196E+04    0.8369702228E+03


% run    par  time              vx                  vy
 58      1    0.20659E+00   -0.1568270096E+04    0.2328610884E+04


% run    par  time              vx                  vy
 59      1    0.21015E+00    0.1718476834E+03    0.4797791680E+03


% run    par  time              vx                  vy
 60      1    0.21371E+00   -0.1496316210E+04    0.3229594958E+04


% run    par  time              vx                  vy
 61      1    0.21727E+00    0.1094974671E+03   -0.2237253546E+04


% run    par  time              vx                  vy
 62      1    0.22083E+00    0.1303422909E+04   -0.3276934754E+04


% run    par  time              vx                  vy
 63      1    0.22440E+00    0.1940495087E+04    0.4233165257E+04


% run    par  time              vx                  vy
 64      1    0.22796E+00   -0.4707372247E+04    0.5786686051E+03


% run    par  time              vx                  vy
 65      1    0.23152E+00    0.2465623023E+04   -0.3888388413E+03


% run    par  time              vx                  vy
 66      1    0.23508E+00    0.2282225590E+04    0.2610846166E+03


% run    par  time              vx                  vy
 67      1    0.23864E+00    0.5539833656E+03    0.2747536418E+04


% run    par  time              vx                  vy
 68      1    0.24220E+00   -0.3400310106E+02    0.5201083253E+03


% run    par  time              vx                  vy
 69      1    0.24577E+00   -0.1703401055E+04    0.3153407111E+04


% run    par  time              vx                  vy
 70      1    0.24933E+00   -0.5052013995E+03    0.4188292787E+03


% run    par  time              vx                  vy
 71      1    0.25289E+00    0.1623267236E+04    0.8620552783E+03


% run    par  time              vx                  vy
 72      1    0.25645E+00   -0.6155947538E+03    0.3673361555E+04


% run    par  time              vx                  vy
 73      1    0.26001E+00    0.9968503677E+03    0.3474274654E+03


% run    par  time              vx                  vy
 74      1    0.26358E+00    0.3728076920E+04    0.4398262395E+03


% run    par  time              vx                  vy
 75      1    0.26714E+00    0.3020945735E+04   -0.2256645416E+04


% run    par  time              vx                  vy
 76      1    0.27070E+00    0.1571923418E+04    0.2349339312E+04


% run    par  time              vx                  vy
 77      1    0.27426E+00   -0.2391055484E+04   -0.3819693294E+04


% run    par  time              vx                  vy
 78      1    0.27782E+00    0.6129087586E+04    0.1179433692E+04


% run    par  time              vx                  vy
 79      1    0.28138E+00   -0.2441650023E+04    0.8669965705E+03


% run    par  time              vx                  vy
 80      1    0.28495E+00   -0.1309742282E+04   -0.2269959010E+04


% run    par  time              vx                  vy
 81      1    0.28851E+00   -0.2346977915E+04    0.1089360015E+04


% run    par  time              vx                  vy
 82      1    0.29207E+00    0.1786683827E+04    0.8911876809E+02


% run    par  time              vx                  vy
 83      1    0.29563E+00    0.1150941284E+04   -0.7381313849E+03


% run    par  time              vx                  vy
 84      1    0.29919E+00   -0.3979311861E+03   -0.1729048883E+04


% run    par  time              vx                  vy
 85      1    0.30276E+00    0.1185054208E+03   -0.3053345697E+04


% run    par  time              vx                  vy
 86      1    0.30632E+00   -0.1445982966E+04    0.3840710134E+04


% run    par  time              vx                  vy
 87      1    0.30988E+00   -0.1048098354E+04    0.3262913264E+04


% run    par  time              vx                  vy
 88      1    0.31344E+00   -0.3682545282E+04    0.4240241943E+02


% run    par  time              vx                  vy
 89      1    0.31700E+00   -0.4457054309E+04   -0.5594329110E+03


% run    par  time              vx                  vy
 90      1    0.32056E+00    0.1955700454E+04   -0.4886760362E+03


% run    par  time              vx                  vy
 91      1    0.32413E+00   -0.4607969578E+04    0.9378678499E+03


% run    par  time              vx                  vy
 92      1    0.32769E+00    0.1854291890E+04    0.7455993250E+03


% run    par  time              vx                  vy
 93      1    0.33125E+00    0.1457774131E+04   -0.3497512286E+04


% run    par  time              vx                  vy
 94      1    0.33481E+00   -0.3556906943E+04    0.1673946413E+03


% run    par  time              vx                  vy
 95      1    0.33837E+00   -0.1491294128E+04    0.2684993797E+04


% run    par  time              vx                  vy
 96      1    0.34194E+00    0.1317769252E+04    0.3195614517E+04


% run    par  time              vx                  vy
 97      1    0.34550E+00    0.2765577890E+04   -0.7197178436E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00    0.2002151425E+04    0.9580438161E+03


% run    par  time              vx                  vy
 99      1    0.35262E+00   -0.2616749588E+04   -0.1797075017E+04


% run    par  time              vx                  vy
100      1    0.35618E+00   -0.2111864778E+04   -0.7054007796E+03


