% run    par  time               x                   y
  1      1    0.35618E-02    0.1354138912E+02   -0.4013208274E+01


% run    par  time               x                   y
  2      1    0.71237E-02    0.1362602381E+02   -0.3857203714E+01


% run    par  time               x                   y
  3      1    0.10685E-01    0.1352656817E+02   -0.3993843227E+01


% run    par  time               x                   y
  4      1    0.14247E-01    0.1348703602E+02   -0.4065439293E+01


% run    par  time               x                   y
  5      1    0.17809E-01    0.1353741762E+02   -0.4154260126E+01


% run    par  time               x                   y
  6      1    0.21371E-01    0.1361684060E+02   -0.4102710294E+01


% run    par  time               x                   y
  7      1    0.24933E-01    0.1366078035E+02   -0.4138103227E+01


% run    par  time               x                   y
  8      1    0.28495E-01    0.1363521075E+02   -0.4190596495E+01


% run    par  time               x                   y
  9      1    0.32056E-01    0.1369301078E+02   -0.4143773273E+01


% run    par  time               x                   y
 10      1    0.35618E-01    0.1365354862E+02   -0.4112836149E+01


% run    par  time               x                   y
 11      1    0.39180E-01    0.1359279954E+02   -0.3996134793E+01


% run    par  time               x                   y
 12      1    0.42742E-01    0.1362231558E+02   -0.4011138476E+01


% run    par  time               x                   y
 13      1    0.46304E-01    0.1376185650E+02   -0.3959583051E+01


% run    par  time               x                   y
 14      1    0.49866E-01    0.1371582416E+02   -0.4019757859E+01


% run    par  time               x                   y
 15      1    0.53427E-01    0.1376814374E+02   -0.3955838911E+01


% run    par  time               x                   y
 16      1    0.56989E-01    0.1386072522E+02   -0.3918407660E+01


% run    par  time               x                   y
 17      1    0.60551E-01    0.1385094132E+02   -0.3972430496E+01


% run    par  time               x                   y
 18      1    0.64113E-01    0.1374428753E+02   -0.3976397071E+01


% run    par  time               x                   y
 19      1    0.67675E-01    0.1383062440E+02   -0.3958734762E+01


% run    par  time               x                   y
 20      1    0.71237E-01    0.1375760679E+02   -0.3798194956E+01


% run    par  time               x                   y
 21      1    0.74798E-01    0.1374081609E+02   -0.3958679839E+01


% run    par  time               x                   y
 22      1    0.78360E-01    0.1374329589E+02   -0.3881663416E+01


% run    par  time               x                   y
 23      1    0.81922E-01    0.1385317400E+02   -0.3819826852E+01


% run    par  time               x                   y
 24      1    0.85484E-01    0.1384582000E+02   -0.3730475029E+01


% run    par  time               x                   y
 25      1    0.89046E-01    0.1382655615E+02   -0.3740489784E+01


% run    par  time               x                   y
 26      1    0.92608E-01    0.1390231318E+02   -0.3714753928E+01


% run    par  time               x                   y
 27      1    0.96169E-01    0.1383482614E+02   -0.3803935446E+01


% run    par  time               x                   y
 28      1    0.99731E-01    0.1379097067E+02   -0.3719904743E+01


% run    par  time               x                   y
 29      1    0.10329E+00    0.1371245601E+02   -0.3689882151E+01


% run    par  time               x                   y
 30      1    0.10685E+00    0.1363172668E+02   -0.3623293331E+01


% run    par  time               x                   y
 31      1    0.11042E+00    0.1366006533E+02   -0.3712157542E+01


% run    par  time               x                   y
 32      1    0.11398E+00    0.1371328075E+02   -0.3625974375E+01


% run    par  time               x                   y
 33      1    0.11754E+00    0.1380389125E+02   -0.3626093446E+01


% run    par  time               x                   y
 34      1    0.12110E+00    0.1381080785E+02   -0.3756484607E+01


% run    par  time               x                   y
 35      1    0.12466E+00    0.1384049073E+02   -0.3889695640E+01


% run    par  time               x                   y
 36      1    0.12823E+00    0.1393659979E+02   -0.3935667857E+01


% run    par  time               x                   y
 37      1    0.13179E+00    0.1394065945E+02   -0.3882750825E+01


% run    par  time               x                   y
 38      1    0.13535E+00    0.1385676520E+02   -0.3907631282E+01


% run    par  time               x                   y
 39      1    0.13891E+00    0.1402186388E+02   -0.3962257764E+01


% run    par  time               x                   y
 40      1    0.14247E+00    0.1392398727E+02   -0.4035620886E+01


% run    par  time               x                   y
 41      1    0.14603E+00    0.1395962561E+02   -0.4103385769E+01


% run    par  time               x                   y
 42      1    0.14960E+00    0.1376715738E+02   -0.4156023822E+01


% run    par  time               x                   y
 43      1    0.15316E+00    0.1386321463E+02   -0.4064019265E+01


% run    par  time               x                   y
 44      1    0.15672E+00    0.1376427799E+02   -0.4024566670E+01


% run    par  time               x                   y
 45      1    0.16028E+00    0.1375784237E+02   -0.4002423424E+01


% run    par  time               x                   y
 46      1    0.16384E+00    0.1376207333E+02   -0.4049388613E+01


% run    par  time               x                   y
 47      1    0.16741E+00    0.1392700341E+02   -0.4117145202E+01


% run    par  time               x                   y
 48      1    0.17097E+00    0.1392409638E+02   -0.4048377710E+01


% run    par  time               x                   y
 49      1    0.17453E+00    0.1396283635E+02   -0.4011738335E+01


% run    par  time               x                   y
 50      1    0.17809E+00    0.1388156887E+02   -0.3890731856E+01


% run    par  time               x                   y
 51      1    0.18165E+00    0.1404371040E+02   -0.3853826638E+01


% run    par  time               x                   y
 52      1    0.18522E+00    0.1406299562E+02   -0.3763054188E+01


% run    par  time               x                   y
 53      1    0.18878E+00    0.1411604575E+02   -0.3816297145E+01


% run    par  time               x                   y
 54      1    0.19234E+00    0.1405875706E+02   -0.3811375775E+01


% run    par  time               x                   y
 55      1    0.19590E+00    0.1396899726E+02   -0.3707785942E+01


% run    par  time               x                   y
 56      1    0.19946E+00    0.1396288392E+02   -0.3753669588E+01


% run    par  time               x                   y
 57      1    0.20302E+00    0.1386772136E+02   -0.3686309539E+01


% run    par  time               x                   y
 58      1    0.20659E+00    0.1386687800E+02   -0.3658513561E+01


% run    par  time               x                   y
 59      1    0.21015E+00    0.1393452498E+02   -0.3831571161E+01


% run    par  time               x                   y
 60      1    0.21371E+00    0.1398612283E+02   -0.3753797259E+01


% run    par  time               x                   y
 61      1    0.21727E+00    0.1399507645E+02   -0.3762800271E+01


% run    par  time               x                   y
 62      1    0.22083E+00    0.1399264893E+02   -0.3924729922E+01


% run    par  time               x                   y
 63      1    0.22440E+00    0.1406830797E+02   -0.3917285622E+01


% run    par  time               x                   y
 64      1    0.22796E+00    0.1408538765E+02   -0.3882884963E+01


% run    par  time               x                   y
 65      1    0.23152E+00    0.1414881134E+02   -0.3937142026E+01


% run    par  time               x                   y
 66      1    0.23508E+00    0.1424589919E+02   -0.3963650796E+01


% run    par  time               x                   y
 67      1    0.23864E+00    0.1425374612E+02   -0.3946054446E+01


% run    par  time               x                   y
 68      1    0.24220E+00    0.1423729383E+02   -0.3903278173E+01


% run    par  time               x                   y
 69      1    0.24577E+00    0.1430103975E+02   -0.4013803833E+01


% run    par  time               x                   y
 70      1    0.24933E+00    0.1423673840E+02   -0.4112259275E+01


% run    par  time               x                   y
 71      1    0.25289E+00    0.1419518575E+02   -0.4133976077E+01


% run    par  time               x                   y
 72      1    0.25645E+00    0.1421851927E+02   -0.4121963964E+01


% run    par  time               x                   y
 73      1    0.26001E+00    0.1419843691E+02   -0.4103006815E+01


% run    par  time               x                   y
 74      1    0.26358E+00    0.1416760325E+02   -0.3913579676E+01


% run    par  time               x                   y
 75      1    0.26714E+00    0.1420383388E+02   -0.4016650699E+01


% run    par  time               x                   y
 76      1    0.27070E+00    0.1432790155E+02   -0.4021494457E+01


% run    par  time               x                   y
 77      1    0.27426E+00    0.1446616858E+02   -0.3985399092E+01


% run    par  time               x                   y
 78      1    0.27782E+00    0.1453945229E+02   -0.3908135184E+01


% run    par  time               x                   y
 79      1    0.28138E+00    0.1443890068E+02   -0.3909174884E+01


% run    par  time               x                   y
 80      1    0.28495E+00    0.1447544503E+02   -0.3943550860E+01


% run    par  time               x                   y
 81      1    0.28851E+00    0.1458409146E+02   -0.3781024064E+01


% run    par  time               x                   y
 82      1    0.29207E+00    0.1450425309E+02   -0.3832939583E+01


% run    par  time               x                   y
 83      1    0.29563E+00    0.1439700799E+02   -0.3956094978E+01


% run    par  time               x                   y
 84      1    0.29919E+00    0.1442155253E+02   -0.4030302170E+01


% run    par  time               x                   y
 85      1    0.30276E+00    0.1450034690E+02   -0.4037818105E+01


% run    par  time               x                   y
 86      1    0.30632E+00    0.1460194417E+02   -0.4021609626E+01


% run    par  time               x                   y
 87      1    0.30988E+00    0.1463988661E+02   -0.4123902089E+01


% run    par  time               x                   y
 88      1    0.31344E+00    0.1468427022E+02   -0.4233434958E+01


% run    par  time               x                   y
 89      1    0.31700E+00    0.1470207985E+02   -0.4140848071E+01


% run    par  time               x                   y
 90      1    0.32056E+00    0.1452378146E+02   -0.4247807878E+01


% run    par  time               x                   y
 91      1    0.32413E+00    0.1450145114E+02   -0.4117464990E+01


% run    par  time               x                   y
 92      1    0.32769E+00    0.1459517619E+02   -0.4111642223E+01


% run    par  time               x                   y
 93      1    0.33125E+00    0.1467221290E+02   -0.4230566839E+01


% run    par  time               x                   y
 94      1    0.33481E+00    0.1482973477E+02   -0.4097756505E+01


% run    par  time               x                   y
 95      1    0.33837E+00    0.1483890666E+02   -0.4233013867E+01


% run    par  time               x                   y
 96      1    0.34194E+00    0.1488262635E+02   -0.4366921539E+01


% run    par  time               x                   y
 97      1    0.34550E+00    0.1477691912E+02   -0.4355212957E+01


% run    par  time               x                   y
 98      1    0.34906E+00    0.1472161983E+02   -0.4354938935E+01


% run    par  time               x                   y
 99      1    0.35262E+00    0.1476236123E+02   -0.4444138134E+01


% run    par  time               x                   y
100      1    0.35618E+00    0.1482966673E+02   -0.4389757030E+01


