% run    par  time              vx                  vy
  1      1    0.35618E-02    0.1132814079E+04    0.3706385516E+04


% run    par  time              vx                  vy
  2      1    0.71237E-02    0.6723821147E+03    0.3556801860E+04


% run    par  time              vx                  vy
  3      1    0.10685E-01   -0.3423829477E+04    0.2567148816E+04


% run    par  time              vx                  vy
  4      1    0.14247E-01   -0.2462842001E+04   -0.5332339143E+04


% run    par  time              vx                  vy
  5      1    0.17809E-01    0.1644235773E+04    0.2368336133E+04


% run    par  time              vx                  vy
  6      1    0.21371E-01    0.3745270668E+04   -0.1368863498E+04


% run    par  time              vx                  vy
  7      1    0.24933E-01   -0.6789152558E+03    0.7182514584E+03


% run    par  time              vx                  vy
  8      1    0.28495E-01   -0.9967875863E+03    0.9274355583E+03


% run    par  time              vx                  vy
  9      1    0.32056E-01   -0.5433596580E+04   -0.2621008265E+04


% run    par  time              vx                  vy
 10      1    0.35618E-01    0.3028901236E+04    0.2170976955E+04


% run    par  time              vx                  vy
 11      1    0.39180E-01    0.2305324736E+04    0.6345174948E+03


% run    par  time              vx                  vy
 12      1    0.42742E-01   -0.1987565539E+04   -0.2841462459E+03


% run    par  time              vx                  vy
 13      1    0.46304E-01   -0.5954340416E+03   -0.1639321175E+04


% run    par  time              vx                  vy
 14      1    0.49866E-01    0.3466539981E+04    0.1769277089E+04


% run    par  time              vx                  vy
 15      1    0.53427E-01   -0.2842074771E+04   -0.2439682157E+03


% run    par  time              vx                  vy
 16      1    0.56989E-01    0.6100472141E+02   -0.1525031106E+03


% run    par  time              vx                  vy
 17      1    0.60551E-01    0.2309307995E+04    0.2468095858E+04


% run    par  time              vx                  vy
 18      1    0.64113E-01   -0.3348763219E+03   -0.7943021612E+03


% run    par  time              vx                  vy
 19      1    0.67675E-01   -0.3345138852E+04    0.2093339841E+04


% run    par  time              vx                  vy
 20      1    0.71237E-01   -0.7735347689E+02    0.3302769584E+04


% run    par  time              vx                  vy
 21      1    0.74798E-01    0.1771928593E+04    0.1880879672E+04


% run    par  time              vx                  vy
 22      1    0.78360E-01    0.2648807183E+04    0.1588329186E+04


% run    par  time              vx                  vy
 23      1    0.81922E-01   -0.9253726730E+03   -0.3752999055E+04


% run    par  time              vx                  vy
 24      1    0.85484E-01   -0.1558180313E+04   -0.5977505239E+03


% run    par  time              vx                  vy
 25      1    0.89046E-01    0.6976087637E+03    0.7303183242E+03


% run    par  time              vx                  vy
 26      1    0.92608E-01   -0.1773724040E+03   -0.7068953139E+03


% run    par  time              vx                  vy
 27      1    0.96169E-01   -0.2107077579E+04    0.2871689757E+04


% run    par  time              vx                  vy
 28      1    0.99731E-01   -0.1064669162E+04    0.2404071414E+03


% run    par  time              vx                  vy
 29      1    0.10329E+00    0.3671779098E+03   -0.1196815854E+04


% run    par  time              vx                  vy
 30      1    0.10685E+00   -0.3207322491E+04   -0.4111103970E+04


% run    par  time              vx                  vy
 31      1    0.11042E+00    0.7548189274E+03    0.1915362928E+04


% run    par  time              vx                  vy
 32      1    0.11398E+00   -0.1036495745E+04    0.1281991316E+03


% run    par  time              vx                  vy
 33      1    0.11754E+00   -0.4806398864E+03    0.7260347881E+03


% run    par  time              vx                  vy
 34      1    0.12110E+00    0.1077593780E+04    0.7818557828E+03


% run    par  time              vx                  vy
 35      1    0.12466E+00   -0.6100764244E+03   -0.5220720882E+04


% run    par  time              vx                  vy
 36      1    0.12823E+00   -0.2215849424E+04   -0.4249606617E+03


% run    par  time              vx                  vy
 37      1    0.13179E+00   -0.1155256387E+04   -0.7487574583E+03


% run    par  time              vx                  vy
 38      1    0.13535E+00    0.5352460820E+02    0.3866154575E+04


% run    par  time              vx                  vy
 39      1    0.13891E+00    0.5073549046E+04    0.1261036833E+04


% run    par  time              vx                  vy
 40      1    0.14247E+00   -0.1512824801E+04    0.1704463853E+03


% run    par  time              vx                  vy
 41      1    0.14603E+00    0.3190416309E+04    0.1012546897E+04


% run    par  time              vx                  vy
 42      1    0.14960E+00   -0.3118899208E+03   -0.6279963874E+04


% run    par  time              vx                  vy
 43      1    0.15316E+00    0.6350380359E+03   -0.1223782725E+04


% run    par  time              vx                  vy
 44      1    0.15672E+00   -0.8635441630E+03   -0.2318059598E+03


% run    par  time              vx                  vy
 45      1    0.16028E+00   -0.2214950571E+04    0.9013894330E+03


% run    par  time              vx                  vy
 46      1    0.16384E+00   -0.2373649876E+04   -0.2574441618E+04


% run    par  time              vx                  vy
 47      1    0.16741E+00   -0.1514158816E+04   -0.1157649704E+04


% run    par  time              vx                  vy
 48      1    0.17097E+00   -0.4344867202E+03   -0.3819524229E+03


% run    par  time              vx                  vy
 49      1    0.17453E+00   -0.4815750456E+04   -0.6279801871E+03


% run    par  time              vx                  vy
 50      1    0.17809E+00    0.2269086710E+04    0.3601434928E+04


% run    par  time              vx                  vy
 51      1    0.18165E+00    0.4737216042E+04    0.2793952786E+04


% run    par  time              vx                  vy
 52      1    0.18522E+00    0.1680679303E+04    0.2488432485E+04


% run    par  time              vx                  vy
 53      1    0.18878E+00    0.1898054705E+03   -0.9055719117E+03


% run    par  time              vx                  vy
 54      1    0.19234E+00   -0.1535816989E+02   -0.3622156011E+04


% run    par  time              vx                  vy
 55      1    0.19590E+00   -0.2866495185E+03    0.5157736179E+04


% run    par  time              vx                  vy
 56      1    0.19946E+00    0.5834274149E+03    0.6407033965E+03


% run    par  time              vx                  vy
 57      1    0.20302E+00   -0.4062944979E+04    0.5861326258E+03


% run    par  time              vx                  vy
 58      1    0.20659E+00    0.3224797307E+03    0.6238879610E+03


% run    par  time              vx                  vy
 59      1    0.21015E+00    0.1164990599E+04   -0.2775930840E+03


% run    par  time              vx                  vy
 60      1    0.21371E+00    0.1260136709E+04   -0.2730717522E+04


% run    par  time              vx                  vy
 61      1    0.21727E+00   -0.2414251098E+04    0.5208097953E+04


% run    par  time              vx                  vy
 62      1    0.22083E+00   -0.1163655737E+04    0.5918661702E+03


% run    par  time              vx                  vy
 63      1    0.22440E+00   -0.2829667940E+04    0.1497766324E+04


% run    par  time              vx                  vy
 64      1    0.22796E+00    0.2343990789E+03   -0.3787328359E+04


% run    par  time              vx                  vy
 65      1    0.23152E+00   -0.3102714834E+04    0.4705624540E+04


% run    par  time              vx                  vy
 66      1    0.23508E+00   -0.4053900515E+04    0.2011381762E+04


% run    par  time              vx                  vy
 67      1    0.23864E+00   -0.3806747772E+04   -0.3190006994E+04


% run    par  time              vx                  vy
 68      1    0.24220E+00    0.1378484364E+04    0.2646727561E+04


% run    par  time              vx                  vy
 69      1    0.24577E+00    0.2131552689E+04    0.9854920339E+03


% run    par  time              vx                  vy
 70      1    0.24933E+00    0.2295956266E+04    0.3756732601E+04


% run    par  time              vx                  vy
 71      1    0.25289E+00    0.1196884073E+04   -0.6472539102E+03


% run    par  time              vx                  vy
 72      1    0.25645E+00    0.2036971822E+04   -0.2825070568E+04


% run    par  time              vx                  vy
 73      1    0.26001E+00   -0.2948504146E+04   -0.5069781672E+03


% run    par  time              vx                  vy
 74      1    0.26358E+00    0.1811076734E+04    0.4609234809E+04


% run    par  time              vx                  vy
 75      1    0.26714E+00    0.1904763549E+04   -0.3348625510E+04


% run    par  time              vx                  vy
 76      1    0.27070E+00   -0.3874845939E+03   -0.4165472167E+04


% run    par  time              vx                  vy
 77      1    0.27426E+00   -0.5045923007E+03   -0.8288959381E+03


% run    par  time              vx                  vy
 78      1    0.27782E+00   -0.1299057736E+03    0.2628951055E+04


% run    par  time              vx                  vy
 79      1    0.28138E+00   -0.1990400797E+04    0.1975107296E+04


% run    par  time              vx                  vy
 80      1    0.28495E+00    0.8496546617E+03    0.2761189836E+04


% run    par  time              vx                  vy
 81      1    0.28851E+00   -0.8030736787E+03    0.5864955781E+04


% run    par  time              vx                  vy
 82      1    0.29207E+00   -0.4036703448E+03   -0.1371824036E+04


% run    par  time              vx                  vy
 83      1    0.29563E+00   -0.1090309927E+04   -0.1390711961E+04


% run    par  time              vx                  vy
 84      1    0.29919E+00   -0.2691442265E+04   -0.7839775653E+03


% run    par  time              vx                  vy
 85      1    0.30276E+00   -0.1476139750E+04    0.5161099958E+04


% run    par  time              vx                  vy
 86      1    0.30632E+00    0.6642854434E+03    0.7646001012E+03


% run    par  time              vx                  vy
 87      1    0.30988E+00    0.7414878196E+03    0.2228363316E+04


% run    par  time              vx                  vy
 88      1    0.31344E+00    0.1700618056E+04   -0.5548221918E+03


% run    par  time              vx                  vy
 89      1    0.31700E+00   -0.3212440757E+04    0.2970642434E+04


% run    par  time              vx                  vy
 90      1    0.32056E+00    0.7600845779E+03   -0.1118622606E+04


% run    par  time              vx                  vy
 91      1    0.32413E+00   -0.2466061433E+04    0.6191644614E+03


% run    par  time              vx                  vy
 92      1    0.32769E+00   -0.5546118849E+03    0.1799246587E+04


% run    par  time              vx                  vy
 93      1    0.33125E+00   -0.2451324701E+04   -0.1968091890E+04


% run    par  time              vx                  vy
 94      1    0.33481E+00   -0.2299289820E+04    0.1231512101E+04


% run    par  time              vx                  vy
 95      1    0.33837E+00   -0.2638510482E+04   -0.3883288225E+03


% run    par  time              vx                  vy
 96      1    0.34194E+00   -0.1268867055E+04   -0.2115459203E+04


% run    par  time              vx                  vy
 97      1    0.34550E+00   -0.1134303600E+04   -0.1274585169E+04


% run    par  time              vx                  vy
 98      1    0.34906E+00   -0.2211829160E+04   -0.7429537704E+02


% run    par  time              vx                  vy
 99      1    0.35262E+00    0.6543734810E+03    0.4221572817E+04


% run    par  time              vx                  vy
100      1    0.35618E+00   -0.1478715496E+03    0.1709245155E+04


