% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.3004948302E+02    0.1284629165E+03    0.1319306346E+03
  1      2    0.71237E-02    0.2088672958E+02    0.5289110840E+02    0.5686584934E+02
  1      3    0.10685E-01   -0.2659979543E+03    0.3156690041E+03    0.4127975676E+03
  1      4    0.14247E-01    0.1420496026E+03    0.4306587360E+02    0.1484343594E+03
  1      5    0.17809E-01    0.2113683522E+03   -0.2042411775E+03    0.2939235256E+03
  1      6    0.21371E-01   -0.7839380739E+01   -0.2970886342E+03    0.2971920465E+03
  1      7    0.24933E-01    0.4090596860E+03    0.1295630698E+03    0.4290878881E+03
  1      8    0.28495E-01    0.2113849644E+03   -0.7440671665E+01    0.2115158783E+03
  1      9    0.32056E-01   -0.2500289627E+03    0.1833860958E+02    0.2507005919E+03
  1     10    0.35618E-01    0.1415676313E+03    0.1479402917E+03    0.2047626043E+03
  1     11    0.39180E-01   -0.1183674307E+03    0.2259225317E+03    0.2550526200E+03
  1     12    0.42742E-01    0.1262633904E+03   -0.7775270467E+02    0.1482832655E+03
  1     13    0.46304E-01   -0.5728625110E+02   -0.2770367217E+03    0.2828976136E+03
  1     14    0.49866E-01    0.3497969334E+02   -0.9075590132E+02    0.9726362409E+02
  1     15    0.53427E-01   -0.1199288548E+03   -0.1655894058E+03    0.2044572853E+03
  1     16    0.56989E-01    0.1922092775E+03    0.5787801292E+02    0.2007343287E+03
  1     17    0.60551E-01   -0.4333783751E+03   -0.2200451360E+03    0.4860418479E+03
  1     18    0.64113E-01   -0.1377407472E+03   -0.1070158837E+03    0.1744273855E+03
  1     19    0.67675E-01    0.1892337038E+03    0.4736262318E+02    0.1950707890E+03
  1     20    0.71237E-01   -0.5725482898E+02    0.4181677463E+03    0.4220691644E+03
  1     21    0.74798E-01    0.1834226251E+03    0.1131049335E+03    0.2154914972E+03
  1     22    0.78360E-01   -0.6805437380E+02    0.8696213773E+02    0.1104255912E+03
  1     23    0.81922E-01   -0.3546298428E+02   -0.1784546092E+03    0.1819441420E+03
  1     24    0.85484E-01   -0.2370776745E+02   -0.1645112713E+03    0.1662107597E+03
  1     25    0.89046E-01    0.4833383768E+03   -0.8190082221E+02    0.4902282440E+03
  1     26    0.92608E-01   -0.2148364592E+03    0.1266792406E+03    0.2494039579E+03
  1     27    0.96169E-01   -0.3122246435E+01   -0.1113721905E+03    0.1114159470E+03
  1     28    0.99731E-01    0.8778332274E+02    0.8814244724E+02    0.1243985641E+03
  1     29    0.10329E+00    0.6416940129E+02    0.1717833511E+03    0.1833772935E+03
  1     30    0.10685E+00   -0.2572004508E+01   -0.1033385426E+03    0.1033705451E+03
  1     31    0.11042E+00    0.1751189586E+03   -0.6447980723E+02    0.1866126877E+03
  1     32    0.11398E+00    0.4891205305E+02    0.2078116025E+03    0.2134901662E+03
  1     33    0.11754E+00    0.1014845426E+03   -0.7500183062E+02    0.1261918658E+03
  1     34    0.12110E+00   -0.1665764487E+03   -0.1462406989E+03    0.2216620293E+03
  1     35    0.12466E+00   -0.4253541125E+02    0.7978174385E+02    0.9041232141E+02
  1     36    0.12823E+00   -0.1605698978E+03    0.2557696091E+03    0.3019946771E+03
  1     37    0.13179E+00    0.6472272746E+02   -0.5856529094E+02    0.8728645229E+02
  1     38    0.13535E+00   -0.3985163562E+03   -0.1655409566E+03    0.4315311049E+03
  1     39    0.13891E+00    0.2213145300E+03   -0.1287859587E+03    0.2560584784E+03
  1     40    0.14247E+00   -0.1310076933E+03    0.1772127239E+03    0.2203800472E+03
  1     41    0.14603E+00   -0.2237222397E+02    0.6773855468E+02    0.7133742493E+02
  1     42    0.14960E+00    0.3758616175E+03    0.6121905165E+01    0.3759114699E+03
  1     43    0.15316E+00    0.1537608280E+02   -0.1945794693E+03    0.1951860492E+03
  1     44    0.15672E+00    0.2253691672E+03    0.2718946889E+03    0.3531543337E+03
  1     45    0.16028E+00   -0.8503903627E+02   -0.1576778893E+03    0.1791478565E+03
  1     46    0.16384E+00   -0.1279354705E+03   -0.4285141195E+02    0.1349211922E+03
  1     47    0.16741E+00    0.1703073889E+03    0.2627155231E+03    0.3130879314E+03
  1     48    0.17097E+00   -0.3125553538E+02   -0.8798104984E+02    0.9336794752E+02
  1     49    0.17453E+00    0.2416613970E+02   -0.8099190099E+02    0.8452035455E+02
  1     50    0.17809E+00   -0.1546601314E+03    0.2216586860E+03    0.2702819441E+03
  1     51    0.18165E+00   -0.2698603663E+02   -0.8532813320E+02    0.8949377905E+02
  1     52    0.18522E+00   -0.1768758673E+03   -0.2134762823E+03    0.2772313033E+03
  1     53    0.18878E+00   -0.2405818761E+03    0.2370049047E+03    0.3377143230E+03
  1     54    0.19234E+00    0.1520668962E+02    0.1030068764E+03    0.1041232923E+03
  1     55    0.19590E+00    0.2097080528E+03    0.1114291533E+03    0.2374740483E+03
  1     56    0.19946E+00   -0.2827509802E+03    0.4168522899E+03    0.5037002565E+03
  1     57    0.20302E+00   -0.1774133732E+03   -0.1515710338E+03    0.2333437020E+03
  1     58    0.20659E+00    0.9751639957E+01   -0.1489620107E+03    0.1492808598E+03
  1     59    0.21015E+00   -0.9980003706E+02   -0.2914831880E+03    0.3080949469E+03
  1     60    0.21371E+00    0.1771460555E+03    0.8312106605E+02    0.1956778899E+03
  1     61    0.21727E+00    0.1683501398E+01    0.1280776373E+02    0.1291793284E+02
  1     62    0.22083E+00    0.6854154893E+02    0.1429995943E+03    0.1585775138E+03
  1     63    0.22440E+00    0.8697115139E+02    0.7757673279E+02    0.1165423985E+03
  1     64    0.22796E+00   -0.2478274610E+03   -0.2163416941E+03    0.3289713954E+03
  1     65    0.23152E+00   -0.1651261554E+03   -0.5023430169E+02    0.1725981816E+03
  1     66    0.23508E+00   -0.1381904319E+02    0.3066717685E+02    0.3363690964E+02
  1     67    0.23864E+00   -0.5847968477E+02   -0.1395298993E+03    0.1512893463E+03
  1     68    0.24220E+00   -0.1586599006E+03    0.4222354996E+02    0.1641821922E+03
  1     69    0.24577E+00    0.2149021431E+03    0.3941506958E+02    0.2184867932E+03
  1     70    0.24933E+00   -0.6757108754E+02   -0.7349696618E+02    0.9983814857E+02
  1     71    0.25289E+00   -0.8076908486E+02    0.1688141563E+03    0.1871412954E+03
  1     72    0.25645E+00   -0.3690671302E+02    0.7908693540E+02    0.8727455997E+02
  1     73    0.26001E+00    0.2773181353E+03   -0.2028801051E+02    0.2780592590E+03
  1     74    0.26358E+00    0.5734265265E+01    0.3180155545E+03    0.3180672487E+03
  1     75    0.26714E+00    0.4424922432E+02   -0.2087916847E+02    0.4892784002E+02
  1     76    0.27070E+00   -0.4060617179E+03   -0.1935801568E+03    0.4498437461E+03
  1     77    0.27426E+00    0.3422809680E+03   -0.4978690659E+02    0.3458829240E+03
  1     78    0.27782E+00    0.1114892893E+03   -0.2848194515E+02    0.1150699041E+03
  1     79    0.28138E+00    0.1800024891E+03    0.6549143339E+02    0.1915464015E+03
  1     80    0.28495E+00    0.9721930258E+02    0.1308789180E+03    0.1630364498E+03
  1     81    0.28851E+00   -0.6335883928E+01    0.1051747737E+03    0.1053654424E+03
  1     82    0.29207E+00   -0.1222811290E+03    0.1643686012E+03    0.2048651058E+03
