% run    par  time               x                   y
  1      1    0.35618E-02    0.1984398450E+00    0.9623075477E-01
  1      2    0.35618E-02    0.2859175956E+01   -0.7611434739E-01
  1      3    0.35618E-02    0.1948420253E+01    0.8968890531E+00
  1      4    0.35618E-02    0.1663562882E+01    0.2337566365E+01
  1      5    0.35618E-02    0.3598701647E+00    0.2281858647E+01
  1      6    0.35618E-02   -0.1049107235E+01    0.2104509166E+01
  1      7    0.35618E-02   -0.1754363035E+01    0.9684872352E+00
  1      8    0.35618E-02   -0.2292217549E+01    0.7080412571E-01
  1      9    0.35618E-02   -0.1748109790E+01   -0.9453796860E+00
  1     10    0.35618E-02   -0.1003229771E+01   -0.2132217160E+01
  1     11    0.35618E-02    0.2572039998E+00   -0.2532942289E+01
  1     12    0.35618E-02    0.1706297552E+01   -0.2233322799E+01
  1     13    0.35618E-02    0.2305874221E+01   -0.1213997987E+01
  1     14    0.35618E-02    0.5336552484E+01   -0.1295429811E+00
  1     15    0.35618E-02    0.4570321772E+01    0.1378997472E+01
  1     16    0.35618E-02    0.4164416118E+01    0.2420478149E+01
  1     17    0.35618E-02    0.3533119539E+01    0.3267985038E+01
  1     18    0.35618E-02    0.2890744885E+01    0.4611745804E+01
  1     19    0.35618E-02    0.1335602712E+01    0.4416116067E+01
  1     20    0.35618E-02    0.4243781625E+00    0.4430650455E+01
  1     21    0.35618E-02   -0.1140960234E+01    0.4503423138E+01
  1     22    0.35618E-02   -0.2288627122E+01    0.4116720390E+01
  1     23    0.35618E-02   -0.3161443606E+01    0.3456181282E+01
  1     24    0.35618E-02   -0.3872126758E+01    0.1889451693E+01
  1     25    0.35618E-02   -0.4202297865E+01    0.1313167257E+01
  1     26    0.35618E-02   -0.5004677489E+01    0.2537335700E-01
  1     27    0.35618E-02   -0.3999782534E+01   -0.1130464405E+01
  1     28    0.35618E-02   -0.3764425965E+01   -0.2496847271E+01
  1     29    0.35618E-02   -0.3003588775E+01   -0.3057097864E+01
  1     30    0.35618E-02   -0.2321774387E+01   -0.4556686302E+01
  1     31    0.35618E-02   -0.9588721865E+00   -0.4495845488E+01
  1     32    0.35618E-02    0.2868854645E+00   -0.4172376178E+01
  1     33    0.35618E-02    0.1281559544E+01   -0.4325063300E+01
  1     34    0.35618E-02    0.2856485928E+01   -0.4578724042E+01
  1     35    0.35618E-02    0.3476132195E+01   -0.3429610426E+01
