% run    par  time               x                   y
  1      1    0.35618E-02    0.1417838730E+02    0.4913130448E+01
  1      2    0.35618E-02    0.1167588655E+01    0.9015236696E+01
  1      3    0.35618E-02    0.1224198326E+02   -0.8582621480E+01
  1      4    0.35618E-02    0.4233984254E+01    0.6235706873E+01
  1      5    0.35618E-02   -0.1044466753E+02   -0.1645490957E+00
  1      6    0.35618E-02   -0.1008975737E+02    0.7916318076E+01
  1      7    0.35618E-02   -0.5636815998E+00    0.1113529228E+02
  1      8    0.35618E-02   -0.1523789581E+01   -0.1145727789E+02
  1      9    0.35618E-02    0.1408186341E+02    0.4018523085E+01
  1     10    0.35618E-02    0.9809472985E+01   -0.4991502260E+00
  1     11    0.35618E-02   -0.4613688416E+01    0.1177613651E+02
  1     12    0.35618E-02   -0.8517238938E+01    0.1100084399E+02
  1     13    0.35618E-02    0.5050587439E+01    0.9060002491E-01
  1     14    0.35618E-02    0.8513461773E+01   -0.1245610508E+02
  1     15    0.35618E-02    0.1669271565E+01   -0.4598946656E+00
  1     16    0.35618E-02   -0.5515161401E+01   -0.2371426528E+01
  1     17    0.35618E-02   -0.1477302167E+02   -0.1308439509E+01
  1     18    0.35618E-02    0.6218652937E+01    0.1015352726E+01
  1     19    0.35618E-02    0.9765854357E+01   -0.1101067824E+02
  1     20    0.35618E-02   -0.5977422725E+01   -0.2773443833E+01
  1     21    0.35618E-02    0.4904767340E+01    0.2915339403E+01
  1     22    0.35618E-02   -0.1648994926E+01   -0.7980109958E+01
  1     23    0.35618E-02   -0.6277758972E+01    0.4153928215E+01
  1     24    0.35618E-02   -0.6084987050E+01    0.1135188470E+02
  1     25    0.35618E-02    0.7153069284E+01    0.1059812968E+02
  1     26    0.35618E-02    0.4880844701E+01    0.5050653795E+01
  1     27    0.35618E-02    0.2542386838E+01    0.1479460347E+01
  1     28    0.35618E-02    0.7701651911E-01   -0.8476386919E+01
  1     29    0.35618E-02    0.7551121908E+01    0.5677964592E+01
  1     30    0.35618E-02    0.1232975756E+02    0.8523685542E+01
  1     31    0.35618E-02   -0.3343647126E+01   -0.5130588788E+01
  1     32    0.35618E-02   -0.7992792741E+01   -0.3277684292E+01
  1     33    0.35618E-02   -0.1958034717E+01    0.6465658912E+01
  1     34    0.35618E-02   -0.1423425518E+02   -0.4209136060E+01
  1     35    0.35618E-02    0.7766927506E+01   -0.1838752726E+01
  1     36    0.35618E-02   -0.6363440836E+01    0.7222470605E+01
  1     37    0.35618E-02   -0.1413603564E+02    0.6776012910E+00
  1     38    0.35618E-02    0.3458436921E+01    0.1388006166E+01
  1     39    0.35618E-02    0.3159777856E+01    0.8350926909E+01
  1     40    0.35618E-02    0.2592729931E-01   -0.1467386047E+02
  1     41    0.35618E-02   -0.6228362517E+01   -0.9397526518E+01
  1     42    0.35618E-02   -0.9062132154E+00    0.9573071927E+00
  1     43    0.35618E-02   -0.6288794202E+01    0.1300773267E+02
  1     44    0.35618E-02    0.3491777949E+01   -0.1293035785E+02
  1     45    0.35618E-02   -0.7838470489E+01    0.8832942656E+01
  1     46    0.35618E-02   -0.2294875371E+01    0.1197895774E+02
  1     47    0.35618E-02   -0.4229368258E+01    0.1183007536E+02
  1     48    0.35618E-02   -0.1123832802E+02    0.9686117919E+01
  1     49    0.35618E-02   -0.1014397868E+02    0.6303107889E+01
  1     50    0.35618E-02    0.7704777860E+01    0.3102890216E+01
  1     51    0.35618E-02    0.7394126952E+01    0.1241891058E+02
  1     52    0.35618E-02    0.1147191636E+02    0.3279012503E+01
  1     53    0.35618E-02    0.1152058278E+01    0.1326045187E+02
  1     54    0.35618E-02   -0.1294835178E+02   -0.2843093542E+01
  1     55    0.35618E-02   -0.1290114059E+00    0.7269926783E+01
