% run    par  time              vx                  vy
  1      1    0.35618E-02    0.1035579491E+04   -0.2565194048E+04
  1      2    0.35618E-02    0.1511204345E+04   -0.1795764148E+04
  1      3    0.35618E-02    0.1408663010E+04   -0.4420117463E+03
  1      4    0.35618E-02    0.3796266396E+04   -0.1103677036E+04
  1      5    0.35618E-02   -0.4089611055E+04    0.4675980089E+03
  1      6    0.35618E-02   -0.1757242055E+03   -0.2833103779E+04
  1      7    0.35618E-02    0.5659735545E+04    0.1224110476E+04
  1      8    0.35618E-02    0.3909226463E+03    0.1929985714E+04
  1      9    0.35618E-02    0.4477669928E+04   -0.3712624624E+03
  1     10    0.35618E-02   -0.1417327637E+04   -0.9520462458E+03
  1     11    0.35618E-02   -0.3591485147E+04    0.3083119522E+04
  1     12    0.35618E-02    0.8645742594E+03   -0.1430636621E+04
  1     13    0.35618E-02    0.1575919984E+04    0.4090705035E+04
  1     14    0.35618E-02    0.2422687507E+04   -0.3861690663E+04
  1     15    0.35618E-02   -0.1752553149E+04    0.2603009933E+04
  1     16    0.35618E-02    0.1060703086E+04    0.2974828210E+04
  1     17    0.35618E-02   -0.2058467733E+03   -0.3217894853E+04
  1     18    0.35618E-02    0.1590346218E+04    0.2277603447E+04
  1     19    0.35618E-02    0.1347450204E+04   -0.1734958657E+04
  1     20    0.35618E-02    0.2298424601E+03    0.3817261720E+01
  1     21    0.35618E-02   -0.6525387151E+03   -0.9875481581E+03
  1     22    0.35618E-02    0.7655567594E+03   -0.3881864501E+04
  1     23    0.35618E-02   -0.1848041397E+04   -0.6874362846E+03
  1     24    0.35618E-02   -0.1046332500E+04   -0.1314537099E+04
  1     25    0.35618E-02    0.1721462094E+04   -0.4001432787E+03
  1     26    0.35618E-02    0.1947939881E+04    0.2208377275E+04
  1     27    0.35618E-02   -0.7135151165E+03    0.3990722683E+04
  1     28    0.35618E-02    0.1195264293E+04   -0.1332821741E+04
  1     29    0.35618E-02   -0.2162145606E+04   -0.5484899364E+02
  1     30    0.35618E-02    0.1558099289E+04    0.9575674268E+03
  1     31    0.35618E-02    0.1479087608E+04    0.1199842226E+04
  1     32    0.35618E-02    0.1680277929E+04   -0.3916109280E+04
  1     33    0.35618E-02    0.4748109420E+03   -0.1876959734E+04
  1     34    0.35618E-02    0.3661922044E+03    0.3024995066E+02
  1     35    0.35618E-02    0.2665656942E+03    0.3804150102E+04
  1     36    0.35618E-02   -0.8956880673E+03    0.3383670408E+04
  1     37    0.35618E-02    0.1596704922E+04   -0.1022469549E+04
  1     38    0.35618E-02    0.4185854388E+04   -0.1090466458E+04
  1     39    0.35618E-02    0.7668640825E+03   -0.1814960767E+04
  1     40    0.35618E-02    0.1864546541E+02    0.2334153505E+04
  1     41    0.35618E-02   -0.7140479077E+03    0.2811142437E+04
  1     42    0.35618E-02   -0.2545536561E+04    0.1277090563E+04
  1     43    0.35618E-02    0.2749225969E+04    0.5158022251E+04
  1     44    0.35618E-02    0.6367234883E+03   -0.2960947797E+04
  1     45    0.35618E-02   -0.3008923095E+04    0.4645332116E+04
  1     46    0.35618E-02    0.5837762000E+03   -0.5251683629E+04
  1     47    0.35618E-02   -0.1346937080E+04   -0.1495087350E+03
  1     48    0.35618E-02   -0.1411321380E+04    0.2174749822E+04
  1     49    0.35618E-02    0.2061224526E+04   -0.2068103828E+04
  1     50    0.35618E-02    0.4161213346E+04    0.2517587546E+04
  1     51    0.35618E-02    0.2852759407E+02    0.1591913064E+04
  1     52    0.35618E-02    0.3181037624E+04    0.7757549212E+03
  1     53    0.35618E-02   -0.2807730771E+04    0.8453906788E+03
  1     54    0.35618E-02    0.2330923680E+03   -0.3231060131E+04
  1     55    0.35618E-02    0.2805979871E+03    0.1671160080E+04
  1     56    0.35618E-02    0.7037691721E+04    0.1823775552E+04
  1     57    0.35618E-02    0.1319554937E+04    0.4064273860E+03
  1     58    0.35618E-02   -0.1763624090E+04    0.1264836501E+03
  1     59    0.35618E-02    0.3472107663E+03   -0.1679187123E+04
  1     60    0.35618E-02   -0.2834786178E+04   -0.2524591451E+04
  1     61    0.35618E-02    0.7997308495E+03    0.8546571968E+03
  1     62    0.35618E-02    0.4570986497E+03   -0.8048081991E+03
  1     63    0.35618E-02    0.6408491272E+03   -0.9572399878E+03
  1     64    0.35618E-02   -0.1364584049E+04    0.3575897994E+04
  1     65    0.35618E-02   -0.1601750260E+04    0.2816973120E+04
  1     66    0.35618E-02   -0.1911984629E+04    0.3139326260E+04
  1     67    0.35618E-02   -0.1207813444E+03   -0.3760410526E+04
  1     68    0.35618E-02    0.3171170653E+04   -0.4267226765E+04
  1     69    0.35618E-02    0.2202615285E+04   -0.2826038389E+04
  1     70    0.35618E-02   -0.2502167235E+04    0.2444922045E+04
  1     71    0.35618E-02    0.7882446089E+03   -0.2145297400E+04
  1     72    0.35618E-02   -0.2468032619E+04    0.3101344679E+04
  1     73    0.35618E-02    0.5069151819E+04    0.4349580766E+04
  1     74    0.35618E-02    0.1232053563E+03    0.4244592511E+04
  1     75    0.35618E-02    0.1743561990E+04   -0.1964825965E+04
  1     76    0.35618E-02    0.4798800948E+04    0.2360437357E+04
  1     77    0.35618E-02    0.1759196161E+04   -0.1643456976E+03
  1     78    0.35618E-02   -0.1534508867E+04    0.6591021278E+03
  1     79    0.35618E-02   -0.4806109182E+04    0.2343306319E+04
  1     80    0.35618E-02    0.1269969943E+04   -0.1508644465E+04
  1     81    0.35618E-02   -0.4141970783E+03   -0.2215333743E+04
  1     82    0.35618E-02   -0.3948311474E+04    0.2879832744E+04
  1     83    0.35618E-02   -0.5269292131E+03   -0.5496414789E+03
  1     84    0.35618E-02   -0.1906334155E+03    0.7454152262E+03
  1     85    0.35618E-02    0.1445656050E+03    0.1303425146E+03
  1     86    0.35618E-02    0.1016320148E+04   -0.6511900274E+03
  1     87    0.35618E-02    0.1663460614E+03    0.3394905487E+04
  1     88    0.35618E-02   -0.1525872071E+04   -0.4514842903E+04
  1     89    0.35618E-02    0.1392825431E+04   -0.4726883763E+04
  1     90    0.35618E-02   -0.6238274961E+02   -0.2370906122E+04
  1     91    0.35618E-02    0.5123623634E+04    0.2928431889E+04
  1     92    0.35618E-02    0.1655818591E+04    0.2170647094E+04
  1     93    0.35618E-02    0.4021940305E+03   -0.1631248910E+04
  1     94    0.35618E-02   -0.4646479069E+03    0.2658739559E+03
  1     95    0.35618E-02    0.2781799878E+03   -0.8305190858E+03
  1     96    0.35618E-02   -0.3805570925E+04   -0.1616693229E+04
  1     97    0.35618E-02    0.1708543826E+04    0.1462823364E+04
