% run    par  time              vx                  vy
  1      1    0.35618E-02    0.1191062630E+04    0.3974430570E+03
  1      2    0.35618E-02    0.1056565160E+04    0.8077438120E+03
  1      3    0.35618E-02    0.5303722843E+03    0.1822430909E+04
  1      4    0.35618E-02    0.9183673368E+03   -0.2424604090E+03
  1      5    0.35618E-02    0.3808520555E+04   -0.8434593909E+03
  1      6    0.35618E-02   -0.1510449988E+04    0.2766104242E+03
  1      7    0.35618E-02    0.3106943896E+03    0.1406481365E+04
  1      8    0.35618E-02   -0.2413948648E+04   -0.2253851169E+04
  1      9    0.35618E-02   -0.4306904175E+03   -0.1997787313E+04
  1     10    0.35618E-02   -0.1612240808E+04    0.2845718710E+02
  1     11    0.35618E-02   -0.1721740710E+04    0.5055951947E+03
  1     12    0.35618E-02   -0.2239171331E+03    0.1533306692E+03
  1     13    0.35618E-02    0.2833309763E+04    0.8901610636E+03
  1     14    0.35618E-02   -0.1578124232E+04    0.1077005623E+03
  1     15    0.35618E-02    0.1411304396E+04    0.1928485384E+04
  1     16    0.35618E-02   -0.1704781652E+04   -0.2258403694E+03
  1     17    0.35618E-02   -0.1713484976E+03   -0.3640079450E+04
  1     18    0.35618E-02   -0.9562676951E+03   -0.7260199717E+03
  1     19    0.35618E-02    0.1054909230E+04   -0.2264225053E+04
  1     20    0.35618E-02    0.9269459510E+03   -0.5290342545E+04
  1     21    0.35618E-02   -0.2752388644E+04   -0.1382111655E+04
  1     22    0.35618E-02   -0.3612904867E+03    0.3447410420E+04
  1     23    0.35618E-02   -0.1823149858E+04    0.5293229329E+02
  1     24    0.35618E-02   -0.3857771815E+04    0.7792497339E+02
  1     25    0.35618E-02   -0.2695988927E+04   -0.2225425696E+04
  1     26    0.35618E-02    0.7512598246E+03   -0.2195505728E+02
  1     27    0.35618E-02    0.2285911655E+04    0.2518183622E+04
  1     28    0.35618E-02   -0.2185076231E+04    0.2505156585E+04
  1     29    0.35618E-02    0.1511659652E+04    0.6631173447E+03
  1     30    0.35618E-02   -0.2915530093E+01    0.5001383356E+03
  1     31    0.35618E-02    0.3591213135E+03   -0.2004767332E+03
  1     32    0.35618E-02   -0.4635427583E+03   -0.4037100240E+04
  1     33    0.35618E-02   -0.2632104737E+04   -0.3593639318E+04
  1     34    0.35618E-02   -0.2433050642E+04   -0.1711747432E+04
  1     35    0.35618E-02    0.3094612868E+03    0.1378904041E+04
  1     36    0.35618E-02    0.3543055330E+03   -0.9934808000E+03
