% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.76925E-01
  1      2    0.71237E-02    0.17231E+00
  1      3    0.10685E-01    0.27258E+00
  1      4    0.14247E-01    0.35805E+00
  1      5    0.17809E-01    0.48572E+00
  1      6    0.21371E-01    0.58898E+00
  1      7    0.24933E-01    0.66230E+00
  1      8    0.28495E-01    0.76175E+00
  1      9    0.32056E-01    0.90295E+00
  1     10    0.35618E-01    0.10204E+01
  1     11    0.39180E-01    0.11582E+01
  1     12    0.42742E-01    0.12266E+01
  1     13    0.46304E-01    0.12666E+01
  1     14    0.49866E-01    0.13696E+01
  1     15    0.53427E-01    0.14823E+01
  1     16    0.56989E-01    0.16106E+01
  1     17    0.60551E-01    0.17800E+01
  1     18    0.64113E-01    0.19057E+01
  1     19    0.67675E-01    0.20054E+01
  1     20    0.71237E-01    0.20363E+01
  1     21    0.74798E-01    0.21781E+01
  1     22    0.78360E-01    0.23444E+01
  1     23    0.81922E-01    0.24962E+01
  1     24    0.85484E-01    0.26071E+01
  1     25    0.89046E-01    0.27903E+01
  1     26    0.92608E-01    0.28502E+01
  1     27    0.96169E-01    0.29406E+01
  1     28    0.99731E-01    0.30821E+01
  1     29    0.10329E+00    0.31652E+01
  1     30    0.10685E+00    0.33023E+01
  1     31    0.11042E+00    0.33785E+01
  1     32    0.11398E+00    0.34668E+01
  1     33    0.11754E+00    0.36431E+01
  1     34    0.12110E+00    0.37123E+01
  1     35    0.12466E+00    0.38136E+01
  1     36    0.12823E+00    0.37889E+01
  1     37    0.13179E+00    0.38665E+01
  1     38    0.13535E+00    0.39414E+01
  1     39    0.13891E+00    0.40581E+01
  1     40    0.14247E+00    0.41540E+01
  1     41    0.14603E+00    0.41826E+01
  1     42    0.14960E+00    0.43526E+01
  1     43    0.15316E+00    0.44719E+01
  1     44    0.15672E+00    0.45862E+01
  1     45    0.16028E+00    0.47561E+01
  1     46    0.16384E+00    0.49572E+01
  1     47    0.16741E+00    0.50498E+01
  1     48    0.17097E+00    0.51098E+01
  1     49    0.17453E+00    0.52725E+01
  1     50    0.17809E+00    0.54778E+01
  1     51    0.18165E+00    0.56054E+01
  1     52    0.18522E+00    0.55998E+01
  1     53    0.18878E+00    0.55894E+01
  1     54    0.19234E+00    0.58003E+01
  1     55    0.19590E+00    0.58917E+01
  1     56    0.19946E+00    0.60009E+01
  1     57    0.20302E+00    0.59829E+01
  1     58    0.20659E+00    0.60935E+01
  1     59    0.21015E+00    0.62400E+01
  1     60    0.21371E+00    0.63918E+01
  1     61    0.21727E+00    0.64577E+01
  1     62    0.22083E+00    0.64451E+01
  1     63    0.22440E+00    0.65046E+01
  1     64    0.22796E+00    0.66612E+01
  1     65    0.23152E+00    0.67937E+01
  1     66    0.23508E+00    0.69192E+01
  1     67    0.23864E+00    0.70408E+01
  1     68    0.24220E+00    0.71055E+01
  1     69    0.24577E+00    0.70677E+01
  1     70    0.24933E+00    0.71393E+01
  1     71    0.25289E+00    0.72451E+01
  1     72    0.25645E+00    0.73346E+01
  1     73    0.26001E+00    0.73786E+01
  1     74    0.26358E+00    0.74473E+01
  1     75    0.26714E+00    0.75210E+01
  1     76    0.27070E+00    0.75668E+01
  1     77    0.27426E+00    0.77233E+01
  1     78    0.27782E+00    0.78804E+01
  1     79    0.28138E+00    0.80543E+01
  1     80    0.28495E+00    0.81372E+01
  1     81    0.28851E+00    0.81292E+01
  1     82    0.29207E+00    0.81231E+01
  1     83    0.29563E+00    0.83779E+01
  1     84    0.29919E+00    0.84503E+01
  1     85    0.30276E+00    0.84505E+01
  1     86    0.30632E+00    0.85935E+01
  1     87    0.30988E+00    0.86199E+01
  1     88    0.31344E+00    0.87411E+01
  1     89    0.31700E+00    0.88691E+01
  1     90    0.32056E+00    0.89662E+01
  1     91    0.32413E+00    0.88631E+01
  1     92    0.32769E+00    0.88089E+01
  1     93    0.33125E+00    0.88518E+01
  1     94    0.33481E+00    0.89517E+01
  1     95    0.33837E+00    0.93169E+01
  1     96    0.34194E+00    0.93824E+01
  1     97    0.34550E+00    0.95787E+01
  1     98    0.34906E+00    0.95720E+01
  1     99    0.35262E+00    0.96280E+01
  1    100    0.35618E+00    0.97151E+01


% itn    run  time           mean square displacement
  2      1    0.35618E-02    0.76559E-01
  2      2    0.71237E-02    0.16972E+00
  2      3    0.10685E-01    0.26683E+00
  2      4    0.14247E-01    0.37146E+00
  2      5    0.17809E-01    0.44956E+00
  2      6    0.21371E-01    0.52315E+00
  2      7    0.24933E-01    0.63767E+00
  2      8    0.28495E-01    0.74612E+00
  2      9    0.32056E-01    0.84494E+00
  2     10    0.35618E-01    0.10038E+01
  2     11    0.39180E-01    0.11354E+01
  2     12    0.42742E-01    0.12591E+01
  2     13    0.46304E-01    0.13325E+01
  2     14    0.49866E-01    0.14717E+01
  2     15    0.53427E-01    0.16183E+01
  2     16    0.56989E-01    0.17308E+01
  2     17    0.60551E-01    0.18376E+01
  2     18    0.64113E-01    0.19513E+01
  2     19    0.67675E-01    0.20254E+01
  2     20    0.71237E-01    0.20973E+01
  2     21    0.74798E-01    0.21924E+01
  2     22    0.78360E-01    0.22835E+01
  2     23    0.81922E-01    0.24505E+01
  2     24    0.85484E-01    0.25498E+01
  2     25    0.89046E-01    0.26531E+01
  2     26    0.92608E-01    0.27873E+01
  2     27    0.96169E-01    0.30073E+01
  2     28    0.99731E-01    0.32049E+01
  2     29    0.10329E+00    0.33213E+01
  2     30    0.10685E+00    0.34563E+01
  2     31    0.11042E+00    0.36132E+01
  2     32    0.11398E+00    0.37512E+01
  2     33    0.11754E+00    0.38712E+01
  2     34    0.12110E+00    0.39946E+01
  2     35    0.12466E+00    0.40529E+01
  2     36    0.12823E+00    0.40795E+01
  2     37    0.13179E+00    0.42075E+01
  2     38    0.13535E+00    0.43697E+01
  2     39    0.13891E+00    0.44824E+01
  2     40    0.14247E+00    0.45355E+01
  2     41    0.14603E+00    0.45775E+01
  2     42    0.14960E+00    0.47527E+01
  2     43    0.15316E+00    0.48801E+01
  2     44    0.15672E+00    0.49985E+01
  2     45    0.16028E+00    0.50779E+01
  2     46    0.16384E+00    0.51381E+01
  2     47    0.16741E+00    0.52622E+01
  2     48    0.17097E+00    0.54376E+01
  2     49    0.17453E+00    0.55492E+01
  2     50    0.17809E+00    0.55937E+01
  2     51    0.18165E+00    0.56166E+01
  2     52    0.18522E+00    0.56372E+01
  2     53    0.18878E+00    0.56201E+01
  2     54    0.19234E+00    0.56855E+01
  2     55    0.19590E+00    0.57557E+01
  2     56    0.19946E+00    0.59254E+01
  2     57    0.20302E+00    0.60231E+01
  2     58    0.20659E+00    0.60686E+01
  2     59    0.21015E+00    0.61782E+01
  2     60    0.21371E+00    0.62554E+01
  2     61    0.21727E+00    0.64076E+01
  2     62    0.22083E+00    0.64262E+01
  2     63    0.22440E+00    0.64682E+01
  2     64    0.22796E+00    0.65724E+01
  2     65    0.23152E+00    0.66257E+01
  2     66    0.23508E+00    0.66827E+01
  2     67    0.23864E+00    0.67956E+01
  2     68    0.24220E+00    0.69429E+01
  2     69    0.24577E+00    0.71228E+01
  2     70    0.24933E+00    0.71757E+01
  2     71    0.25289E+00    0.72108E+01
  2     72    0.25645E+00    0.72401E+01
  2     73    0.26001E+00    0.75217E+01
  2     74    0.26358E+00    0.77901E+01
  2     75    0.26714E+00    0.79765E+01
  2     76    0.27070E+00    0.82144E+01
  2     77    0.27426E+00    0.84322E+01
  2     78    0.27782E+00    0.85448E+01
  2     79    0.28138E+00    0.86356E+01
  2     80    0.28495E+00    0.86723E+01
  2     81    0.28851E+00    0.87441E+01
  2     82    0.29207E+00    0.87778E+01
  2     83    0.29563E+00    0.88146E+01
  2     84    0.29919E+00    0.89365E+01
  2     85    0.30276E+00    0.89800E+01
  2     86    0.30632E+00    0.91550E+01
  2     87    0.30988E+00    0.92279E+01
  2     88    0.31344E+00    0.92937E+01
  2     89    0.31700E+00    0.93723E+01
  2     90    0.32056E+00    0.94397E+01
  2     91    0.32413E+00    0.96136E+01
  2     92    0.32769E+00    0.99428E+01
  2     93    0.33125E+00    0.10070E+02
  2     94    0.33481E+00    0.10104E+02
  2     95    0.33837E+00    0.10129E+02
  2     96    0.34194E+00    0.10312E+02
  2     97    0.34550E+00    0.10421E+02
  2     98    0.34906E+00    0.10502E+02
  2     99    0.35262E+00    0.10635E+02
  2    100    0.35618E+00    0.10903E+02


% itn    run  time           mean square displacement
  3      1    0.35618E-02    0.78229E-01
  3      2    0.71237E-02    0.18873E+00
  3      3    0.10685E-01    0.29206E+00
  3      4    0.14247E-01    0.40840E+00
  3      5    0.17809E-01    0.50599E+00
  3      6    0.21371E-01    0.60579E+00
  3      7    0.24933E-01    0.68737E+00
  3      8    0.28495E-01    0.81255E+00
  3      9    0.32056E-01    0.92703E+00
  3     10    0.35618E-01    0.10572E+01
  3     11    0.39180E-01    0.11897E+01
  3     12    0.42742E-01    0.12966E+01
  3     13    0.46304E-01    0.14092E+01
  3     14    0.49866E-01    0.15344E+01
  3     15    0.53427E-01    0.16238E+01
  3     16    0.56989E-01    0.16784E+01
  3     17    0.60551E-01    0.17700E+01
  3     18    0.64113E-01    0.18554E+01
  3     19    0.67675E-01    0.19553E+01
  3     20    0.71237E-01    0.20765E+01
  3     21    0.74798E-01    0.22117E+01
  3     22    0.78360E-01    0.22764E+01
  3     23    0.81922E-01    0.23540E+01
  3     24    0.85484E-01    0.24090E+01
  3     25    0.89046E-01    0.24966E+01
  3     26    0.92608E-01    0.25655E+01
  3     27    0.96169E-01    0.26978E+01
  3     28    0.99731E-01    0.28413E+01
  3     29    0.10329E+00    0.29384E+01
  3     30    0.10685E+00    0.30123E+01
  3     31    0.11042E+00    0.31125E+01
  3     32    0.11398E+00    0.31922E+01
  3     33    0.11754E+00    0.33418E+01
  3     34    0.12110E+00    0.33888E+01
  3     35    0.12466E+00    0.34874E+01
  3     36    0.12823E+00    0.36383E+01
  3     37    0.13179E+00    0.37433E+01
  3     38    0.13535E+00    0.38549E+01
  3     39    0.13891E+00    0.38997E+01
  3     40    0.14247E+00    0.39345E+01
  3     41    0.14603E+00    0.40991E+01
  3     42    0.14960E+00    0.42963E+01
  3     43    0.15316E+00    0.43581E+01
  3     44    0.15672E+00    0.44871E+01
  3     45    0.16028E+00    0.46563E+01
  3     46    0.16384E+00    0.47947E+01
  3     47    0.16741E+00    0.48984E+01
