% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.2389498952E+03    0.6495198586E+01    0.2390381560E+03
  1      2    0.71237E-02   -0.4674497953E+03    0.3824900615E+03    0.6039933429E+03
  1      3    0.10685E-01    0.1600583955E+03    0.1440156980E+03    0.2153118930E+03
  1      4    0.14247E-01   -0.3061049810E+02   -0.1835162606E+03    0.1860516608E+03
  1      5    0.17809E-01    0.2678559047E+02    0.1900271415E+03    0.1919056601E+03
  1      6    0.21371E-01    0.3758496964E+02    0.4464617028E+03    0.4480409379E+03
  1      7    0.24933E-01    0.2627450755E+03    0.9498050644E+02    0.2793855245E+03
  1      8    0.28495E-01    0.2060248020E+03   -0.8306462720E+02    0.2221394862E+03
  1      9    0.32056E-01   -0.9803404352E+01   -0.1644907089E+03    0.1647825842E+03
  1     10    0.35618E-01   -0.9527813266E+02    0.1411030778E+03    0.1702586301E+03
  1     11    0.39180E-01   -0.4910128557E+01    0.1727677621E+03    0.1728375219E+03
  1     12    0.42742E-01    0.2440367675E+03   -0.1231612514E+03    0.2733544178E+03
  1     13    0.46304E-01   -0.1147499774E+03    0.2739398637E+03    0.2970027041E+03
  1     14    0.49866E-01    0.2753228191E+02    0.2259892753E+03    0.2276602273E+03
  1     15    0.53427E-01   -0.1579961999E+03    0.2572555392E+03    0.3018993402E+03
  1     16    0.56989E-01    0.2497255090E+03    0.3197897707E+03    0.4057441648E+03
  1     17    0.60551E-01    0.2193571764E+03    0.1878171662E+03    0.2887782172E+03
  1     18    0.64113E-01   -0.1436713746E+02    0.7826631430E+00    0.1438843982E+02
  1     19    0.67675E-01    0.1997190851E+03   -0.1215575372E+02    0.2000886686E+03
  1     20    0.71237E-01    0.1022187225E+03   -0.1008098257E+03    0.1435663199E+03
  1     21    0.74798E-01    0.6137436727E+02   -0.9948065869E+01    0.6217537271E+02
  1     22    0.78360E-01   -0.1055051342E+02    0.5958665359E+02    0.6051349122E+02
  1     23    0.81922E-01   -0.2821004805E+02   -0.1918922860E+02    0.3411793231E+02
  1     24    0.85484E-01   -0.1128722788E+03    0.1723808707E+02    0.1141810096E+03
  1     25    0.89046E-01    0.1423261220E+03    0.4301843649E+03    0.4531173279E+03
  1     26    0.92608E-01   -0.9025963683E+02   -0.1595104783E+03    0.1832768254E+03
  1     27    0.96169E-01    0.3596343997E+02    0.5198726846E+02    0.6321427921E+02
  1     28    0.99731E-01    0.2578796447E+03    0.6048941160E+02    0.2648789913E+03
  1     29    0.10329E+00   -0.8020065492E+02    0.4369507341E+02    0.9133128976E+02
  1     30    0.10685E+00    0.1557769320E+03    0.6702990775E+02    0.1695861465E+03
  1     31    0.11042E+00   -0.2664423158E+03   -0.1262969924E+03    0.2948600311E+03
  1     32    0.11398E+00    0.5888685096E+02    0.1498951609E+02    0.6076468389E+02
  1     33    0.11754E+00   -0.1767746078E+03   -0.8759043154E+01    0.1769914766E+03
  1     34    0.12110E+00    0.3911463798E+03   -0.1237615414E+02    0.3913421261E+03
  1     35    0.12466E+00   -0.1751660915E+03   -0.4574509285E+02    0.1810408052E+03
  1     36    0.12823E+00   -0.1767189081E+02   -0.5721202626E+02    0.5987914222E+02
  1     37    0.13179E+00   -0.2800942404E+03   -0.1127897758E+03    0.3019508520E+03
  1     38    0.13535E+00   -0.1895006023E+02   -0.4200035966E+03    0.4204308813E+03
  1     39    0.13891E+00    0.1689404338E+03   -0.2441916209E+03    0.2969350399E+03
  1     40    0.14247E+00   -0.3756123616E+02    0.1939475629E+03    0.1975512683E+03
  1     41    0.14603E+00    0.4932093252E+02    0.1588806296E+03    0.1663598775E+03
  1     42    0.14960E+00    0.5133330484E+02    0.1026866580E+03    0.1148026913E+03
  1     43    0.15316E+00   -0.2820514405E+02    0.2398382845E+02    0.3702369751E+02
  1     44    0.15672E+00   -0.1173567382E+03    0.1555528951E+03    0.1948571455E+03
  1     45    0.16028E+00    0.1050312833E+02   -0.5287026550E+02    0.5390343847E+02
  1     46    0.16384E+00    0.8255059369E+01   -0.8720281293E+02    0.8759267429E+02
  1     47    0.16741E+00   -0.2733420941E+03   -0.8908608750E+02    0.2874930110E+03
  1     48    0.17097E+00    0.1187889419E+03    0.1712980437E+02    0.1200176775E+03
  1     49    0.17453E+00    0.2841644924E+03   -0.8257345548E+02    0.2959186278E+03
  1     50    0.17809E+00   -0.2081807403E+03    0.3272074080E+02    0.2107364883E+03
  1     51    0.18165E+00    0.3909002976E+02    0.1923540521E+03    0.1962857911E+03
  1     52    0.18522E+00   -0.1392548505E+03    0.1326031634E+03    0.1922901775E+03
  1     53    0.18878E+00   -0.8757111758E+02   -0.4293511166E+02    0.9753012072E+02
  1     54    0.19234E+00   -0.4474902128E+02   -0.1530222390E+03    0.1594311154E+03
  1     55    0.19590E+00    0.1274010523E+03    0.1616586326E+03    0.2058264842E+03
  1     56    0.19946E+00   -0.1332315019E+03   -0.1936549371E+03    0.2350592857E+03
  1     57    0.20302E+00   -0.6337401116E+02    0.1802771654E+03    0.1910919194E+03
  1     58    0.20659E+00    0.6812561085E+02    0.1272757306E+03    0.1443613884E+03
  1     59    0.21015E+00   -0.2200050286E+02    0.1498092813E+03    0.1514161249E+03
  1     60    0.21371E+00   -0.1975446959E+03   -0.3849135389E+03    0.4326457434E+03
  1     61    0.21727E+00   -0.7165943434E+02    0.2719188173E+03    0.2812026276E+03
  1     62    0.22083E+00    0.1478115971E+03   -0.1841377161E+03    0.2361248965E+03
  1     63    0.22440E+00    0.6998214760E+02   -0.4385140206E+02    0.8258599425E+02
  1     64    0.22796E+00   -0.7404601845E+02   -0.2091505829E+02    0.7694317716E+02
  1     65    0.23152E+00    0.3978180595E+02    0.3113094639E+03    0.3138410018E+03
  1     66    0.23508E+00    0.5794900222E+02    0.8837120607E+02    0.1056766621E+03
  1     67    0.23864E+00   -0.2394449922E+03   -0.1387298507E+03    0.2767306918E+03
  1     68    0.24220E+00    0.1804080418E+02   -0.4353394798E+02    0.4712404103E+02
  1     69    0.24577E+00    0.1899251004E+03   -0.6983602921E+02    0.2023576407E+03
  1     70    0.24933E+00   -0.2670339622E+01   -0.2999501695E+02    0.3011364733E+02
  1     71    0.25289E+00    0.3543033950E+02    0.1117198454E+03    0.1172033823E+03
  1     72    0.25645E+00   -0.2729855374E+03   -0.2841760481E+03    0.3940521919E+03
  1     73    0.26001E+00    0.8277247979E+02   -0.1117333161E+03    0.1390525704E+03
  1     74    0.26358E+00    0.1588833518E+03   -0.6891836426E+02    0.1731867790E+03
  1     75    0.26714E+00    0.2322885315E+03   -0.1215961435E+03    0.2621899769E+03
  1     76    0.27070E+00    0.7156864667E+01   -0.7851948603E+02    0.7884497701E+02
  1     77    0.27426E+00   -0.2779247781E+03   -0.1552306816E+03    0.3183374731E+03
  1     78    0.27782E+00   -0.2313176576E+02   -0.3221190084E+03    0.3229485008E+03
  1     79    0.28138E+00    0.3379019226E+03   -0.2842832072E+02    0.3390956778E+03
  1     80    0.28495E+00   -0.6336419600E+02   -0.1091503333E+03    0.1262094156E+03
  1     81    0.28851E+00   -0.2481955018E+02    0.3750926378E+02    0.4497727138E+02
  1     82    0.29207E+00    0.1781943640E+03    0.3150865681E+03    0.3619844979E+03
  1     83    0.29563E+00   -0.4776985006E+03    0.1663110797E+03    0.5058213447E+03
  1     84    0.29919E+00    0.8046068380E+02    0.2167815083E+02    0.8332984976E+02
  1     85    0.30276E+00    0.2454697488E+03    0.8824145729E+02    0.2608485238E+03
  1     86    0.30632E+00    0.3003576882E+02   -0.6790465111E+01    0.3079379523E+02
  1     87    0.30988E+00    0.1238858279E+03   -0.2466890020E+03    0.2760492022E+03
  1     88    0.31344E+00   -0.3762618157E+02    0.2901992740E+03    0.2926283448E+03
  1     89    0.31700E+00    0.1442209644E+03    0.1247335142E+03    0.1906780956E+03
  1     90    0.32056E+00    0.2844379366E+03   -0.2182778602E+03    0.3585389295E+03
  1     91    0.32413E+00   -0.3573563396E+03   -0.3616921607E+02    0.3591820786E+03
  1     92    0.32769E+00   -0.1318383245E+03   -0.3865778711E+02    0.1373891128E+03
  1     93    0.33125E+00   -0.1976738870E+03   -0.2763877007E+03    0.3398015990E+03
