% run    par  time              vx                  vy
  1      1    0.35618E-02    0.1193750397E+04    0.3505226278E+03
  1      2    0.35618E-02    0.1061183106E+04    0.8152934901E+03
  1      3    0.35618E-02    0.5492027342E+03    0.1835111035E+04
  1      4    0.35618E-02    0.8834030280E+03   -0.1970767686E+03
  1      5    0.35618E-02    0.3811848467E+04   -0.8409737834E+03
  1      6    0.35618E-02   -0.1510449988E+04    0.2766104242E+03
  1      7    0.35618E-02    0.3106943896E+03    0.1406481365E+04
  1      8    0.35618E-02   -0.2415675060E+04   -0.2258453902E+04
  1      9    0.35618E-02   -0.4430555292E+03   -0.1949786575E+04
  1     10    0.35618E-02   -0.1612821982E+04    0.2775519769E+02
  1     11    0.35618E-02   -0.1722946077E+04    0.4943879293E+03
  1     12    0.35618E-02   -0.2225909403E+03    0.1820140473E+03
  1     13    0.35618E-02    0.2833309763E+04    0.8901610636E+03
  1     14    0.35618E-02   -0.1560075571E+04    0.1211660458E+03
  1     15    0.35618E-02    0.1421127722E+04    0.1924296982E+04
  1     16    0.35618E-02   -0.1703159335E+04   -0.2240919437E+03
  1     17    0.35618E-02   -0.1323867508E+03   -0.3680334520E+04
  1     18    0.35618E-02   -0.9525191148E+03   -0.7026733930E+03
  1     19    0.35618E-02    0.1063393663E+04   -0.2247363136E+04
  1     20    0.35618E-02    0.9106326424E+03   -0.5238682402E+04
  1     21    0.35618E-02   -0.2773813744E+04   -0.1341092353E+04
  1     22    0.35618E-02   -0.3518337303E+03    0.3447930483E+04
  1     23    0.35618E-02   -0.1839661827E+04    0.5882489738E+02
  1     24    0.35618E-02   -0.3862492139E+04    0.5577479934E+02
  1     25    0.35618E-02   -0.2736137015E+04   -0.2208030409E+04
  1     26    0.35618E-02    0.7282190881E+03   -0.3774588287E+02
  1     27    0.35618E-02    0.2285219039E+04    0.2515307314E+04
  1     28    0.35618E-02   -0.2187749463E+04    0.2528000623E+04
  1     29    0.35618E-02    0.1507597713E+04    0.6635384918E+03
  1     30    0.35618E-02   -0.2915530093E+01    0.5001383356E+03
  1     31    0.35618E-02    0.3486373630E+03   -0.1956922123E+03
  1     32    0.35618E-02   -0.4636225352E+03   -0.4036991783E+04
  1     33    0.35618E-02   -0.2629787060E+04   -0.3596513873E+04
  1     34    0.35618E-02   -0.2430069965E+04   -0.1709048587E+04
  1     35    0.35618E-02    0.3180153338E+03    0.1397509081E+04
  1     36    0.35618E-02    0.3713243728E+03   -0.9661814053E+03
  1     37    0.35618E-02    0.4171382496E+04   -0.4695362217E+04
  1     38    0.35618E-02   -0.1275503809E+04    0.1978028905E+04
  1     39    0.35618E-02    0.1224550504E+04    0.9478552338E+03
  1     40    0.35618E-02    0.2006615231E+04    0.6015914284E+03
  1     41    0.35618E-02   -0.4077400536E+03   -0.3594459610E+04
  1     42    0.35618E-02   -0.1086448889E+04   -0.1027217800E+04
  1     43    0.35618E-02   -0.2303791803E+04    0.1187638192E+04
  1     44    0.35618E-02   -0.2433936185E+03   -0.2565704749E+04
  1     45    0.35618E-02   -0.2076831396E+03    0.4325618143E+01
  1     46    0.35618E-02   -0.7352104167E+03   -0.8355325306E+03
  1     47    0.35618E-02   -0.2328690796E+04   -0.9649985514E+03
  1     48    0.35618E-02    0.2089571558E+04   -0.5434421740E+04
  1     49    0.35618E-02    0.2558165658E+04   -0.4161663681E+04
  1     50    0.35618E-02    0.4561175512E+04   -0.1450979869E+04
  1     51    0.35618E-02   -0.1049876510E+04   -0.1070803983E+04
  1     52    0.35618E-02   -0.6265122982E+03    0.2524868598E+03
  1     53    0.35618E-02   -0.2627648045E+04   -0.3026160201E+04
  1     54    0.35618E-02    0.1625407820E+04   -0.1272649918E+04
  1     55    0.35618E-02   -0.2783799381E+03    0.1789952273E+04
  1     56    0.35618E-02    0.1582313259E+04    0.9627312728E+03
  1     57    0.35618E-02   -0.4921051732E+04    0.5391647130E+04
  1     58    0.35618E-02    0.4728640018E+03   -0.2604420106E+04
  1     59    0.35618E-02   -0.3160040169E+04   -0.5549038194E+03
  1     60    0.35618E-02   -0.4137710546E+04   -0.1383028122E+04
  1     61    0.35618E-02   -0.3902619763E+04   -0.6418242027E+03
  1     62    0.35618E-02   -0.5649034800E+04    0.6745982523E+03
  1     63    0.35618E-02    0.4587906274E+03    0.3397083289E+04
  1     64    0.35618E-02   -0.3083435901E+04   -0.5187835486E+03
  1     65    0.35618E-02   -0.8707038148E+03    0.3638629112E+04
  1     66    0.35618E-02    0.2660379129E+04    0.5079424526E+04
  1     67    0.35618E-02    0.1713445595E+04   -0.1986512256E+04
  1     68    0.35618E-02   -0.1311210981E+04   -0.4096859634E+03
  1     69    0.35618E-02   -0.4244410290E+02    0.2405359545E+04
  1     70    0.35618E-02    0.3738002829E+03   -0.1373594002E+04
  1     71    0.35618E-02    0.1602732608E+04   -0.7464637429E+03
  1     72    0.35618E-02    0.1873765169E+04    0.3867246651E+02
  1     73    0.35618E-02    0.2215851432E+04    0.1467005958E+04
  1     74    0.35618E-02    0.2504983553E+04    0.1286613873E+04
  1     75    0.35618E-02    0.1285932070E+04   -0.1266252804E+04
  1     76    0.35618E-02   -0.2280911962E+04    0.9147693430E+03
  1     77    0.35618E-02   -0.1580644801E+04    0.7025252354E+03
  1     78    0.35618E-02    0.2062002803E+04   -0.1111691819E+04
  1     79    0.35618E-02   -0.6497138815E+03    0.1789132104E+04
  1     80    0.35618E-02    0.1763502979E+04    0.8360488632E+03
  1     81    0.35618E-02    0.5433460400E+04    0.4728790071E+03
  1     82    0.35618E-02   -0.2457658096E+03   -0.2076026283E+04
  1     83    0.35618E-02   -0.3099335539E+04    0.2864800847E+04
  1     84    0.35618E-02   -0.3749708624E+03   -0.2907115491E+04
  1     85    0.35618E-02    0.7975062060E+03   -0.5742013816E+03
  1     86    0.35618E-02   -0.8777320941E+03   -0.2829349177E+04
  1     87    0.35618E-02    0.5735352603E+04   -0.5482276384E+03
  1     88    0.35618E-02    0.7549947301E+02   -0.1428658648E+03
  1     89    0.35618E-02   -0.4174922278E+03   -0.2391680533E+04
  1     90    0.35618E-02    0.2636880115E+04    0.3418053544E+04
  1     91    0.35618E-02   -0.3457392049E+04    0.4155540832E+04
  1     92    0.35618E-02   -0.1544324470E+04    0.5447146023E+03
  1     93    0.35618E-02   -0.6635189701E+03   -0.7681863393E+03
  1     94    0.35618E-02   -0.4249239540E+04    0.2757098762E+04
