% run    par  time               x                   y
  1      1    0.35618E-02   -0.1043943138E+02   -0.5812649477E+01
  1      2    0.35618E-02    0.8032793828E-01   -0.4109118828E+01
  1      3    0.35618E-02   -0.1165586773E+02    0.1619905288E+01
  1      4    0.35618E-02    0.6510864811E+01    0.1357780775E+02
  1      5    0.35618E-02   -0.2157187871E+01    0.8431509810E+01
  1      6    0.35618E-02    0.1083366358E+02    0.8342642256E+00
  1      7    0.35618E-02    0.4265494661E+01    0.2337369562E+01
  1      8    0.35618E-02   -0.8005194378E+01    0.9804846839E+01
  1      9    0.35618E-02   -0.7990534091E+01   -0.7683852026E+01
  1     10    0.35618E-02    0.5524893393E+01    0.3839412970E+01
  1     11    0.35618E-02   -0.4091998532E+01    0.5596757165E+01
  1     12    0.35618E-02   -0.5594192651E+01    0.1058573049E+02
  1     13    0.35618E-02    0.8511477874E+01    0.1913301969E+01
  1     14    0.35618E-02   -0.9601136230E+01    0.2992660351E+01
  1     15    0.35618E-02    0.8536752946E-01    0.1434107840E+01
  1     16    0.35618E-02    0.9035980461E+01    0.1180019791E+02
  1     17    0.35618E-02    0.6389846511E+01    0.1041284095E+02
  1     18    0.35618E-02   -0.9170600340E+01    0.8732024574E+00
  1     19    0.35618E-02    0.4979910774E+01    0.2543254105E+01
  1     20    0.35618E-02   -0.2507178394E+01   -0.1206911466E+02
  1     21    0.35618E-02   -0.6444715767E+01   -0.1087324783E+02
  1     22    0.35618E-02    0.9373399624E+01    0.8774751096E+01
  1     23    0.35618E-02   -0.8210909409E+01   -0.8100616480E+01
  1     24    0.35618E-02   -0.4414275559E+01    0.1278251739E+02
  1     25    0.35618E-02    0.7244760834E+01   -0.2937533218E+01
  1     26    0.35618E-02    0.1487646998E+02   -0.1352661047E+01
  1     27    0.35618E-02   -0.6686443379E+01    0.7739351355E+01
  1     28    0.35618E-02    0.1046994387E+02   -0.3792021679E+01
  1     29    0.35618E-02    0.1670307854E+01    0.1473144940E+02
  1     30    0.35618E-02    0.7442788923E+01    0.7215636554E+01
  1     31    0.35618E-02    0.1193150043E+02    0.4549577996E+01
  1     32    0.35618E-02    0.7873310409E+01   -0.9841607574E+01
  1     33    0.35618E-02    0.3928369550E+00    0.1262870803E+02
  1     34    0.35618E-02   -0.1511397788E+01   -0.8747070352E+01
  1     35    0.35618E-02    0.6989558807E+01   -0.9657447751E+01
  1     36    0.35618E-02   -0.3107689777E+01    0.2072332960E-01
  1     37    0.35618E-02   -0.2216568319E+00    0.1080459268E+02
  1     38    0.35618E-02   -0.1218399471E+01    0.7483929390E+01
  1     39    0.35618E-02   -0.4745976347E+01   -0.8957819208E+01
  1     40    0.35618E-02    0.1194850784E+02   -0.9027001912E+01
  1     41    0.35618E-02    0.2251696657E+01    0.7408390401E+01
  1     42    0.35618E-02   -0.2223999405E+01   -0.9559331703E+01
  1     43    0.35618E-02   -0.4885409584E+01   -0.2832315331E+01
  1     44    0.35618E-02   -0.1993998612E+01   -0.7128384552E+01
  1     45    0.35618E-02   -0.5069679882E+01    0.1069369490E+01
  1     46    0.35618E-02    0.4068319955E+01    0.5333364075E+01
  1     47    0.35618E-02   -0.3647810061E+01    0.1233414162E+02
  1     48    0.35618E-02    0.6991797536E+01    0.2332079088E+01
  1     49    0.35618E-02    0.8916996573E+01    0.3863599747E+01
  1     50    0.35618E-02    0.6286646452E+01    0.1240391370E+02
  1     51    0.35618E-02    0.4951428122E+01   -0.1354335113E+01
  1     52    0.35618E-02    0.3894957360E+01    0.8793183484E+00
  1     53    0.35618E-02    0.7822491276E+01   -0.5424714367E+01
  1     54    0.35618E-02    0.9432222482E+01   -0.8918867262E+01
  1     55    0.35618E-02    0.1158660401E+02   -0.6195799912E+01
  1     56    0.35618E-02   -0.4587241098E+01   -0.1370008283E+02
  1     57    0.35618E-02   -0.8812039349E+01    0.4908316665E+01
  1     58    0.35618E-02   -0.1184736395E+02    0.2904182782E+00
  1     59    0.35618E-02    0.2410108662E+01   -0.7099242992E+01
  1     60    0.35618E-02    0.7803598549E+01    0.3819385512E+01
  1     61    0.35618E-02   -0.5743374766E+01    0.5040504179E+01
  1     62    0.35618E-02   -0.8133808634E+01    0.2491186111E+01
  1     63    0.35618E-02   -0.3827008586E+01    0.3185392554E+01
  1     64    0.35618E-02    0.1217063602E+02    0.9164894754E+01
  1     65    0.35618E-02    0.1365097027E+02   -0.5350415472E+01
  1     66    0.35618E-02    0.3434729594E+01   -0.8544170426E+01
  1     67    0.35618E-02    0.5688279064E+01    0.9808761238E+01
  1     68    0.35618E-02    0.1012181033E+02   -0.4606508924E+01
  1     69    0.35618E-02    0.2816718349E+01    0.1061666385E+02
  1     70    0.35618E-02   -0.1400225845E+02   -0.2188354776E+01
  1     71    0.35618E-02    0.6364668436E+01   -0.2557467711E+01
  1     72    0.35618E-02   -0.9104601050E+01    0.1114595164E+02
  1     73    0.35618E-02   -0.4332583876E+01    0.8157478324E+01
  1     74    0.35618E-02   -0.3890361537E+01    0.1752123113E+01
  1     75    0.35618E-02   -0.6185673147E+01   -0.8661412522E+01
  1     76    0.35618E-02   -0.3595033087E+01    0.7983862389E+01
  1     77    0.35618E-02   -0.2270375443E+01    0.3296591636E+01
  1     78    0.35618E-02   -0.4061612171E+01   -0.1527773016E+01
  1     79    0.35618E-02   -0.7883598024E+01   -0.1109034173E+02
  1     80    0.35618E-02   -0.7146320694E-01   -0.5595689776E+01
  1     81    0.35618E-02    0.5192481869E+00    0.3888667537E+01
  1     82    0.35618E-02   -0.5027933032E+01    0.7476862729E+01
  1     83    0.35618E-02   -0.4100562771E+01    0.8690329866E+01
  1     84    0.35618E-02   -0.1772930522E+01    0.5486660092E+01
  1     85    0.35618E-02   -0.4690726503E+01   -0.7760688692E+01
  1     86    0.35618E-02   -0.2658903203E+01   -0.5955415985E+01
  1     87    0.35618E-02    0.1491383589E+02    0.3465401725E+01
  1     88    0.35618E-02   -0.1036918109E+02   -0.1393023932E+01
  1     89    0.35618E-02    0.3659527083E+01   -0.1099270561E+02
  1     90    0.35618E-02   -0.7803141772E+01    0.8301643767E+01
  1     91    0.35618E-02    0.1404798173E+02   -0.5835079618E+01
