% itn    run  time           mean square displacement
  1      1    0.35618E-02    0.87022E-01
  1      2    0.71237E-02    0.21213E+00
  1      3    0.10685E-01    0.33742E+00
  1      4    0.14247E-01    0.45688E+00
  1      5    0.17809E-01    0.63062E+00
  1      6    0.21371E-01    0.77368E+00
  1      7    0.24933E-01    0.89818E+00
  1      8    0.28495E-01    0.10271E+01
  1      9    0.32056E-01    0.11832E+01
  1     10    0.35618E-01    0.13217E+01
  1     11    0.39180E-01    0.14888E+01
  1     12    0.42742E-01    0.16156E+01
  1     13    0.46304E-01    0.16913E+01
  1     14    0.49866E-01    0.18197E+01
  1     15    0.53427E-01    0.19703E+01
  1     16    0.56989E-01    0.21225E+01
  1     17    0.60551E-01    0.23105E+01
  1     18    0.64113E-01    0.24155E+01
  1     19    0.67675E-01    0.25172E+01
  1     20    0.71237E-01    0.25635E+01
  1     21    0.74798E-01    0.26805E+01
  1     22    0.78360E-01    0.28444E+01
  1     23    0.81922E-01    0.30358E+01
  1     24    0.85484E-01    0.31826E+01
  1     25    0.89046E-01    0.33442E+01
  1     26    0.92608E-01    0.34393E+01
  1     27    0.96169E-01    0.35830E+01
  1     28    0.99731E-01    0.37108E+01
  1     29    0.10329E+00    0.38142E+01
  1     30    0.10685E+00    0.40419E+01
  1     31    0.11042E+00    0.41585E+01
  1     32    0.11398E+00    0.42787E+01
  1     33    0.11754E+00    0.44754E+01
  1     34    0.12110E+00    0.45940E+01
  1     35    0.12466E+00    0.46863E+01
  1     36    0.12823E+00    0.46751E+01
  1     37    0.13179E+00    0.47368E+01
  1     38    0.13535E+00    0.47687E+01
  1     39    0.13891E+00    0.48843E+01
  1     40    0.14247E+00    0.49241E+01
  1     41    0.14603E+00    0.49881E+01
  1     42    0.14960E+00    0.51857E+01
  1     43    0.15316E+00    0.53396E+01
  1     44    0.15672E+00    0.54878E+01
  1     45    0.16028E+00    0.56795E+01
  1     46    0.16384E+00    0.58988E+01
  1     47    0.16741E+00    0.60286E+01
  1     48    0.17097E+00    0.61557E+01
  1     49    0.17453E+00    0.63623E+01
  1     50    0.17809E+00    0.66485E+01
  1     51    0.18165E+00    0.68023E+01
  1     52    0.18522E+00    0.68247E+01
  1     53    0.18878E+00    0.68603E+01
  1     54    0.19234E+00    0.69834E+01
  1     55    0.19590E+00    0.70295E+01
  1     56    0.19946E+00    0.71015E+01
  1     57    0.20302E+00    0.70996E+01
  1     58    0.20659E+00    0.72255E+01
  1     59    0.21015E+00    0.74362E+01
  1     60    0.21371E+00    0.76298E+01
  1     61    0.21727E+00    0.77808E+01
  1     62    0.22083E+00    0.78002E+01
  1     63    0.22440E+00    0.77875E+01
  1     64    0.22796E+00    0.79046E+01
  1     65    0.23152E+00    0.80106E+01
  1     66    0.23508E+00    0.81566E+01
  1     67    0.23864E+00    0.82891E+01
  1     68    0.24220E+00    0.83876E+01
  1     69    0.24577E+00    0.84650E+01
  1     70    0.24933E+00    0.85522E+01
  1     71    0.25289E+00    0.87886E+01
  1     72    0.25645E+00    0.89139E+01
  1     73    0.26001E+00    0.89505E+01
  1     74    0.26358E+00    0.89781E+01
  1     75    0.26714E+00    0.89515E+01
  1     76    0.27070E+00    0.90766E+01
  1     77    0.27426E+00    0.93187E+01
  1     78    0.27782E+00    0.94578E+01
  1     79    0.28138E+00    0.96283E+01
  1     80    0.28495E+00    0.96358E+01
  1     81    0.28851E+00    0.97101E+01
  1     82    0.29207E+00    0.97703E+01
  1     83    0.29563E+00    0.10050E+02
  1     84    0.29919E+00    0.10182E+02
  1     85    0.30276E+00    0.10258E+02
  1     86    0.30632E+00    0.10421E+02
  1     87    0.30988E+00    0.10468E+02
  1     88    0.31344E+00    0.10529E+02
  1     89    0.31700E+00    0.10611E+02
  1     90    0.32056E+00    0.10700E+02
  1     91    0.32413E+00    0.10606E+02
  1     92    0.32769E+00    0.10642E+02
  1     93    0.33125E+00    0.10740E+02
  1     94    0.33481E+00    0.10828E+02
  1     95    0.33837E+00    0.11215E+02
  1     96    0.34194E+00    0.11279E+02
