% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.1407694994E+03    0.1491801558E+02    0.1415577591E+03
  1      2    0.71237E-02   -0.5420440139E+02    0.1389236838E+03    0.1491237977E+03
  1      3    0.10685E-01    0.1164229408E+03    0.1566509596E+03    0.1951763928E+03
  1      4    0.14247E-01    0.3421063193E+02    0.3210020298E+02    0.4691258220E+02
  1      5    0.17809E-01    0.3054140689E+02    0.1015089116E+03    0.1060039465E+03
  1      6    0.21371E-01   -0.2712897107E+01   -0.3783547134E+02    0.3793260738E+02
  1      7    0.24933E-01    0.1179613908E+03    0.7638081094E+02    0.1405308436E+03
  1      8    0.28495E-01   -0.9301385029E+02    0.2624896933E+02    0.9664670059E+02
  1      9    0.32056E-01    0.1786743582E+02   -0.3680978693E+02    0.4091705851E+02
  1     10    0.35618E-01   -0.6158930696E+02   -0.4701765168E+02    0.7748485208E+02
  1     11    0.39180E-01    0.1331287449E+03    0.1211541832E+03    0.1800044411E+03
  1     12    0.42742E-01   -0.5560249529E+02    0.1308209163E+00    0.5560264918E+02
  1     13    0.46304E-01    0.1745545065E+02   -0.7725238613E+02    0.7919989849E+02
  1     14    0.49866E-01    0.4216238369E+02    0.3598620687E+02    0.5543170287E+02
  1     15    0.53427E-01    0.3159682355E+01    0.7276446250E+02    0.7283303231E+02
  1     16    0.56989E-01   -0.1795388068E+02    0.3254280383E+02    0.3716686579E+02
  1     17    0.60551E-01   -0.5377636998E+02   -0.5452300875E+02    0.7658104499E+02
  1     18    0.64113E-01   -0.9834141704E+02    0.1183403988E+02    0.9905088998E+02
  1     19    0.67675E-01    0.3785474434E+02    0.8999793254E+02    0.9763508350E+02
  1     20    0.71237E-01    0.5045669038E+01   -0.3295272851E+02    0.3333678287E+02
  1     21    0.74798E-01    0.5904627385E+02   -0.1513217376E+01    0.5906566078E+02
  1     22    0.78360E-01   -0.7516619164E+02   -0.6444198884E+02    0.9900871825E+02
  1     23    0.81922E-01   -0.9769857572E+02   -0.1528964203E+03    0.1814451075E+03
  1     24    0.85484E-01   -0.5093435029E+02    0.1939985987E+02    0.5450378521E+02
  1     25    0.89046E-01   -0.2722459318E+02    0.5421684278E+02    0.6066831557E+02
  1     26    0.92608E-01   -0.1851028819E+01    0.5214421351E+02    0.5217705731E+02
  1     27    0.96169E-01    0.9159003908E+02    0.4313743084E+02    0.1012401758E+03
  1     28    0.99731E-01    0.5973155994E+02    0.4747129106E+02    0.7629798639E+02
  1     29    0.10329E+00   -0.4320687822E+02    0.8336307117E+01    0.4400373100E+02
  1     30    0.10685E+00    0.2591632168E+02    0.3130738099E+02    0.4064243883E+02
  1     31    0.11042E+00    0.6000039273E+02    0.9426681775E+01    0.6073639319E+02
  1     32    0.11398E+00    0.1122151767E+03   -0.7768293237E+02    0.1364803424E+03
  1     33    0.11754E+00    0.2197591507E+02    0.9117331722E+02    0.9378440498E+02
  1     34    0.12110E+00   -0.9218377997E+02   -0.1518004827E+01    0.9219627774E+02
  1     35    0.12466E+00    0.7727385163E+02    0.3798815027E+02    0.8610660664E+02
  1     36    0.12823E+00   -0.3514945652E+02    0.5254622443E+02    0.6321858900E+02
  1     37    0.13179E+00   -0.1927672324E+02    0.3986340511E+02    0.4427960169E+02
  1     38    0.13535E+00   -0.4393654709E+02   -0.5593158888E+02    0.7112498017E+02
  1     39    0.13891E+00   -0.2721105030E+02   -0.3978148580E+02    0.4819759196E+02
  1     40    0.14247E+00    0.6222202301E+02    0.1035051585E+01    0.6223063136E+02
  1     41    0.14603E+00    0.3412516544E+02   -0.1512160583E+02    0.3732545886E+02
  1     42    0.14960E+00    0.7317881194E+02    0.9139450948E+02    0.1170815736E+03
  1     43    0.15316E+00    0.5046668519E+02    0.1070652982E+01    0.5047804089E+02
  1     44    0.15672E+00   -0.1310264443E+02   -0.5737416779E+02    0.5885129073E+02
  1     45    0.16028E+00    0.6408628897E+02   -0.3122357634E+02    0.7128789627E+02
  1     46    0.16384E+00    0.4215968038E+00   -0.6840135954E+02    0.6840265880E+02
  1     47    0.16741E+00    0.1098966278E+02   -0.1085364975E+03    0.1090914478E+03
