% itn    run  time               r                   g
  1      1    0.35618E-02    0.7071067812E-01    0.0000000000E+00
  1      1    0.35618E-02    0.1414213562E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2121320344E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2828427125E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3535533906E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4242640687E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4949747468E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5656854249E+00    0.0000000000E+00
  1      1    0.35618E-02    0.6363961031E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7071067812E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7778174593E+00    0.4736754259E-01
  1      1    0.35618E-02    0.8485281374E+00    0.2450755464E+00
  1      1    0.35618E-02    0.9192388155E+00    0.3846244458E+00
  1      1    0.35618E-02    0.9899494937E+00    0.5526213302E+00
  1      1    0.35618E-02    0.1060660172E+01    0.5145095143E+00
  1      1    0.35618E-02    0.1131370850E+01    0.7914963568E+00
  1      1    0.35618E-02    0.1202081528E+01    0.1075099679E+01
  1      1    0.35618E-02    0.1272792206E+01    0.8052482240E+00
  1      1    0.35618E-02    0.1343502884E+01    0.1021602675E+01
  1      1    0.35618E-02    0.1414213562E+01    0.9777146611E+00
  1      1    0.35618E-02    0.1484924240E+01    0.8653241316E+00
  1      1    0.35618E-02    0.1555634919E+01    0.6785675868E+00
  1      1    0.35618E-02    0.1626345597E+01    0.5526213302E+00
  1      1    0.35618E-02    0.1697056275E+01    0.4162296827E+00
  1      1    0.35618E-02    0.1767766953E+01    0.2706716719E+00
  1      1    0.35618E-02    0.1838477631E+01    0.2210485321E+00
  1      1    0.35618E-02    0.1909188309E+01    0.2564997117E+00
  1      1    0.35618E-02    0.1979898987E+01    0.3617157798E+00
  1      1    0.35618E-02    0.2050609665E+01    0.4537311974E+00
  1      1    0.35618E-02    0.2121320344E+01    0.3709119436E+00
  1      1    0.35618E-02    0.2192031022E+01    0.6305318784E+00
  1      1    0.35618E-02    0.2262741700E+01    0.6263041742E+00
  1      1    0.35618E-02    0.2333452378E+01    0.5917299166E+00
  1      1    0.35618E-02    0.2404163056E+01    0.5839640325E+00
  1      1    0.35618E-02    0.2474873734E+01    0.6679509991E+00
  1      1    0.35618E-02    0.2545584412E+01    0.4576638622E+00
  1      1    0.35618E-02    0.2616295090E+01    0.4587514056E+00
  1      1    0.35618E-02    0.2687005769E+01    0.3757825045E+00
  1      1    0.35618E-02    0.2757716447E+01    0.2540622739E+00
  1      1    0.35618E-02    0.2828427125E+01    0.1636878370E+00
  1      1    0.35618E-02    0.2899137803E+01    0.1514591794E+00
  1      1    0.35618E-02    0.2969848481E+01    0.1917529435E+00
  1      1    0.35618E-02    0.3040559159E+01    0.2379522433E+00
  1      1    0.35618E-02    0.3111269837E+01    0.2744050743E+00
  1      1    0.35618E-02    0.3181980515E+01    0.3986324651E+00
  1      1    0.35618E-02    0.3252691193E+01    0.4663881116E+00
  1      1    0.35618E-02    0.3323401872E+01    0.6239273083E+00
  1      1    0.35618E-02    0.3394112550E+01    0.6596553562E+00
  1      1    0.35618E-02    0.3464823228E+01    0.9160980401E+00
  1      1    0.35618E-02    0.3535533906E+01    0.8841941283E+00
  1      1    0.35618E-02    0.3606244584E+01    0.8174418488E+00
  1      1    0.35618E-02    0.3676955262E+01    0.7822542713E+00
  1      1    0.35618E-02    0.3747665940E+01    0.7484071729E+00
  1      1    0.35618E-02    0.3818376618E+01    0.5794776939E+00
  1      1    0.35618E-02    0.3889087297E+01    0.5962226461E+00
  1      1    0.35618E-02    0.3959797975E+01    0.5048270530E+00
  1      1    0.35618E-02    0.4030508653E+01    0.4342723373E+00
  1      1    0.35618E-02    0.4101219331E+01    0.4180700498E+00
  1      1    0.35618E-02    0.4171930009E+01    0.3202369760E+00
  1      1    0.35618E-02    0.4242640687E+01    0.3176411679E+00
  1      1    0.35618E-02    0.4313351365E+01    0.3808976772E+00
  1      1    0.35618E-02    0.4384062043E+01    0.4016613571E+00
  1      1    0.35618E-02    0.4454772721E+01    0.4615493350E+00
  1      1    0.35618E-02    0.4525483400E+01    0.6239834547E+00
  1      1    0.35618E-02    0.4596194078E+01    0.5988873020E+00
