% itn    run  time           vxave               vyave               vaverun
  1      1    0.35618E-02    0.1206316282E+03    0.1449569329E+02    0.1214994438E+03
  1      2    0.71237E-02    0.6057825148E+02    0.1500761492E+02    0.6240955902E+02
  1      3    0.10685E-01   -0.2218960504E+02   -0.2180790294E+02    0.3111210701E+02
  1      4    0.14247E-01   -0.6682340986E+02   -0.2620435403E+02    0.7177768647E+02
  1      5    0.17809E-01    0.3129628735E+02   -0.5221886655E+02    0.6087912307E+02
  1      6    0.21371E-01   -0.6718617021E+02   -0.2839988870E+02    0.7294199850E+02
  1      7    0.24933E-01   -0.6504500594E+02   -0.3690216055E+02    0.7478383682E+02
  1      8    0.28495E-01    0.8579984476E+02    0.8424757771E+02    0.1202466952E+03
  1      9    0.32056E-01   -0.4150689250E+01    0.3704938360E+02    0.3728116208E+02
  1     10    0.35618E-01    0.5916532188E+02    0.5249124134E+02    0.7909403094E+02
  1     11    0.39180E-01    0.1381195181E+03   -0.2155395206E+02    0.1397911804E+03
  1     12    0.42742E-01    0.1001927512E+03   -0.6757887527E+01    0.1004203985E+03
  1     13    0.46304E-01   -0.1115358069E+03   -0.9512233397E+02    0.1465895448E+03
  1     14    0.49866E-01    0.1494154012E+02   -0.9186114201E+02    0.9306835678E+02
  1     15    0.53427E-01   -0.3003895356E-01   -0.9453885281E+01    0.9453933004E+01
  1     16    0.56989E-01   -0.1759114839E+03   -0.1144954917E+03    0.2098906091E+03
  1     17    0.60551E-01   -0.7957228456E+02    0.1757673298E+02    0.8149042896E+02
  1     18    0.64113E-01    0.9937931541E+02   -0.1569055351E+03    0.1857298988E+03
  1     19    0.67675E-01   -0.9824951112E+02   -0.1177520237E+02    0.9895262414E+02
  1     20    0.71237E-01   -0.2171800888E+02    0.7122506054E+02    0.7446261585E+02
  1     21    0.74798E-01    0.2680822021E+02   -0.1328866817E+03    0.1355638257E+03
  1     22    0.78360E-01    0.6279326640E+02    0.1088630371E+02    0.6372994519E+02
  1     23    0.81922E-01   -0.2588770968E+02    0.1775546390E+01    0.2594852747E+02
  1     24    0.85484E-01   -0.3066445163E+02    0.1256299297E+03    0.1293181651E+03
  1     25    0.89046E-01   -0.1615386857E+03   -0.4824680759E+02    0.1685897429E+03
  1     26    0.92608E-01   -0.6119090522E+02   -0.2284083509E+02    0.6531485765E+02
  1     27    0.96169E-01    0.6464809709E+02   -0.9251844310E+02    0.1128673503E+03
  1     28    0.99731E-01    0.3691403580E+02   -0.6716783754E+02    0.7664309779E+02
  1     29    0.10329E+00   -0.6357909932E+02    0.5317745304E+02    0.8288632807E+02
  1     30    0.10685E+00   -0.9779679645E+02   -0.1023540434E+03    0.1415646976E+03
  1     31    0.11042E+00   -0.9741070993E+01    0.3080055103E+02    0.3230421657E+02
  1     32    0.11398E+00    0.3008185504E+02   -0.5940008392E+02    0.6658294055E+02
  1     33    0.11754E+00    0.7532755230E+02   -0.6544326882E+02    0.9978507689E+02
  1     34    0.12110E+00   -0.8861851429E+02   -0.4643739553E+02    0.1000483522E+03
  1     35    0.12466E+00   -0.3433082698E+02   -0.4627378249E+02    0.5761830115E+02
  1     36    0.12823E+00   -0.1723038292E+02    0.5494356807E+02    0.5758195697E+02
