% run    par  time               x                   y
  1      1    0.35618E-02    0.1626508915E+01    0.1679583792E+00
  1      2    0.35618E-02    0.9804450703E+00    0.9638998178E+00
  1      3    0.35618E-02   -0.2864146775E+00    0.1242667193E+01
  1      4    0.35618E-02   -0.1166506402E+01    0.5895574110E-01
  1      5    0.35618E-02   -0.7322250564E+00   -0.8901045187E+00
  1      6    0.35618E-02    0.7147050412E+00   -0.8411796253E+00
  1      7    0.35618E-02    0.4053954811E+01    0.2588565248E+00
  1      8    0.35618E-02    0.3543335844E+01    0.9472684058E+00
  1      9    0.35618E-02    0.2748643230E+01    0.1863345823E+01
  1     10    0.35618E-02    0.1628281130E+01    0.2993504422E+01
  1     11    0.35618E-02    0.7003400229E+00    0.3497838658E+01
  1     12    0.35618E-02   -0.4883572324E+00    0.3300248204E+01
  1     13    0.35618E-02   -0.1662271298E+01    0.3365210197E+01
  1     14    0.35618E-02   -0.2113235616E+01    0.2151359989E+01
  1     15    0.35618E-02   -0.3210867992E+01    0.1270732062E+01
  1     16    0.35618E-02   -0.3685070677E+01   -0.1826606437E+00
  1     17    0.35618E-02   -0.2827886078E+01   -0.1018218424E+01
  1     18    0.35618E-02   -0.2294073075E+01   -0.2151939858E+01
  1     19    0.35618E-02   -0.1938593846E+01   -0.3131451112E+01
  1     20    0.35618E-02   -0.2748836249E+00   -0.3548262211E+01
  1     21    0.35618E-02    0.9321825797E+00   -0.3352088478E+01
  1     22    0.35618E-02    0.1833173170E+01   -0.3437113128E+01
  1     23    0.35618E-02    0.2589343445E+01   -0.2484718792E+01
  1     24    0.35618E-02    0.3282720329E+01   -0.1329654820E+01
  1     25    0.35618E-02    0.6256454501E+01    0.7429681040E-01
  1     26    0.35618E-02    0.5893008479E+01    0.8351939421E+00
  1     27    0.35618E-02    0.5305737197E+01    0.2568636182E+01
  1     28    0.35618E-02    0.4524251507E+01    0.3216529933E+01
  1     29    0.35618E-02    0.3920958415E+01    0.4329592019E+01
  1     30    0.35618E-02    0.3369933001E+01    0.5418211075E+01
  1     31    0.35618E-02    0.2039260297E+01    0.5177052264E+01
  1     32    0.35618E-02    0.8362117380E+00    0.5638368599E+01
  1     33    0.35618E-02   -0.3533959121E+00    0.5284197137E+01
  1     34    0.35618E-02   -0.1520850649E+01    0.5646169500E+01
  1     35    0.35618E-02   -0.3161316007E+01    0.5736060448E+01
  1     36    0.35618E-02   -0.3522767625E+01    0.4617559979E+01
  1     37    0.35618E-02   -0.4333212342E+01    0.3378598849E+01
  1     38    0.35618E-02   -0.5133446792E+01    0.2271421687E+01
  1     39    0.35618E-02   -0.5408394636E+01    0.9335801495E+00
  1     40    0.35618E-02   -0.5906778441E+01    0.1276657880E+00
  1     41    0.35618E-02   -0.5555662379E+01   -0.9411285639E+00
  1     42    0.35618E-02   -0.4854726478E+01   -0.1967657215E+01
  1     43    0.35618E-02   -0.4150602795E+01   -0.3269134995E+01
  1     44    0.35618E-02   -0.3743016945E+01   -0.4548463600E+01
  1     45    0.35618E-02   -0.2699818009E+01   -0.5456314797E+01
  1     46    0.35618E-02   -0.1864639751E+01   -0.5195931546E+01
  1     47    0.35618E-02   -0.6848157356E+00   -0.5399366981E+01
  1     48    0.35618E-02    0.8562795528E+00   -0.5609255578E+01
  1     49    0.35618E-02    0.2283938254E+01   -0.5437513907E+01
