% itn    run  time           mean square displacement
  1      1    0.12929E-03    0.81099E-03
  1      2    0.25857E-03    0.27057E-02
  1      3    0.38786E-03    0.48296E-02
  1      4    0.51714E-03    0.34721E-02
  1      5    0.64643E-03    0.28348E-02
  1      6    0.77571E-03    0.48943E-02
  1      7    0.90500E-03    0.65359E-02
  1      8    0.10343E-02    0.51112E-02
  1      9    0.11636E-02    0.12240E-01
  1     10    0.12929E-02    0.15109E-01
  1     11    0.14221E-02    0.14701E-01
  1     12    0.15514E-02    0.10147E-01
  1     13    0.16807E-02    0.10593E-01
  1     14    0.18100E-02    0.48608E-02
  1     15    0.19393E-02    0.41016E-02
  1     16    0.20686E-02    0.67930E-02
  1     17    0.21979E-02    0.45294E-02
  1     18    0.23271E-02    0.83351E-02
  1     19    0.24564E-02    0.11450E-01
  1     20    0.25857E-02    0.15523E-01
  1     21    0.27150E-02    0.17417E-01
  1     22    0.28443E-02    0.12274E-01
  1     23    0.29736E-02    0.18127E-01
  1     24    0.31029E-02    0.14811E-01
  1     25    0.32321E-02    0.13517E-01
  1     26    0.33614E-02    0.13138E-01
  1     27    0.34907E-02    0.23092E-01
  1     28    0.36200E-02    0.29555E-01
  1     29    0.37493E-02    0.34185E-01
  1     30    0.38786E-02    0.27991E-01
  1     31    0.40079E-02    0.34268E-01
  1     32    0.41371E-02    0.31209E-01
  1     33    0.42664E-02    0.21101E-01
  1     34    0.43957E-02    0.22099E-01
  1     35    0.45250E-02    0.26489E-01
  1     36    0.46543E-02    0.22636E-01
  1     37    0.47836E-02    0.15441E-01
  1     38    0.49129E-02    0.22964E-01
  1     39    0.50421E-02    0.26688E-01
  1     40    0.51714E-02    0.19019E-01
  1     41    0.53007E-02    0.25284E-01
  1     42    0.54300E-02    0.26743E-01
  1     43    0.55593E-02    0.28634E-01
  1     44    0.56886E-02    0.28428E-01
  1     45    0.58179E-02    0.37540E-01
  1     46    0.59471E-02    0.34859E-01
  1     47    0.60764E-02    0.48671E-01
  1     48    0.62057E-02    0.40035E-01
  1     49    0.63350E-02    0.46862E-01
  1     50    0.64643E-02    0.44131E-01
  1     51    0.65936E-02    0.43022E-01
  1     52    0.67229E-02    0.53058E-01
  1     53    0.68521E-02    0.56257E-01
  1     54    0.69814E-02    0.66052E-01
  1     55    0.71107E-02    0.61158E-01
  1     56    0.72400E-02    0.63852E-01
  1     57    0.73693E-02    0.63040E-01
  1     58    0.74986E-02    0.56890E-01
