% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-03   -0.2289238639E+03   -0.1099679797E+03    0.2539667144E+03
  1      2    0.25857E-03    0.1349356460E+03    0.4058779421E+03    0.4277201567E+03
  1      3    0.38786E-03    0.2191925611E+02    0.3091757007E+03    0.3099517183E+03
  1      4    0.51714E-03    0.2007205322E+03    0.2183783913E+02    0.2019049857E+03
  1      5    0.64643E-03   -0.1890261091E+03    0.2071718828E+03    0.2804479613E+03
  1      6    0.77571E-03    0.5031146034E+03    0.9792247425E+02    0.5125554752E+03
  1      7    0.90500E-03    0.5832614161E+03    0.8234047189E+02    0.5890448479E+03
  1      8    0.10343E-02   -0.3971407200E+03   -0.2335787403E+03    0.4607382981E+03
  1      9    0.11636E-02    0.9523635728E+02    0.1539836091E+03    0.1810550071E+03
  1     10    0.12929E-02   -0.3759548488E+03   -0.3151086652E+03    0.4905461438E+03
  1     11    0.14221E-02   -0.1480837132E+03   -0.8877996996E+03    0.9000650492E+03
  1     12    0.15514E-02    0.1421402246E+03   -0.2008275833E+03    0.2460397562E+03
  1     13    0.16807E-02   -0.5597178449E+02   -0.9318316241E+02    0.1087011611E+03
  1     14    0.18100E-02    0.4608881283E+03    0.6951712747E+03    0.8340749175E+03
  1     15    0.19393E-02    0.8974239801E+03    0.6578379462E+02    0.8998318219E+03
  1     16    0.20686E-02   -0.2580189294E+03   -0.5511577077E+03    0.6085627220E+03
  1     17    0.21979E-02   -0.1091203845E+03   -0.1789334622E+03    0.2095815884E+03
  1     18    0.23271E-02   -0.2213373080E+03    0.1968025972E+03    0.2961780987E+03
  1     19    0.24564E-02   -0.2579443745E+03    0.2253645022E+03    0.3425265817E+03
  1     20    0.25857E-02    0.3378909552E+03    0.4129817225E+02    0.3404054004E+03
  1     21    0.27150E-02   -0.6702169413E+02    0.2746649835E+03    0.2827238240E+03
  1     22    0.28443E-02   -0.2681247343E+03   -0.7545173023E+03    0.8007416766E+03
  1     23    0.29736E-02   -0.1119139119E+03    0.3363036725E+02    0.1168577138E+03
  1     24    0.31029E-02    0.2830956024E+03   -0.2014114548E+03    0.3474330068E+03
  1     25    0.32321E-02    0.1675831327E+03    0.7042841775E+03    0.7239477253E+03
  1     26    0.33614E-02    0.1427181905E+03    0.2262522934E+03    0.2675043591E+03
  1     27    0.34907E-02   -0.3108906614E+03   -0.3363219435E+03    0.4580015862E+03
  1     28    0.36200E-02    0.1235998898E+03   -0.7656039243E+02    0.1453905996E+03
  1     29    0.37493E-02   -0.1090438394E+03    0.1781865325E+03    0.2089042826E+03
  1     30    0.38786E-02    0.4170778700E+03   -0.4250069625E+01    0.4170995238E+03
  1     31    0.40079E-02   -0.4245113120E+03    0.5389261833E+03    0.6860402940E+03
  1     32    0.41371E-02   -0.7821690596E+01    0.7856016119E+03    0.7856405485E+03
  1     33    0.42664E-02   -0.2344780245E+03   -0.6557568520E+03    0.6964172549E+03
  1     34    0.43957E-02    0.2200951159E+03    0.3486144765E+03    0.4122789265E+03
  1     35    0.45250E-02    0.2890959757E+03    0.1172911608E+03    0.3119834925E+03
  1     36    0.46543E-02   -0.4600548677E+03    0.1965996387E+03    0.5003018081E+03
  1     37    0.47836E-02    0.6092564881E+03   -0.3594321835E+03    0.7073789386E+03
  1     38    0.49129E-02    0.1501701528E+03    0.4422746346E+03    0.4670737920E+03
  1     39    0.50421E-02    0.2114965579E+03   -0.5796195097E+03    0.6170004620E+03
  1     40    0.51714E-02   -0.8748960553E+02   -0.3864060283E+03    0.3961868875E+03
  1     41    0.53007E-02   -0.3163988497E+03    0.3218414095E+03    0.4513204238E+03
  1     42    0.54300E-02   -0.4690812661E+03    0.4951566522E+03    0.6820684309E+03
  1     43    0.55593E-02    0.1422459182E+03   -0.1407904169E+03    0.2001395581E+03
  1     44    0.56886E-02   -0.3951570820E+03   -0.2383294761E+03    0.4614651218E+03
  1     45    0.58179E-02   -0.1085618736E+03   -0.3480815151E+03    0.3646181859E+03
  1     46    0.59471E-02    0.4209157842E+03    0.1777123283E+03    0.4568936080E+03
  1     47    0.60764E-02   -0.1333555107E+03    0.3292811666E+03    0.3552601566E+03
  1     48    0.62057E-02   -0.2524465219E+03    0.6084062952E+03    0.6587013484E+03
  1     49    0.63350E-02   -0.3803196124E+02   -0.6452568100E+01    0.3857545477E+02
  1     50    0.64643E-02    0.1578156069E+03    0.1766254249E+03    0.2368592546E+03
  1     51    0.65936E-02    0.6385759278E+02    0.5334531563E+02    0.8320766104E+02
  1     52    0.67229E-02    0.1779037927E+03    0.5507649715E+02    0.1862342074E+03
  1     53    0.68521E-02   -0.4882033832E+03    0.5573560970E+02    0.4913746041E+03
  1     54    0.69814E-02    0.8045362069E+02    0.4202280701E+03    0.4278602762E+03
  1     55    0.71107E-02    0.2586126792E+02   -0.1238387090E+02    0.2867342737E+02
  1     56    0.72400E-02    0.6264453515E+03   -0.9086793961E+02    0.6330013909E+03
  1     57    0.73693E-02   -0.2634669050E+03   -0.1393446797E+03    0.2980465564E+03
  1     58    0.74986E-02   -0.5129854515E+03   -0.7182846512E+03    0.8826590019E+03
  1     59    0.76279E-02   -0.4169259769E+03   -0.2616440199E+03    0.4922244035E+03
  1     60    0.77571E-02   -0.7746799278E+02   -0.3657765495E+03    0.3738900562E+03
  1     61    0.78864E-02   -0.4480646463E+01   -0.1876128305E+03    0.1876663272E+03
  1     62    0.80157E-02    0.5095637432E+03   -0.3704769000E+02    0.5109087392E+03
  1     63    0.81450E-02    0.2637593495E+03    0.3837493563E+03    0.4656528352E+03
  1     64    0.82743E-02   -0.1638230474E+03    0.1389835370E+03    0.2148357848E+03
  1     65    0.84036E-02    0.5376459903E+03    0.3112147835E+03    0.6212228685E+03
  1     66    0.85329E-02    0.1947350659E+03   -0.4212186298E+03    0.4640548244E+03
  1     67    0.86621E-02    0.6062449760E+03   -0.4446522163E+03    0.7518301433E+03
  1     68    0.87914E-02    0.2787539492E+03   -0.2693635648E+03    0.3876344853E+03
  1     69    0.89207E-02    0.9185157607E+00   -0.3780553670E+03    0.3780564828E+03
  1     70    0.90500E-02   -0.2059444119E+03    0.7241072672E+03    0.7528243057E+03
  1     71    0.91793E-02   -0.7927313925E+03   -0.5682264946E+03    0.9753483531E+03
  1     72    0.93086E-02   -0.9339431567E+02    0.4301686369E+03    0.4401903615E+03
  1     73    0.94379E-02    0.1990611720E+03    0.6641454334E+02    0.2098481398E+03
  1     74    0.95671E-02    0.5242940685E+03   -0.3051345332E+03    0.6066229089E+03
  1     75    0.96964E-02   -0.8650257940E+02    0.3132635538E+03    0.3249873080E+03
  1     76    0.98257E-02    0.3187042688E+03    0.1964867394E+03    0.3744054616E+03
  1     77    0.99550E-02   -0.7211246893E+03    0.4077272633E+03    0.8284095236E+03
  1     78    0.10084E-01    0.3240887467E+03    0.1080941744E+03    0.3416399659E+03
  1     79    0.10214E-01   -0.4299664579E+03   -0.4611678692E+03    0.6305132501E+03
  1     80    0.10343E-01    0.3499807259E+02    0.9608855900E+03    0.9615227414E+03
  1     81    0.10472E-01    0.2143947446E+03    0.4069004474E+02    0.2182218739E+03
  1     82    0.10601E-01   -0.4631461429E+03   -0.8133620400E+03    0.9359819217E+03
  1     83    0.10731E-01   -0.1273977198E+04    0.2060990096E+03    0.1290540469E+04
  1     84    0.10860E-01    0.3957738220E+03    0.2252642518E+03    0.4553909324E+03
  1     85    0.10989E-01    0.6781702430E+03   -0.2369280120E+03    0.7183660358E+03
  1     86    0.11119E-01    0.1224934380E+01    0.6576037895E+03    0.6576049303E+03
  1     87    0.11248E-01   -0.8991894921E+02    0.1059995473E+03    0.1390011563E+03
  1     88    0.11377E-01   -0.5989553543E+03    0.3166594547E+03    0.6775106839E+03
  1     89    0.11506E-01    0.6603548811E+02    0.1466092068E+03    0.1607947300E+03
  1     90    0.11636E-01   -0.2082619481E+03   -0.6424897076E+03    0.6754006688E+03
  1     91    0.11765E-01   -0.2304621939E+03    0.4362706752E+03    0.4934013831E+03
  1     92    0.11894E-01   -0.9800521319E+02    0.1843071065E+03    0.2087441767E+03
  1     93    0.12024E-01   -0.8383442164E+02   -0.7049374917E+03    0.7099049777E+03
  1     94    0.12153E-01   -0.6183147855E+03   -0.2306309647E+03    0.6599271292E+03
  1     95    0.12282E-01   -0.6328041688E+03    0.5986650167E+03    0.8711147561E+03
  1     96    0.12411E-01   -0.5728150471E+03   -0.4742818442E+03    0.7436802713E+03
  1     97    0.12541E-01    0.7392732424E+02    0.3274219495E+03    0.3356640915E+03
  1     98    0.12670E-01    0.1604425167E+03   -0.1940203564E+02    0.1616113862E+03
  1     99    0.12799E-01    0.1325695474E+03   -0.4007397235E+03    0.4220983427E+03
  1    100    0.12929E-01    0.2684048283E+03    0.4478826088E+03    0.5221493878E+03
  1    101    0.13058E-01   -0.8123726491E+01   -0.4880734324E+03    0.4881410353E+03
  1    102    0.13187E-01    0.1122750299E+03   -0.2891654513E+03    0.3101972607E+03
  1    103    0.13316E-01    0.1660885713E+03   -0.7240224130E+02    0.1811836032E+03
  1    104    0.13446E-01    0.3546256131E+03   -0.2382778078E+03    0.4272418978E+03
  1    105    0.13575E-01   -0.2633404265E+03   -0.4147341008E+03    0.4912764544E+03
  1    106    0.13704E-01    0.1205543258E+04    0.6283266244E+03    0.1359459045E+04
  1    107    0.13834E-01    0.4307069671E+03   -0.5728566912E+03    0.7167100391E+03
  1    108    0.13963E-01   -0.8562249131E+03    0.1349801061E+02    0.8563313016E+03
  1    109    0.14092E-01   -0.4611830409E+03   -0.6119019385E+02    0.4652247167E+03
  1    110    0.14221E-01    0.8209244377E+03   -0.6703413291E+03    0.1059846418E+04
  1    111    0.14351E-01    0.5315349843E+03    0.7683287082E+02    0.5370593353E+03
  1    112    0.14480E-01   -0.7988327786E+02   -0.4321584248E+03    0.4394795129E+03
  1    113    0.14609E-01    0.2506113713E+03    0.2202265896E+03    0.3336252541E+03
  1    114    0.14739E-01   -0.6820737994E+03    0.9163551154E+02    0.6882018126E+03
  1    115    0.14868E-01   -0.7220373177E+03    0.7402863205E+03    0.1034099475E+04
  1    116    0.14997E-01   -0.8722682069E+03   -0.5578229822E+03    0.1035383168E+04
  1    117    0.15126E-01    0.3128416405E+03    0.4739596999E+03    0.5678976045E+03
  1    118    0.15256E-01    0.1228455014E+03   -0.3890181156E+03    0.4079535653E+03
  1    119    0.15385E-01   -0.6227687687E+03   -0.3574973545E+03    0.7180844642E+03
  1    120    0.15514E-01    0.2052636003E+03    0.5962322334E+02    0.2137476886E+03
  1    121    0.15644E-01    0.3126583135E+03   -0.1677607889E+03    0.3548223545E+03
  1    122    0.15773E-01    0.4425410640E+03   -0.5583267490E+03    0.7124404199E+03
  1    123    0.15902E-01   -0.5132695216E+03    0.4924922471E+02    0.5156268883E+03
  1    124    0.16031E-01   -0.5209057344E+03   -0.3707248145E+03    0.6393587977E+03
  1    125    0.16161E-01    0.1771235427E+03   -0.3385984912E+03    0.3821278420E+03
  1    126    0.16290E-01   -0.1477920941E+03   -0.2861470235E+03    0.3220599667E+03
  1    127    0.16419E-01    0.3452480203E+03    0.1630905628E+03    0.3818307573E+03
  1    128    0.16549E-01   -0.9613016833E+03    0.1430543506E+03    0.9718875828E+03
  1    129    0.16678E-01   -0.3485346047E+03    0.1827710620E+03    0.3935500372E+03
  1    130    0.16807E-01   -0.5885030846E+03    0.2096873365E+03    0.6247436752E+03
  1    131    0.16936E-01   -0.1969835910E+03    0.4006132371E+03    0.4464230066E+03
  1    132    0.17066E-01    0.1072120766E+03    0.2507748610E+03    0.2727314802E+03
  1    133    0.17195E-01    0.2859510822E+03    0.3628054136E+03    0.4619478212E+03
  1    134    0.17324E-01    0.6753698565E+03   -0.8148761994E+02    0.6802680907E+03
  1    135    0.17454E-01   -0.8426986769E+02   -0.2037657235E+03    0.2205036976E+03
  1    136    0.17583E-01    0.2100413644E+03   -0.3417363181E+02    0.2128032234E+03
  1    137    0.17712E-01    0.2602269664E+03   -0.6169949320E+03    0.6696273741E+03
  1    138    0.17841E-01   -0.4215877254E+03   -0.3549315112E+03    0.5511012501E+03
  1    139    0.17971E-01    0.5749110508E+03   -0.3282996981E+03    0.6620448686E+03
  1    140    0.18100E-01    0.2635042049E+03    0.2465576877E+03    0.3608672323E+03
  1    141    0.18229E-01    0.1994798021E+03   -0.1426627583E+03    0.2452444782E+03
  1    142    0.18359E-01   -0.4652437444E+02   -0.5382604633E+03    0.5402673817E+03
  1    143    0.18488E-01   -0.3719018421E+03    0.6652336482E+03    0.7621330506E+03
  1    144    0.18617E-01   -0.8262521060E+03    0.4239244032E+03    0.9286573331E+03
  1    145    0.18746E-01    0.3322630157E+03    0.9845410473E+02    0.3465428146E+03
  1    146    0.18876E-01   -0.1023565958E+04   -0.1720446625E+03    0.1037924196E+04
  1    147    0.19005E-01    0.1658825911E+03   -0.3668465638E+03    0.4026082903E+03
  1    148    0.19134E-01    0.5749889448E+03    0.7841588023E+02    0.5803114137E+03
  1    149    0.19264E-01    0.5782061308E+03   -0.3967318604E+03    0.7012264248E+03
  1    150    0.19393E-01    0.1116341264E+02    0.4982795031E+03    0.4984045395E+03
  1    151    0.19522E-01   -0.3443786977E+03   -0.5135783963E+03    0.6183522108E+03
  1    152    0.19651E-01    0.4471515386E+03    0.1731125488E+02    0.4474865115E+03
  1    153    0.19781E-01   -0.1675561256E+03    0.7481726482E+02    0.1835011672E+03
  1    154    0.19910E-01   -0.1529446802E+03   -0.5083670057E+03    0.5308757742E+03
  1    155    0.20039E-01   -0.3035649941E+03   -0.4723678382E+03    0.5615007393E+03
  1    156    0.20169E-01   -0.1188059905E+03   -0.6770195464E+03    0.6873647719E+03
  1    157    0.20298E-01   -0.6207875784E+03   -0.1214189382E+01    0.6207887658E+03
  1    158    0.20427E-01   -0.8267244446E+02    0.1433967761E+03    0.1655215045E+03
  1    159    0.20556E-01    0.1899913223E+03    0.2907313658E+03    0.3473059597E+03
  1    160    0.20686E-01   -0.3868907142E+03   -0.5704728168E+02    0.3910739279E+03
  1    161    0.20815E-01   -0.1663686796E+03   -0.3444710663E+02    0.1698974417E+03
  1    162    0.20944E-01    0.2312906578E+03    0.5619259974E+03    0.6076645414E+03
  1    163    0.21074E-01   -0.1151495426E+03    0.3404806175E+03    0.3594251912E+03
  1    164    0.21203E-01   -0.4661717789E+03    0.3578744760E+03    0.5876991305E+03
  1    165    0.21332E-01    0.3237489130E+03    0.8520219720E+02    0.3347727186E+03
  1    166    0.21461E-01   -0.3390531755E+03   -0.6065453537E+03    0.6948771992E+03
  1    167    0.21591E-01   -0.7984085156E+03    0.5856446579E+03    0.9901695931E+03
  1    168    0.21720E-01    0.8833996527E+03    0.1812230916E+02    0.8835855163E+03
  1    169    0.21849E-01    0.1207909579E+03   -0.5601668351E+02    0.1331477538E+03
  1    170    0.21979E-01   -0.6047133718E+03   -0.1975614976E+03    0.6361672794E+03
  1    171    0.22108E-01    0.3715421948E+03   -0.2013420191E+03    0.4225898853E+03
  1    172    0.22237E-01   -0.2501555945E+03    0.4291835773E+03    0.4967659051E+03
  1    173    0.22366E-01    0.4216800383E+03   -0.4650214851E+03    0.6277412176E+03
  1    174    0.22496E-01    0.2976323027E+03   -0.1894898291E+03    0.3528333643E+03
  1    175    0.22625E-01    0.6878525804E+02   -0.7439177559E+03    0.7470910515E+03
  1    176    0.22754E-01    0.6643713676E+02   -0.8771340378E+02    0.1100342417E+03
  1    177    0.22884E-01   -0.1721049119E+03   -0.3842203804E+03    0.4210052273E+03
  1    178    0.23013E-01   -0.3698459391E+03   -0.1279710970E+03    0.3913599626E+03
  1    179    0.23142E-01    0.1389708039E+03   -0.1162013519E+03    0.1811508723E+03
  1    180    0.23271E-01    0.2280082820E+03    0.3707239203E+03    0.4352286775E+03
  1    181    0.23401E-01    0.4385241283E+03   -0.2216923213E+03    0.4913765323E+03
  1    182    0.23530E-01    0.3779925354E+03   -0.3919114170E+03    0.5444932650E+03
  1    183    0.23659E-01   -0.5783692642E+02   -0.2762529099E+03    0.2822424141E+03
  1    184    0.23789E-01    0.3419230432E+03    0.1856517794E+03    0.3890731944E+03
  1    185    0.23918E-01    0.3334831871E+03   -0.4025075868E+02    0.3359034975E+03
  1    186    0.24047E-01    0.3711310270E+02    0.1498660627E+03    0.1543930670E+03
  1    187    0.24176E-01    0.2970660999E+03    0.2109753859E+03    0.3643609215E+03
  1    188    0.24306E-01   -0.4382917771E+03    0.2825424563E+01    0.4383008839E+03
  1    189    0.24435E-01    0.7507330034E+02    0.6833015263E+03    0.6874132500E+03
  1    190    0.24564E-01   -0.2327628344E+03    0.5474584345E+03    0.5948859341E+03
  1    191    0.24694E-01    0.2079266398E+02    0.5279881529E+03    0.5283974115E+03
  1    192    0.24823E-01   -0.3285026779E+03    0.5354216569E+03    0.6281642779E+03
  1    193    0.24952E-01    0.6430813562E+03   -0.7826854159E+03    0.1012990667E+04
  1    194    0.25081E-01    0.8861624244E+03    0.1374613409E+03    0.8967605380E+03
  1    195    0.25211E-01    0.4777452634E+03   -0.7346730643E+03    0.8763475613E+03
  1    196    0.25340E-01    0.1395645594E+03   -0.6543847729E+03    0.6691021576E+03
  1    197    0.25469E-01   -0.1310717254E+02   -0.2098903422E+03    0.2102992004E+03
  1    198    0.25599E-01    0.1159153690E+02   -0.3005380996E+03    0.3007615551E+03
  1    199    0.25728E-01   -0.2671050625E+03   -0.1571728894E+03    0.3099168139E+03
  1    200    0.25857E-01   -0.3734324863E+03   -0.4018960324E+02    0.3755889056E+03
  1    201    0.25986E-01   -0.1738190935E+03    0.5377655920E+03    0.5651591893E+03
  1    202    0.26116E-01   -0.7018789549E+02    0.1607453024E+03    0.1754006640E+03
  1    203    0.26245E-01    0.4936130985E+03    0.3311007124E+03    0.5943749429E+03
  1    204    0.26374E-01   -0.3512113900E+03    0.5703914440E+02    0.3558130190E+03
  1    205    0.26504E-01    0.4775240678E+03   -0.1196834643E+03    0.4922939843E+03
  1    206    0.26633E-01   -0.3447462463E+03    0.1133625817E+03    0.3629063919E+03
  1    207    0.26762E-01   -0.5683909353E+03   -0.2063180899E+03    0.6046779387E+03
  1    208    0.26891E-01    0.9781419845E+02   -0.4083035190E+03    0.4198563814E+03
  1    209    0.27021E-01    0.4934768092E+03   -0.1656970467E+03    0.5205524686E+03
  1    210    0.27150E-01   -0.7926666690E+02    0.3958430671E+03    0.4037015460E+03
  1    211    0.27279E-01    0.2658380074E+03   -0.2289509126E+03    0.3508395168E+03
  1    212    0.27409E-01    0.2554428842E+02   -0.1545225826E+03    0.1566197280E+03
  1    213    0.27538E-01    0.5742729760E+03    0.7601863694E+03    0.9527186191E+03
  1    214    0.27667E-01   -0.6811728616E+03    0.1106403610E+02    0.6812627102E+03
  1    215    0.27796E-01   -0.2245039814E+03    0.3869614013E+03    0.4473713935E+03
