% itn    run  time           mean square displacement
  1      1    0.12929E-06    0.57912E-04
  1      2    0.25857E-06    0.20186E-03
  1      3    0.38786E-06    0.40144E-03
  1      4    0.51714E-06    0.63718E-03
  1      5    0.64643E-06    0.89381E-03
  1      6    0.77571E-06    0.11647E-02
  1      7    0.90500E-06    0.14370E-02
  1      8    0.10343E-05    0.17114E-02
  1      9    0.11636E-05    0.19814E-02
  1     10    0.12929E-05    0.22429E-02
  1     11    0.14221E-05    0.24953E-02
  1     12    0.15514E-05    0.27411E-02
  1     13    0.16807E-05    0.29792E-02
  1     14    0.18100E-05    0.32117E-02
  1     15    0.19393E-05    0.34276E-02
  1     16    0.20686E-05    0.36383E-02
  1     17    0.21979E-05    0.38404E-02
  1     18    0.23271E-05    0.40264E-02
  1     19    0.24564E-05    0.42008E-02
  1     20    0.25857E-05    0.43695E-02
  1     21    0.27150E-05    0.45344E-02
  1     22    0.28443E-05    0.46899E-02
  1     23    0.29736E-05    0.48312E-02
  1     24    0.31029E-05    0.49695E-02
  1     25    0.32321E-05    0.51008E-02
  1     26    0.33614E-05    0.52257E-02
  1     27    0.34907E-05    0.53414E-02
  1     28    0.36200E-05    0.54498E-02
  1     29    0.37493E-05    0.55588E-02
  1     30    0.38786E-05    0.56604E-02
  1     31    0.40079E-05    0.57596E-02
  1     32    0.41371E-05    0.58483E-02
  1     33    0.42664E-05    0.59358E-02
  1     34    0.43957E-05    0.60213E-02
  1     35    0.45250E-05    0.61084E-02
  1     36    0.46543E-05    0.61851E-02
  1     37    0.47836E-05    0.62574E-02
  1     38    0.49129E-05    0.63341E-02
  1     39    0.50421E-05    0.64066E-02
  1     40    0.51714E-05    0.64789E-02
  1     41    0.53007E-05    0.65358E-02
  1     42    0.54300E-05    0.66001E-02
  1     43    0.55593E-05    0.66636E-02
  1     44    0.56886E-05    0.67295E-02
  1     45    0.58179E-05    0.67872E-02
  1     46    0.59471E-05    0.68372E-02
  1     47    0.60764E-05    0.68884E-02
  1     48    0.62057E-05    0.69417E-02
  1     49    0.63350E-05    0.69966E-02
  1     50    0.64643E-05    0.70416E-02
  1     51    0.65936E-05    0.70833E-02
  1     52    0.67229E-05    0.71304E-02
  1     53    0.68521E-05    0.71792E-02
  1     54    0.69814E-05    0.72208E-02
  1     55    0.71107E-05    0.72693E-02
  1     56    0.72400E-05    0.73054E-02
