% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-06   -0.4574212947E+04   -0.1195986971E+04    0.4727981485E+04
  1      2    0.25857E-06   -0.1926551412E+04   -0.1235040617E+04    0.2288433016E+04
  1      3    0.38786E-06    0.6251844291E+04    0.5659463855E+04    0.8432976234E+04
  1      4    0.51714E-06   -0.9047381062E+04   -0.2376626738E+04    0.9354328342E+04
  1      5    0.64643E-06    0.8912251230E+03   -0.3013597397E+03    0.9407974875E+03
  1      6    0.77571E-06   -0.2251557165E+03    0.6951092262E+04    0.6954737862E+04
  1      7    0.90500E-06    0.1476543619E+04    0.7213572473E+04    0.7363138522E+04
  1      8    0.10343E-05    0.9640242843E+02    0.5382891935E+04    0.5383755103E+04
  1      9    0.11636E-05    0.6950004996E+04   -0.8391375328E+04    0.1089576750E+05
  1     10    0.12929E-05    0.2360213643E+04   -0.5258597527E+04    0.5763979215E+04
  1     11    0.14221E-05   -0.2006409088E+04   -0.2080350955E+04    0.2890248696E+04
  1     12    0.15514E-05    0.5057870980E+04   -0.4348902606E+04    0.6670458210E+04
  1     13    0.16807E-05   -0.2955431598E+04    0.3407532467E+04    0.4510637809E+04
  1     14    0.18100E-05   -0.1611919736E+04   -0.3144497059E+04    0.3533574251E+04
  1     15    0.19393E-05   -0.4738736650E+03   -0.7394782804E+04    0.7409950672E+04
  1     16    0.20686E-05   -0.6572295957E+04   -0.5924811133E+04    0.8848641766E+04
  1     17    0.21979E-05    0.6040681882E+04   -0.1203006721E+05    0.1346151384E+05
  1     18    0.23271E-05    0.1098955179E+04    0.2739523405E+04    0.2951726778E+04
  1     19    0.24564E-05    0.3117851387E+04    0.5215025654E+04    0.6075976452E+04
  1     20    0.25857E-05    0.6410417750E+04    0.3482886603E+04    0.7295474955E+04
  1     21    0.27150E-05   -0.1089384882E+04   -0.3535282929E+04    0.3699322209E+04
  1     22    0.28443E-05   -0.4327802377E+04   -0.6831345275E+04    0.8086850542E+04
  1     23    0.29736E-05   -0.2225160299E+03   -0.7273674524E+04    0.7277077330E+04
  1     24    0.31029E-05   -0.6344883032E+04    0.1422583324E+05    0.1557664509E+05
  1     25    0.32321E-05   -0.5234863595E+04   -0.2208206399E+03    0.5239518930E+04
  1     26    0.33614E-05    0.1985037602E+04   -0.1111809654E+05    0.1129391185E+05
  1     27    0.34907E-05    0.1620187156E+04   -0.1992832109E+04    0.2568343091E+04
  1     28    0.36200E-05   -0.3543394126E+04   -0.8146201806E+04    0.8883481626E+04
  1     29    0.37493E-05    0.7213495531E+04   -0.2373835001E+04    0.7594050987E+04
  1     30    0.38786E-05   -0.5308555651E+04   -0.3616829356E+04    0.6423567365E+04
  1     31    0.40079E-05   -0.1277652965E+05   -0.5905550717E+04    0.1407534153E+05
  1     32    0.41371E-05   -0.3455745782E+04   -0.2500388734E+04    0.4265456919E+04
  1     33    0.42664E-05   -0.7923982678E+04   -0.9154277349E+03    0.7976685366E+04
  1     34    0.43957E-05   -0.3663211407E+04    0.1088346313E+05    0.1148341793E+05
  1     35    0.45250E-05   -0.2502814832E+04    0.3457199408E+04    0.4268056915E+04
  1     36    0.46543E-05    0.2445333214E+04    0.7042333676E+03    0.2544719859E+04
  1     37    0.47836E-05   -0.7422125048E+04   -0.1032977876E+03    0.7422843839E+04
  1     38    0.49129E-05   -0.6745430380E+03   -0.5461605233E+04    0.5503102764E+04
  1     39    0.50421E-05   -0.7641087285E+04   -0.1272716521E+05    0.1484476167E+05
  1     40    0.51714E-05    0.6348624869E+04    0.1882457377E+04    0.6621833847E+04
  1     41    0.53007E-05    0.7840919365E+04   -0.7787458712E+04    0.1105099677E+05
  1     42    0.54300E-05    0.1889697948E+04   -0.8251661277E+03    0.2062003267E+04
  1     43    0.55593E-05   -0.1207515072E+05    0.4542387202E+04    0.1290126142E+05
  1     44    0.56886E-05    0.1038622227E+05   -0.7152347822E+04    0.1261069754E+05
  1     45    0.58179E-05   -0.1185462465E+05    0.3531322017E+04    0.1236941231E+05
  1     46    0.59471E-05   -0.1336234434E+04   -0.2330203330E+04    0.2686144080E+04
  1     47    0.60764E-05    0.3596041239E+04   -0.6376455975E+03    0.3652136978E+04
  1     48    0.62057E-05   -0.6596340239E+02   -0.1527131351E+04    0.1528555309E+04
  1     49    0.63350E-05    0.2547056382E+04    0.1582428787E+04    0.2998595851E+04
  1     50    0.64643E-05   -0.1153321363E+05    0.3328329423E+04    0.1200386577E+05
  1     51    0.65936E-05    0.3837349578E+01    0.7994371061E+03    0.7994463158E+03
  1     52    0.67229E-05   -0.2659236641E+04   -0.1226928971E+04    0.2928633506E+04
  1     53    0.68521E-05   -0.3695821576E+04   -0.1678266257E+04    0.4059023867E+04
  1     54    0.69814E-05   -0.5560202592E+03    0.2152640424E+04    0.2223290203E+04
  1     55    0.71107E-05   -0.7849812945E+04   -0.2319057338E+04    0.8185205569E+04
  1     56    0.72400E-05   -0.7698193012E+03   -0.6392207065E+04    0.6438395213E+04
  1     57    0.73693E-05    0.6178837672E+04    0.1568390156E+05    0.1685712915E+05
  1     58    0.74986E-05    0.4104472167E+03   -0.7082058205E+04    0.7093942158E+04
  1     59    0.76279E-05    0.6345251749E+04   -0.3174875011E+04    0.7095213252E+04
  1     60    0.77571E-05   -0.2623971565E+04   -0.2345802700E+03    0.2634436311E+04
  1     61    0.78864E-05    0.7292436501E+04    0.6269961642E+04    0.9617278675E+04
  1     62    0.80157E-05    0.1136786307E+05   -0.1293380408E+04    0.1144120377E+05
  1     63    0.81450E-05   -0.2330345093E+04    0.2670743932E+04    0.3544486057E+04
  1     64    0.82743E-05   -0.2941110881E+04   -0.2381961369E+04    0.3784689310E+04
  1     65    0.84036E-05    0.4816838640E+04   -0.6219887791E+04    0.7866952308E+04
  1     66    0.85329E-05   -0.1996622477E+04    0.4876749957E+04    0.5269648134E+04
  1     67    0.86621E-05   -0.4123375789E+03    0.3338918074E+04    0.3364282417E+04
  1     68    0.87914E-05   -0.1074493654E+04    0.1456210346E+05    0.1460169147E+05
  1     69    0.89207E-05    0.1948114672E+04    0.5911838917E+04    0.6224547385E+04
  1     70    0.90500E-05    0.1090714008E+05   -0.2467488284E+04    0.1118276367E+05
  1     71    0.91793E-05   -0.2962296802E+04    0.1931579092E+04    0.3536410629E+04
  1     72    0.93086E-05    0.4154042256E+04    0.3602436103E+04    0.5498510066E+04
  1     73    0.94379E-05   -0.7993898085E+03    0.1619198362E+03    0.8156237486E+03
  1     74    0.95671E-05    0.1294286054E+05    0.1371472532E+04    0.1301532082E+05
  1     75    0.96964E-05    0.2154298710E+04   -0.9934218482E+04    0.1016512173E+05
  1     76    0.98257E-05   -0.1029612316E+04   -0.9395856133E+04    0.9452101036E+04
