% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-03   -0.9425552279E+02    0.1300922572E+04    0.1304332642E+04
  1      2    0.25857E-03   -0.6479907271E+03   -0.3206308945E+03    0.7229772838E+03
  1      3    0.38786E-03    0.8587265296E+03    0.6627620104E+03    0.1084741783E+04
  1      4    0.51714E-03    0.3433743511E+03   -0.6199844836E+03    0.7087218812E+03
  1      5    0.64643E-03    0.6133124390E+03   -0.3030813659E+03    0.6841129016E+03
  1      6    0.77571E-03   -0.8871582578E+03   -0.9620498197E+02    0.8923593295E+03
  1      7    0.90500E-03    0.5904693505E+02    0.1514645341E+04    0.1515795847E+04
  1      8    0.10343E-02   -0.3526377764E+03    0.2166033128E+02    0.3533023794E+03
  1      9    0.11636E-02   -0.2581441413E+03   -0.3579921744E+03    0.4413578985E+03
  1     10    0.12929E-02    0.2282274157E+03    0.5055632994E+03    0.5546909076E+03
  1     11    0.14221E-02    0.2809672920E+03    0.7288615038E+03    0.7811412874E+03
  1     12    0.15514E-02    0.3236539256E+03   -0.8711734601E+03    0.9293519576E+03
  1     13    0.16807E-02    0.6271933071E+03   -0.1114526699E+03    0.6370189495E+03
  1     14    0.18100E-02   -0.7621702275E+03   -0.9476989227E+02    0.7680395746E+03
  1     15    0.19393E-02    0.6898897351E+03   -0.2710099910E+03    0.7412113476E+03
  1     16    0.20686E-02   -0.1532189719E+04   -0.1131358931E+04    0.1904620268E+04
  1     17    0.21979E-02    0.5807710639E+03    0.1088162261E+04    0.1233447257E+04
  1     18    0.23271E-02   -0.3549092863E+03    0.3702004409E+03    0.5128439996E+03
  1     19    0.24564E-02    0.1212533813E+03   -0.5969925522E+03    0.6091818201E+03
  1     20    0.25857E-02   -0.1168655286E+03    0.1972739275E+04    0.1976197814E+04
  1     21    0.27150E-02   -0.4025890725E+03    0.8060000234E+03    0.9009517184E+03
  1     22    0.28443E-02   -0.8498072728E+03   -0.9896112451E+03    0.1304416658E+04
  1     23    0.29736E-02    0.9850063202E+03   -0.6839634186E+02    0.9873780990E+03
  1     24    0.31029E-02    0.1808542224E+04   -0.1578986932E+04    0.2400838334E+04
  1     25    0.32321E-02   -0.4621248494E+03    0.4734563472E+03    0.6616043297E+03
  1     26    0.33614E-02   -0.4629668832E+02   -0.3961116449E+02    0.6092969474E+02
  1     27    0.34907E-02    0.1233256129E+04   -0.7722940972E+02    0.1235671907E+04
  1     28    0.36200E-02   -0.4138901309E+03   -0.9853009340E+03    0.1068701535E+04
  1     29    0.37493E-02   -0.1732672851E+04    0.1289149894E+04    0.2159644104E+04
  1     30    0.38786E-02   -0.2908430928E+02    0.1142427517E+04    0.1142797676E+04
  1     31    0.40079E-02   -0.1644515061E+04    0.5635168892E+02    0.1645480264E+04
  1     32    0.41371E-02    0.3655606145E+03   -0.1015469212E+04    0.1079264696E+04
  1     33    0.42664E-02    0.3610602742E+03   -0.1571969242E+04    0.1612901677E+04
  1     34    0.43957E-02   -0.1216419821E+04   -0.5318723316E+03    0.1327616420E+04
  1     35    0.45250E-02    0.1200229246E+04   -0.1989209125E+04    0.2323252717E+04
  1     36    0.46543E-02   -0.2939682889E+03    0.4897844811E+03    0.5712321707E+03
  1     37    0.47836E-02   -0.1387943716E+03   -0.1095350249E+04    0.1104108711E+04
  1     38    0.49129E-02   -0.1364100908E+04    0.7809665741E+03    0.1571839711E+04
  1     39    0.50421E-02    0.1622010118E+03    0.6829793633E+03    0.7019757680E+03
  1     40    0.51714E-02    0.1079571534E+04    0.8092816009E+03    0.1349226225E+04
  1     41    0.53007E-02    0.8550677775E+03    0.3784929175E+03    0.9350923979E+03
  1     42    0.54300E-02    0.1017421461E+04   -0.2189766006E+04    0.2414585179E+04
  1     43    0.55593E-02   -0.9040859380E+03    0.1490142869E+04    0.1742956441E+04
  1     44    0.56886E-02   -0.1470184023E+04   -0.8365515573E+03    0.1691525811E+04
  1     45    0.58179E-02   -0.3749614493E+03    0.1818047121E+03    0.4167121810E+03
  1     46    0.59471E-02    0.1333308884E+03   -0.2713372373E+03    0.3023260197E+03
  1     47    0.60764E-02    0.7791448458E+03    0.2547992869E+03    0.8197495760E+03
  1     48    0.62057E-02    0.3043230985E+03   -0.1229952714E+04    0.1267042315E+04
  1     49    0.63350E-02   -0.5549465829E+03   -0.2203169605E+03    0.5970806252E+03
  1     50    0.64643E-02   -0.3284618875E+03    0.1183295092E+04    0.1228036843E+04
  1     51    0.65936E-02   -0.5976875059E+03   -0.3990461379E+03    0.7186572026E+03
  1     52    0.67229E-02    0.1150822112E+04   -0.6217024491E+03    0.1308015852E+04
  1     53    0.68521E-02   -0.3432723037E+03   -0.2495658129E+03    0.4244042524E+03
  1     54    0.69814E-02   -0.4400975284E+02   -0.7474500372E+03    0.7487445603E+03
  1     55    0.71107E-02    0.1943759031E+03   -0.6878887796E+03    0.7148237299E+03
  1     56    0.72400E-02    0.1344068613E+04   -0.1301048876E+04    0.1870627867E+04
  1     57    0.73693E-02   -0.3593683758E+03    0.1350449959E+04    0.1397447932E+04
  1     58    0.74986E-02    0.1449770840E+04   -0.1484349538E+04    0.2074880488E+04
  1     59    0.76279E-02   -0.3749331350E+01   -0.4218687350E+03    0.4218853957E+03
  1     60    0.77571E-02    0.1779126965E+04    0.5747958324E+03    0.1869674572E+04
  1     61    0.78864E-02   -0.4918970665E+03    0.5982674606E+03    0.7745235170E+03
  1     62    0.80157E-02    0.5094541155E+03   -0.1706515683E+03    0.5372759566E+03
  1     63    0.81450E-02    0.3347346164E+03    0.8728122058E+03    0.9347985933E+03
  1     64    0.82743E-02    0.1293923430E+04    0.9656195231E+03    0.1614515068E+04
  1     65    0.84036E-02    0.2224227345E+04    0.2922636389E+03    0.2243346901E+04
  1     66    0.85329E-02   -0.7841519919E+03   -0.5973686959E+03    0.9857706149E+03
  1     67    0.86621E-02    0.1595637524E+04    0.6332271711E+03    0.1716693263E+04
  1     68    0.87914E-02    0.1384188536E+04   -0.2632457486E+03    0.1408998307E+04
  1     69    0.89207E-02    0.1465272816E+04   -0.2271392915E+03    0.1482773308E+04
  1     70    0.90500E-02   -0.8031257025E+03   -0.5025998260E+03    0.9474267671E+03
  1     71    0.91793E-02    0.1899246060E+04   -0.5926587535E+03    0.1989567790E+04
  1     72    0.93086E-02    0.5151760788E+03    0.1295781638E+04    0.1394437681E+04
  1     73    0.94379E-02    0.1351793054E+04   -0.5380334502E+03    0.1454931082E+04
  1     74    0.95671E-02   -0.6315721211E+03   -0.1530545880E+04    0.1655733684E+04
  1     75    0.96964E-02   -0.4392156069E+03    0.1301851638E+03    0.4581031829E+03
  1     76    0.98257E-02   -0.1047223819E+04   -0.1356657721E+04    0.1713825516E+04
  1     77    0.99550E-02    0.4141591836E+03    0.4993607718E+03    0.6487595932E+03
