% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.19316E-03
  1      2    0.25857E-04    0.69700E-03
  1      3    0.38786E-04    0.14621E-02
  1      4    0.51714E-04    0.25546E-02
  1      5    0.64643E-04    0.39336E-02
  1      6    0.77571E-04    0.55699E-02
  1      7    0.90500E-04    0.75604E-02
  1      8    0.10343E-03    0.96751E-02
  1      9    0.11636E-03    0.12013E-01
  1     10    0.12929E-03    0.14574E-01
  1     11    0.14221E-03    0.17416E-01
  1     12    0.15514E-03    0.20462E-01
  1     13    0.16807E-03    0.23685E-01
  1     14    0.18100E-03    0.27176E-01
  1     15    0.19393E-03    0.30768E-01
  1     16    0.20686E-03    0.34552E-01
  1     17    0.21979E-03    0.38737E-01
  1     18    0.23271E-03    0.42684E-01
  1     19    0.24564E-03    0.47290E-01
  1     20    0.25857E-03    0.51695E-01
  1     21    0.27150E-03    0.56425E-01
  1     22    0.28443E-03    0.61508E-01
  1     23    0.29736E-03    0.66893E-01
  1     24    0.31029E-03    0.72011E-01
  1     25    0.32321E-03    0.77447E-01
  1     26    0.33614E-03    0.82652E-01
  1     27    0.34907E-03    0.88037E-01
  1     28    0.36200E-03    0.93374E-01
  1     29    0.37493E-03    0.99386E-01
  1     30    0.38786E-03    0.10550E+00
  1     31    0.40079E-03    0.11202E+00
  1     32    0.41371E-03    0.11862E+00
  1     33    0.42664E-03    0.12519E+00
  1     34    0.43957E-03    0.13185E+00
  1     35    0.45250E-03    0.13841E+00
  1     36    0.46543E-03    0.14557E+00
  1     37    0.47836E-03    0.15331E+00
  1     38    0.49129E-03    0.16028E+00
  1     39    0.50421E-03    0.16838E+00
  1     40    0.51714E-03    0.17657E+00
  1     41    0.53007E-03    0.18425E+00
  1     42    0.54300E-03    0.19266E+00
  1     43    0.55593E-03    0.20066E+00
  1     44    0.56886E-03    0.20920E+00
  1     45    0.58179E-03    0.21747E+00
  1     46    0.59471E-03    0.22624E+00
  1     47    0.60764E-03    0.23489E+00
  1     48    0.62057E-03    0.24365E+00
  1     49    0.63350E-03    0.25246E+00
  1     50    0.64643E-03    0.26163E+00
  1     51    0.65936E-03    0.27063E+00
  1     52    0.67229E-03    0.27936E+00
  1     53    0.68521E-03    0.28805E+00
  1     54    0.69814E-03    0.29702E+00
  1     55    0.71107E-03    0.30573E+00
  1     56    0.72400E-03    0.31444E+00
  1     57    0.73693E-03    0.32343E+00
  1     58    0.74986E-03    0.33219E+00
  1     59    0.76279E-03    0.34072E+00
  1     60    0.77571E-03    0.34884E+00
  1     61    0.78864E-03    0.35741E+00
  1     62    0.80157E-03    0.36602E+00
  1     63    0.81450E-03    0.37518E+00
  1     64    0.82743E-03    0.38415E+00
  1     65    0.84036E-03    0.39321E+00
  1     66    0.85329E-03    0.40242E+00
  1     67    0.86621E-03    0.41101E+00
  1     68    0.87914E-03    0.42006E+00
  1     69    0.89207E-03    0.42950E+00
  1     70    0.90500E-03    0.43897E+00
  1     71    0.91793E-03    0.44814E+00
  1     72    0.93086E-03    0.45815E+00
  1     73    0.94379E-03    0.46748E+00
  1     74    0.95671E-03    0.47764E+00
  1     75    0.96964E-03    0.48842E+00
  1     76    0.98257E-03    0.49829E+00
  1     77    0.99550E-03    0.50766E+00
  1     78    0.10084E-02    0.51697E+00
  1     79    0.10214E-02    0.52573E+00
  1     80    0.10343E-02    0.53588E+00
  1     81    0.10472E-02    0.54680E+00
  1     82    0.10601E-02    0.55732E+00
  1     83    0.10731E-02    0.56751E+00
  1     84    0.10860E-02    0.57721E+00
  1     85    0.10989E-02    0.58520E+00
  1     86    0.11119E-02    0.59444E+00
  1     87    0.11248E-02    0.60459E+00
  1     88    0.11377E-02    0.61413E+00
  1     89    0.11506E-02    0.62355E+00
  1     90    0.11636E-02    0.63314E+00
  1     91    0.11765E-02    0.64137E+00
  1     92    0.11894E-02    0.65094E+00
  1     93    0.12024E-02    0.65984E+00
  1     94    0.12153E-02    0.66985E+00
  1     95    0.12282E-02    0.67908E+00
  1     96    0.12411E-02    0.68858E+00
  1     97    0.12541E-02    0.69868E+00
  1     98    0.12670E-02    0.70913E+00
  1     99    0.12799E-02    0.71934E+00
  1    100    0.12929E-02    0.72938E+00


% itn    run  time           mean square displacement
  2      1    0.12929E-04    0.20711E-03
  2      2    0.25857E-04    0.71552E-03
  2      3    0.38786E-04    0.14989E-02
  2      4    0.51714E-04    0.25696E-02
  2      5    0.64643E-04    0.39219E-02
  2      6    0.77571E-04    0.54561E-02
  2      7    0.90500E-04    0.73063E-02
  2      8    0.10343E-03    0.93984E-02
  2      9    0.11636E-03    0.11756E-01
  2     10    0.12929E-03    0.14370E-01
  2     11    0.14221E-03    0.17208E-01
  2     12    0.15514E-03    0.20518E-01
  2     13    0.16807E-03    0.23774E-01
  2     14    0.18100E-03    0.27293E-01
  2     15    0.19393E-03    0.31153E-01
  2     16    0.20686E-03    0.35158E-01
  2     17    0.21979E-03    0.39273E-01
  2     18    0.23271E-03    0.43811E-01
  2     19    0.24564E-03    0.48314E-01
  2     20    0.25857E-03    0.52987E-01
  2     21    0.27150E-03    0.57725E-01
  2     22    0.28443E-03    0.62793E-01
  2     23    0.29736E-03    0.67855E-01
  2     24    0.31029E-03    0.73203E-01
  2     25    0.32321E-03    0.79032E-01
  2     26    0.33614E-03    0.85260E-01
  2     27    0.34907E-03    0.91384E-01
  2     28    0.36200E-03    0.97008E-01
  2     29    0.37493E-03    0.10325E+00
  2     30    0.38786E-03    0.10932E+00
  2     31    0.40079E-03    0.11609E+00
  2     32    0.41371E-03    0.12270E+00
  2     33    0.42664E-03    0.12924E+00
  2     34    0.43957E-03    0.13582E+00
  2     35    0.45250E-03    0.14238E+00
  2     36    0.46543E-03    0.14918E+00
  2     37    0.47836E-03    0.15642E+00
  2     38    0.49129E-03    0.16369E+00
  2     39    0.50421E-03    0.17123E+00
  2     40    0.51714E-03    0.17877E+00
  2     41    0.53007E-03    0.18651E+00
  2     42    0.54300E-03    0.19432E+00
  2     43    0.55593E-03    0.20203E+00
  2     44    0.56886E-03    0.21009E+00
  2     45    0.58179E-03    0.21799E+00
  2     46    0.59471E-03    0.22630E+00
  2     47    0.60764E-03    0.23443E+00
  2     48    0.62057E-03    0.24316E+00
  2     49    0.63350E-03    0.25180E+00
  2     50    0.64643E-03    0.26077E+00
  2     51    0.65936E-03    0.26917E+00
  2     52    0.67229E-03    0.27754E+00
  2     53    0.68521E-03    0.28630E+00
  2     54    0.69814E-03    0.29487E+00
  2     55    0.71107E-03    0.30435E+00
  2     56    0.72400E-03    0.31452E+00
  2     57    0.73693E-03    0.32457E+00
  2     58    0.74986E-03    0.33412E+00
  2     59    0.76279E-03    0.34396E+00
  2     60    0.77571E-03    0.35336E+00
  2     61    0.78864E-03    0.36357E+00
  2     62    0.80157E-03    0.37379E+00
