% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.16553E-01
  1      2    0.25857E-04    0.62609E-01
  1      3    0.38786E-04    0.13823E+00
  1      4    0.51714E-04    0.22895E+00
  1      5    0.64643E-04    0.32897E+00
  1      6    0.77571E-04    0.43920E+00
  1      7    0.90500E-04    0.56246E+00
  1      8    0.10343E-03    0.69928E+00
  1      9    0.11636E-03    0.82951E+00
  1     10    0.12929E-03    0.93498E+00
  1     11    0.14221E-03    0.10314E+01
  1     12    0.15514E-03    0.11296E+01
  1     13    0.16807E-03    0.12271E+01
  1     14    0.18100E-03    0.13117E+01
  1     15    0.19393E-03    0.14095E+01
  1     16    0.20686E-03    0.15082E+01
  1     17    0.21979E-03    0.16105E+01
  1     18    0.23271E-03    0.16981E+01
  1     19    0.24564E-03    0.17888E+01
  1     20    0.25857E-03    0.18746E+01
  1     21    0.27150E-03    0.19502E+01
  1     22    0.28443E-03    0.20267E+01
  1     23    0.29736E-03    0.20757E+01
  1     24    0.31029E-03    0.21164E+01
  1     25    0.32321E-03    0.21482E+01
  1     26    0.33614E-03    0.21739E+01
  1     27    0.34907E-03    0.22057E+01
  1     28    0.36200E-03    0.22311E+01
  1     29    0.37493E-03    0.22558E+01
  1     30    0.38786E-03    0.22823E+01
  1     31    0.40079E-03    0.22981E+01
  1     32    0.41371E-03    0.23134E+01
  1     33    0.42664E-03    0.23280E+01
  1     34    0.43957E-03    0.23409E+01
  1     35    0.45250E-03    0.23547E+01
  1     36    0.46543E-03    0.23711E+01
  1     37    0.47836E-03    0.23895E+01
  1     38    0.49129E-03    0.24098E+01
  1     39    0.50421E-03    0.24194E+01
  1     40    0.51714E-03    0.24300E+01
  1     41    0.53007E-03    0.24408E+01
  1     42    0.54300E-03    0.24558E+01
  1     43    0.55593E-03    0.24781E+01
  1     44    0.56886E-03    0.25104E+01
  1     45    0.58179E-03    0.25442E+01
  1     46    0.59471E-03    0.25678E+01
  1     47    0.60764E-03    0.25874E+01
  1     48    0.62057E-03    0.26038E+01
  1     49    0.63350E-03    0.26077E+01
  1     50    0.64643E-03    0.26124E+01
  1     51    0.65936E-03    0.26167E+01
  1     52    0.67229E-03    0.26214E+01
  1     53    0.68521E-03    0.26268E+01
  1     54    0.69814E-03    0.26318E+01
  1     55    0.71107E-03    0.26361E+01
  1     56    0.72400E-03    0.26415E+01
  1     57    0.73693E-03    0.26478E+01
  1     58    0.74986E-03    0.26540E+01
  1     59    0.76279E-03    0.26594E+01
  1     60    0.77571E-03    0.26647E+01
  1     61    0.78864E-03    0.26706E+01
  1     62    0.80157E-03    0.26754E+01
  1     63    0.81450E-03    0.26807E+01
  1     64    0.82743E-03    0.26861E+01
  1     65    0.84036E-03    0.26909E+01
  1     66    0.85329E-03    0.26969E+01
  1     67    0.86621E-03    0.27036E+01
  1     68    0.87914E-03    0.27117E+01
  1     69    0.89207E-03    0.27183E+01
  1     70    0.90500E-03    0.27211E+01
  1     71    0.91793E-03    0.27251E+01
  1     72    0.93086E-03    0.27279E+01
  1     73    0.94379E-03    0.27315E+01
  1     74    0.95671E-03    0.27365E+01
  1     75    0.96964E-03    0.27422E+01
  1     76    0.98257E-03    0.27475E+01
  1     77    0.99550E-03    0.27535E+01
  1     78    0.10084E-02    0.27605E+01
  1     79    0.10214E-02    0.27729E+01
  1     80    0.10343E-02    0.27982E+01
  1     81    0.10472E-02    0.28294E+01
  1     82    0.10601E-02    0.28354E+01
  1     83    0.10731E-02    0.28412E+01
  1     84    0.10860E-02    0.28441E+01
  1     85    0.10989E-02    0.28447E+01
  1     86    0.11119E-02    0.28463E+01
  1     87    0.11248E-02    0.28471E+01
  1     88    0.11377E-02    0.28491E+01
  1     89    0.11506E-02    0.28498E+01
  1     90    0.11636E-02    0.28511E+01
  1     91    0.11765E-02    0.28516E+01
  1     92    0.11894E-02    0.28528E+01
  1     93    0.12024E-02    0.28547E+01
  1     94    0.12153E-02    0.28561E+01
  1     95    0.12282E-02    0.28573E+01
  1     96    0.12411E-02    0.28585E+01
  1     97    0.12541E-02    0.28607E+01
  1     98    0.12670E-02    0.28622E+01
  1     99    0.12799E-02    0.28642E+01
  1    100    0.12929E-02    0.28649E+01


% itn    run  time           mean square displacement
  2      1    0.12929E-04    0.16378E-01
  2      2    0.25857E-04    0.63004E-01
  2      3    0.38786E-04    0.13658E+00
  2      4    0.51714E-04    0.23511E+00
  2      5    0.64643E-04    0.34819E+00
  2      6    0.77571E-04    0.46706E+00
  2      7    0.90500E-04    0.58514E+00
  2      8    0.10343E-03    0.70158E+00
  2      9    0.11636E-03    0.81354E+00
  2     10    0.12929E-03    0.94071E+00
  2     11    0.14221E-03    0.10744E+01
  2     12    0.15514E-03    0.12190E+01
