% itn    run  time           mean square displacement
  1      1    0.12929E-05    0.42490E-05
  1      2    0.25857E-05    0.15114E-04
  1      3    0.38786E-05    0.33908E-04
  1      4    0.51714E-05    0.58681E-04
  1      5    0.64643E-05    0.93246E-04
  1      6    0.77571E-05    0.13419E-03
  1      7    0.90500E-05    0.18269E-03
  1      8    0.10343E-04    0.23729E-03
  1      9    0.11636E-04    0.29974E-03
  1     10    0.12929E-04    0.37181E-03
  1     11    0.14221E-04    0.45070E-03
  1     12    0.15514E-04    0.54263E-03
  1     13    0.16807E-04    0.63715E-03
  1     14    0.18100E-04    0.74082E-03
  1     15    0.19393E-04    0.85477E-03
  1     16    0.20686E-04    0.97947E-03
  1     17    0.21979E-04    0.11162E-02
  1     18    0.23271E-04    0.12712E-02
  1     19    0.24564E-04    0.14300E-02
  1     20    0.25857E-04    0.15970E-02
  1     21    0.27150E-04    0.17753E-02
  1     22    0.28443E-04    0.19572E-02
  1     23    0.29736E-04    0.21491E-02
  1     24    0.31029E-04    0.23591E-02
  1     25    0.32321E-04    0.25660E-02
  1     26    0.33614E-04    0.27867E-02
  1     27    0.34907E-04    0.29938E-02
  1     28    0.36200E-04    0.32266E-02
  1     29    0.37493E-04    0.34475E-02
  1     30    0.38786E-04    0.37008E-02
  1     31    0.40079E-04    0.39651E-02
  1     32    0.41371E-04    0.42373E-02
  1     33    0.42664E-04    0.44967E-02
  1     34    0.43957E-04    0.47889E-02
  1     35    0.45250E-04    0.50900E-02
  1     36    0.46543E-04    0.53959E-02
  1     37    0.47836E-04    0.57079E-02
  1     38    0.49129E-04    0.60264E-02
  1     39    0.50421E-04    0.63644E-02
  1     40    0.51714E-04    0.67060E-02
  1     41    0.53007E-04    0.70496E-02
  1     42    0.54300E-04    0.73977E-02
  1     43    0.55593E-04    0.77461E-02
  1     44    0.56886E-04    0.81093E-02
  1     45    0.58179E-04    0.84975E-02
  1     46    0.59471E-04    0.89072E-02
  1     47    0.60764E-04    0.93307E-02
  1     48    0.62057E-04    0.97606E-02
  1     49    0.63350E-04    0.10207E-01
  1     50    0.64643E-04    0.10656E-01
  1     51    0.65936E-04    0.11130E-01
  1     52    0.67229E-04    0.11595E-01
  1     53    0.68521E-04    0.12078E-01
  1     54    0.69814E-04    0.12605E-01
  1     55    0.71107E-04    0.13110E-01
  1     56    0.72400E-04    0.13629E-01
  1     57    0.73693E-04    0.14209E-01
  1     58    0.74986E-04    0.14805E-01
  1     59    0.76279E-04    0.15412E-01
  1     60    0.77571E-04    0.16018E-01
  1     61    0.78864E-04    0.16647E-01
  1     62    0.80157E-04    0.17307E-01
  1     63    0.81450E-04    0.18002E-01
  1     64    0.82743E-04    0.18704E-01
  1     65    0.84036E-04    0.19422E-01
  1     66    0.85329E-04    0.20167E-01
  1     67    0.86621E-04    0.20927E-01
  1     68    0.87914E-04    0.21675E-01
  1     69    0.89207E-04    0.22453E-01
  1     70    0.90500E-04    0.23253E-01
  1     71    0.91793E-04    0.24080E-01
  1     72    0.93086E-04    0.24883E-01
  1     73    0.94379E-04    0.25737E-01
  1     74    0.95671E-04    0.26665E-01
  1     75    0.96964E-04    0.27580E-01
  1     76    0.98257E-04    0.28542E-01
  1     77    0.99550E-04    0.29427E-01
  1     78    0.10084E-03    0.30312E-01
  1     79    0.10214E-03    0.31237E-01
  1     80    0.10343E-03    0.32151E-01
  1     81    0.10472E-03    0.33098E-01
  1     82    0.10601E-03    0.34097E-01
  1     83    0.10731E-03    0.35150E-01
  1     84    0.10860E-03    0.36173E-01
  1     85    0.10989E-03    0.37233E-01
  1     86    0.11119E-03    0.38308E-01
  1     87    0.11248E-03    0.39330E-01
  1     88    0.11377E-03    0.40461E-01
  1     89    0.11506E-03    0.41559E-01
  1     90    0.11636E-03    0.42703E-01
  1     91    0.11765E-03    0.43918E-01
  1     92    0.11894E-03    0.45135E-01
  1     93    0.12024E-03    0.46371E-01
  1     94    0.12153E-03    0.47725E-01
  1     95    0.12282E-03    0.49066E-01
  1     96    0.12411E-03    0.50446E-01
  1     97    0.12541E-03    0.51858E-01
  1     98    0.12670E-03    0.53274E-01
  1     99    0.12799E-03    0.54740E-01
  1    100    0.12929E-03    0.56205E-01


