% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-05    0.8775742194E+01    0.1266300538E+01    0.8866632287E+01
  1      2    0.25857E-05    0.1507504486E+04    0.4721422078E+03    0.1579711378E+04
  1      3    0.38786E-05   -0.1403006200E+03    0.3125822541E+03    0.3426250568E+03
  1      4    0.51714E-05    0.1505975267E+04   -0.5792966179E+03    0.1613550767E+04
  1      5    0.64643E-05   -0.4824613238E+03    0.1874001351E+03    0.5175787279E+03
  1      6    0.77571E-05    0.6141090640E+03    0.4507016672E+03    0.7617492601E+03
  1      7    0.90500E-05    0.5437690282E+03   -0.1127763590E+03    0.5553406731E+03
  1      8    0.10343E-04    0.9148099944E+03    0.4601150514E+03    0.1024003509E+04
  1      9    0.11636E-04    0.7895770680E+02    0.9281464374E+03    0.9314988613E+03
  1     10    0.12929E-04    0.2330202880E+03   -0.1397840411E+04    0.1417129588E+04
  1     11    0.14221E-04    0.2245989709E+03   -0.6153914113E+03    0.6550963951E+03
  1     12    0.15514E-04    0.8603885990E+03    0.1190754710E+03    0.8685893789E+03
  1     13    0.16807E-04   -0.1148530444E+02    0.5965074489E+03    0.5966180091E+03
  1     14    0.18100E-04   -0.9285189249E+01   -0.9980601375E+03    0.9981033277E+03
  1     15    0.19393E-04   -0.2285625948E+03    0.3910068633E+03    0.4529097337E+03
  1     16    0.20686E-04    0.9287929183E+03    0.8244526333E+03    0.1241925291E+04
  1     17    0.21979E-04   -0.5632649929E+03    0.1168732368E+04    0.1297383059E+04
  1     18    0.23271E-04   -0.5856892314E+02   -0.2863729663E+03    0.2923008631E+03
  1     19    0.24564E-04   -0.6227179422E+03   -0.8761289442E+02    0.6288510593E+03
  1     20    0.25857E-04    0.5245043997E+03    0.5197598802E+03    0.7384139749E+03
  1     21    0.27150E-04    0.1001767182E+04    0.1030116073E+04    0.1436898261E+04
  1     22    0.28443E-04   -0.6474222164E+03    0.4314220153E+02    0.6488580552E+03
  1     23    0.29736E-04    0.6479809189E+02    0.6226559047E+03    0.6260185048E+03
  1     24    0.31029E-04    0.1335234542E+04    0.8880852763E+03    0.1603604297E+04
  1     25    0.32321E-04    0.2294645804E+03   -0.2657345839E+03    0.3510966573E+03
  1     26    0.33614E-04    0.5192938831E+03   -0.1669189191E+03    0.5454613300E+03
  1     27    0.34907E-04   -0.3206734436E+03   -0.1795167800E+03    0.3675020160E+03
  1     28    0.36200E-04    0.9021411457E+03   -0.1173631635E+03    0.9097432379E+03
  1     29    0.37493E-04   -0.5706353341E+02   -0.6331217867E+02    0.8523308520E+02
  1     30    0.38786E-04   -0.4028778943E+03   -0.1459629206E+03    0.4285041096E+03
  1     31    0.40079E-04    0.1784236688E+03   -0.1180516582E+03    0.2139420473E+03
  1     32    0.41371E-04   -0.6485590015E+03    0.6159110456E+03    0.8944133242E+03
  1     33    0.42664E-04    0.9970017041E+03    0.1103710132E+04    0.1487342749E+04
  1     34    0.43957E-04   -0.5904172459E+03   -0.1084270695E+04    0.1234599313E+04
  1     35    0.45250E-04   -0.2396246660E+03   -0.1214914474E+04    0.1238320297E+04
  1     36    0.46543E-04    0.2937825736E+03    0.1057025395E+03    0.3122198383E+03
  1     37    0.47836E-04    0.2428455971E+02   -0.6227748030E+03    0.6232481008E+03
  1     38    0.49129E-04    0.5810665975E+03    0.3229238285E+02    0.5819632193E+03
  1     39    0.50421E-04    0.7215853138E+03    0.1253776502E+04    0.1446596309E+04
  1     40    0.51714E-04    0.5320710512E+03   -0.3714714898E+03    0.6489149954E+03
  1     41    0.53007E-04   -0.6590694402E+03    0.1686915678E+04    0.1811092773E+04
  1     42    0.54300E-04   -0.6866643414E+03    0.1657821196E+04    0.1794402139E+04
  1     43    0.55593E-04    0.7872252041E+03   -0.1112127166E+03    0.7950420053E+03
  1     44    0.56886E-04    0.9777064217E+03   -0.4437144006E+03    0.1073681664E+04
  1     45    0.58179E-04    0.1617020151E+03   -0.4802405824E+03    0.5067332224E+03
  1     46    0.59471E-04    0.1963969234E+03    0.5036546439E+03    0.5405920382E+03
  1     47    0.60764E-04    0.8362462798E+03    0.8562039349E+03    0.1196826227E+04
  1     48    0.62057E-04    0.1122232644E+02   -0.1604114945E+03    0.1608035702E+03
  1     49    0.63350E-04    0.5962787430E+03   -0.8685702827E+02    0.6025715581E+03
  1     50    0.64643E-04    0.1201435356E+03   -0.1082866014E+02    0.1206305477E+03
  1     51    0.65936E-04   -0.2280244764E+03   -0.3305638642E+03    0.4015814117E+03
  1     52    0.67229E-04   -0.5726218288E+03   -0.9555476544E+02    0.5805398109E+03
  1     53    0.68521E-04    0.5246457874E+03   -0.3742434473E+03    0.6444465533E+03
  1     54    0.69814E-04   -0.7233496236E+02    0.1947512212E+03    0.2077507760E+03
  1     55    0.71107E-04    0.9937732878E+02    0.1770352120E+03    0.2030204910E+03
  1     56    0.72400E-04   -0.4382611158E+03    0.6744409190E+03    0.8043278927E+03
  1     57    0.73693E-04    0.1494158675E+03    0.1440969304E+04    0.1448695150E+04
  1     58    0.74986E-04    0.1717373374E+03    0.1656711849E+03    0.2386224100E+03
  1     59    0.76279E-04    0.1423319008E+04    0.3941718468E+03    0.1476891480E+04
  1     60    0.77571E-04   -0.2934175773E+03   -0.5501745512E+02    0.2985310621E+03
  1     61    0.78864E-04    0.3495818571E+03    0.1125555248E+03    0.3672549809E+03
  1     62    0.80157E-04   -0.6798635002E+02    0.1388494397E+03    0.1546004873E+03
  1     63    0.81450E-04   -0.5605602950E+02    0.2789101015E+03    0.2844874746E+03
  1     64    0.82743E-04    0.2463735084E+03    0.1072495883E+04    0.1100430518E+04
  1     65    0.84036E-04    0.1407472843E+03   -0.1392633083E+03    0.1980001694E+03
  1     66    0.85329E-04    0.6938655575E+03   -0.1077665918E+04    0.1281722763E+04
  1     67    0.86621E-04    0.9730843920E+03    0.4447474870E+03    0.1069903529E+04
  1     68    0.87914E-04    0.6181170496E+03    0.1791452998E+03    0.6435539802E+03
  1     69    0.89207E-04   -0.6021051196E+03    0.1057899301E+04    0.1217243405E+04
  1     70    0.90500E-04    0.7918839128E+03    0.8360821526E+03    0.1151570014E+04
  1     71    0.91793E-04   -0.4787882517E+03   -0.6724655076E+02    0.4834876302E+03
  1     72    0.93086E-04   -0.1879992691E+03   -0.5328037230E+03    0.5649987013E+03
  1     73    0.94379E-04   -0.2151938249E+03   -0.4169910341E+02    0.2191967096E+03
  1     74    0.95671E-04    0.9708310766E+01   -0.2158963858E+03    0.2161145546E+03
  1     75    0.96964E-04    0.6510135574E+03   -0.4865008140E+02    0.6528288308E+03
  1     76    0.98257E-04   -0.2241274601E+03   -0.5737659831E+02    0.2313551218E+03
  1     77    0.99550E-04   -0.6812960548E+03    0.9224142599E+03    0.1146739893E+04
  1     78    0.10084E-03    0.6042847611E+03    0.6880698547E+03    0.9157511657E+03
  1     79    0.10214E-03    0.3326100678E+03   -0.1253041926E+04    0.1296434929E+04
  1     80    0.10343E-03   -0.3252600319E+03   -0.2495750727E+02    0.3262161332E+03
  1     81    0.10472E-03    0.2235894689E+03   -0.1343522734E+03    0.2608501178E+03
  1     82    0.10601E-03    0.1924494622E+03   -0.1959233365E+03    0.2746320252E+03
  1     83    0.10731E-03   -0.4747716308E+03   -0.3315692143E+03    0.5790908783E+03
  1     84    0.10860E-03    0.2799702139E+02   -0.3133012554E+03    0.3145496938E+03
  1     85    0.10989E-03   -0.1607471377E+03   -0.1911329715E+03    0.2497427779E+03
  1     86    0.11119E-03    0.3741211532E+03   -0.4031215458E+03    0.5499760158E+03
  1     87    0.11248E-03   -0.2208616245E+03    0.7969504978E+02    0.2348002516E+03
  1     88    0.11377E-03    0.1624253694E+04    0.7621914700E+03    0.1794195056E+04
  1     89    0.11506E-03    0.1972509215E+03    0.6206618244E+03    0.6512518916E+03
  1     90    0.11636E-03   -0.2754710068E+03   -0.9587312107E+03    0.9975218343E+03
  1     91    0.11765E-03    0.2372841873E+03   -0.3925114996E+02    0.2405087074E+03
  1     92    0.11894E-03    0.4582832134E+03    0.4944391916E+03    0.6741614183E+03
