% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.45454E-03
  1      2    0.25857E-04    0.49510E-03
  1      3    0.38786E-04    0.99865E-03
  1      4    0.51714E-04    0.17951E-02
  1      5    0.64643E-04    0.35653E-02
  1      6    0.77571E-04    0.42323E-02
  1      7    0.90500E-04    0.61278E-02
  1      8    0.10343E-03    0.75053E-02
  1      9    0.11636E-03    0.96767E-02
  1     10    0.12929E-03    0.13589E-01
  1     11    0.14221E-03    0.15731E-01
  1     12    0.15514E-03    0.18874E-01
  1     13    0.16807E-03    0.20404E-01
  1     14    0.18100E-03    0.27516E-01
  1     15    0.19393E-03    0.30727E-01
  1     16    0.20686E-03    0.36282E-01
  1     17    0.21979E-03    0.42914E-01
  1     18    0.23271E-03    0.47494E-01
  1     19    0.24564E-03    0.55553E-01
  1     20    0.25857E-03    0.59845E-01
  1     21    0.27150E-03    0.63162E-01
  1     22    0.28443E-03    0.71304E-01
  1     23    0.29736E-03    0.71740E-01
  1     24    0.31029E-03    0.71940E-01
  1     25    0.32321E-03    0.75899E-01
  1     26    0.33614E-03    0.77403E-01
  1     27    0.34907E-03    0.73316E-01
  1     28    0.36200E-03    0.76505E-01
  1     29    0.37493E-03    0.77780E-01
  1     30    0.38786E-03    0.84198E-01
  1     31    0.40079E-03    0.88144E-01
  1     32    0.41371E-03    0.86040E-01
  1     33    0.42664E-03    0.87447E-01
  1     34    0.43957E-03    0.86833E-01
  1     35    0.45250E-03    0.86928E-01
  1     36    0.46543E-03    0.84930E-01
  1     37    0.47836E-03    0.79616E-01
  1     38    0.49129E-03    0.80537E-01
  1     39    0.50421E-03    0.74959E-01
  1     40    0.51714E-03    0.70767E-01
  1     41    0.53007E-03    0.66667E-01
  1     42    0.54300E-03    0.62172E-01
  1     43    0.55593E-03    0.58009E-01
  1     44    0.56886E-03    0.54653E-01
  1     45    0.58179E-03    0.52028E-01
  1     46    0.59471E-03    0.45285E-01
  1     47    0.60764E-03    0.43364E-01
  1     48    0.62057E-03    0.45768E-01
  1     49    0.63350E-03    0.41992E-01
  1     50    0.64643E-03    0.43698E-01
  1     51    0.65936E-03    0.41960E-01
  1     52    0.67229E-03    0.36504E-01
  1     53    0.68521E-03    0.34475E-01
  1     54    0.69814E-03    0.32740E-01
  1     55    0.71107E-03    0.30076E-01
  1     56    0.72400E-03    0.27021E-01
  1     57    0.73693E-03    0.24342E-01
  1     58    0.74986E-03    0.23307E-01
  1     59    0.76279E-03    0.21200E-01
  1     60    0.77571E-03    0.22062E-01
  1     61    0.78864E-03    0.23124E-01
  1     62    0.80157E-03    0.23491E-01
  1     63    0.81450E-03    0.24217E-01
  1     64    0.82743E-03    0.26421E-01
  1     65    0.84036E-03    0.28789E-01
  1     66    0.85329E-03    0.33312E-01
  1     67    0.86621E-03    0.36357E-01
  1     68    0.87914E-03    0.35177E-01
  1     69    0.89207E-03    0.38771E-01
  1     70    0.90500E-03    0.41665E-01
  1     71    0.91793E-03    0.42420E-01
  1     72    0.93086E-03    0.41009E-01
  1     73    0.94379E-03    0.40178E-01
  1     74    0.95671E-03    0.39471E-01
  1     75    0.96964E-03    0.38600E-01
  1     76    0.98257E-03    0.39435E-01
  1     77    0.99550E-03    0.36120E-01
  1     78    0.10084E-02    0.35351E-01
  1     79    0.10214E-02    0.33876E-01
  1     80    0.10343E-02    0.33823E-01
  1     81    0.10472E-02    0.32009E-01
  1     82    0.10601E-02    0.33601E-01
  1     83    0.10731E-02    0.32541E-01
  1     84    0.10860E-02    0.31291E-01
  1     85    0.10989E-02    0.31239E-01
  1     86    0.11119E-02    0.31023E-01
  1     87    0.11248E-02    0.30194E-01
  1     88    0.11377E-02    0.28883E-01
  1     89    0.11506E-02    0.29023E-01
  1     90    0.11636E-02    0.31280E-01
  1     91    0.11765E-02    0.33255E-01
  1     92    0.11894E-02    0.32722E-01
  1     93    0.12024E-02    0.31028E-01
  1     94    0.12153E-02    0.32706E-01
  1     95    0.12282E-02    0.35956E-01
  1     96    0.12411E-02    0.35646E-01
  1     97    0.12541E-02    0.36326E-01
  1     98    0.12670E-02    0.35701E-01
  1     99    0.12799E-02    0.36558E-01
  1    100    0.12929E-02    0.38444E-01


