% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-04    0.8198240225E+02   -0.1058996654E+04    0.1062165255E+04
  1      2    0.25857E-04    0.9775493063E+03    0.1254041208E+03    0.9855601655E+03
  1      3    0.38786E-04   -0.1043361934E+04    0.3998390511E+03    0.1117351956E+04
  1      4    0.51714E-04   -0.1270584312E+04    0.1423018501E+03    0.1278528181E+04
  1      5    0.64643E-04    0.1126702509E+04    0.1555274167E+04    0.1920504173E+04
  1      6    0.77571E-04   -0.2662260967E+03    0.8261017238E+03    0.8679403163E+03
  1      7    0.90500E-04    0.8766614647E+03    0.1519766265E+03    0.8897371627E+03
  1      8    0.10343E-03    0.6057025894E+03    0.1696025814E+04    0.1800938419E+04
  1      9    0.11636E-03    0.1894965490E+04    0.1483888156E+03    0.1900766542E+04
  1     10    0.12929E-03   -0.7093381328E+03    0.1655168278E+04    0.1800761677E+04
  1     11    0.14221E-03    0.5844004516E+03    0.4988559206E+03    0.7683626210E+03
  1     12    0.15514E-03    0.8888184924E+03   -0.1277804675E+03    0.8979566583E+03
  1     13    0.16807E-03    0.8229642274E+02    0.6763672693E+03    0.6813555490E+03
  1     14    0.18100E-03   -0.3362174899E+03    0.1828264083E+03    0.3827109824E+03
  1     15    0.19393E-03    0.1832700208E+03   -0.8601596862E+03    0.8794672173E+03
  1     16    0.20686E-03    0.2974661766E+03    0.1707568846E+03    0.3429927694E+03
  1     17    0.21979E-03   -0.6083060676E+03   -0.7798631151E+03    0.9890514396E+03
  1     18    0.23271E-03    0.1442262142E+04   -0.3902462162E+03    0.1494125896E+04
  1     19    0.24564E-03    0.6437919850E+03   -0.1412413272E+04    0.1552217566E+04
  1     20    0.25857E-03    0.4449736685E+02   -0.1122208788E+03    0.1207209232E+03
  1     21    0.27150E-03    0.5151530716E+03   -0.3964590956E+01    0.5151683271E+03
  1     22    0.28443E-03    0.1379162646E+03    0.7761027351E+03    0.7882616009E+03
  1     23    0.29736E-03   -0.1154271502E+04   -0.1825166419E+03    0.1168612435E+04
  1     24    0.31029E-03    0.1315326136E+04   -0.3759185393E+03    0.1367990348E+04
  1     25    0.32321E-03   -0.1473605202E+03    0.1115307899E+04    0.1125000814E+04
  1     26    0.33614E-03    0.3332205365E+03   -0.1435526734E+04    0.1473693635E+04
  1     27    0.34907E-03    0.1947537563E+03    0.2206156466E+03    0.2942792706E+03
  1     28    0.36200E-03    0.1668415748E+04   -0.4396897379E+03    0.1725380588E+04
  1     29    0.37493E-03   -0.3789478416E+03    0.9125658219E+03    0.9881183360E+03
  1     30    0.38786E-03    0.6499543937E+03   -0.5496082489E+03    0.8511814972E+03
  1     31    0.40079E-03   -0.8205155347E+03    0.1409123533E+04    0.1630605677E+04
  1     32    0.41371E-03   -0.3690858901E+03    0.7162991779E+03    0.8057970629E+03
  1     33    0.42664E-03    0.9511430980E+03   -0.2671462147E+03    0.9879475152E+03
  1     34    0.43957E-03    0.1347343899E+04    0.3236547325E+03    0.1385672389E+04
  1     35    0.45250E-03   -0.1072756475E+04    0.5832159699E+03    0.1221043538E+04
  1     36    0.46543E-03   -0.9360536699E+02   -0.5781119334E+03    0.5856409927E+03
  1     37    0.47836E-03    0.2311854690E+03   -0.1232557904E+04    0.1254051717E+04
  1     38    0.49129E-03   -0.1815857245E+03   -0.8151195125E+02    0.1990416377E+03
  1     39    0.50421E-03    0.2815941315E+03    0.3524952911E+03    0.4511631470E+03
  1     40    0.51714E-03    0.2583897870E+03   -0.7339079688E+03    0.7780656712E+03
  1     41    0.53007E-03    0.6691857416E+03    0.8043033525E+03    0.1046285544E+04
  1     42    0.54300E-03   -0.2331931547E+03   -0.3380020251E+03    0.4106390341E+03
  1     43    0.55593E-03    0.1058318992E+04    0.8238650213E+02    0.1061520902E+04
  1     44    0.56886E-03    0.9417090132E+02   -0.4190629986E+03    0.4295136266E+03
  1     45    0.58179E-03   -0.1241533868E+04    0.3386984504E+03    0.1286904420E+04
  1     46    0.59471E-03   -0.8570369037E+03   -0.3896402899E+01    0.8570457609E+03
  1     47    0.60764E-03    0.1287016266E+04   -0.1269666427E+04    0.1807889295E+04
  1     48    0.62057E-03    0.6841110866E+03   -0.7998118926E+03    0.1052476623E+04
  1     49    0.63350E-03    0.5462165719E+03    0.7352527511E+03    0.9159416746E+03
  1     50    0.64643E-03   -0.6674759469E+03   -0.1027973199E+03    0.6753454143E+03
  1     51    0.65936E-03    0.9317595319E+03    0.1204740438E+04    0.1523015216E+04
  1     52    0.67229E-03    0.8725661692E+02   -0.1191537659E+04    0.1194728300E+04
  1     53    0.68521E-03    0.1015663861E+03   -0.1363994379E+04    0.1367770594E+04
  1     54    0.69814E-03   -0.3507400334E+03    0.1616020276E+03    0.3861784385E+03
  1     55    0.71107E-03   -0.4053967311E+03    0.2327380749E+02    0.4060642556E+03
  1     56    0.72400E-03   -0.2444865963E+03    0.9961179489E+03    0.1025682536E+04
  1     57    0.73693E-03    0.1888002324E+03   -0.1053929028E+04    0.1070706274E+04
  1     58    0.74986E-03   -0.7590029109E+03    0.1548213978E+03    0.7746322250E+03
  1     59    0.76279E-03    0.2056531230E+04    0.7325791189E+03    0.2183115404E+04
  1     60    0.77571E-03    0.7370331051E+03   -0.1074400393E+04    0.1302902146E+04
  1     61    0.78864E-03    0.7414745268E+03    0.5275264013E+03    0.9099827350E+03
  1     62    0.80157E-03   -0.4934314334E+03   -0.5879307882E+03    0.7675527286E+03
  1     63    0.81450E-03    0.7886799961E+03    0.3482371262E+03    0.8621399146E+03
  1     64    0.82743E-03    0.7176756742E+03   -0.8003602613E+03    0.1075004614E+04
  1     65    0.84036E-03   -0.4835134682E+03   -0.7553058426E+03    0.8968122377E+03
  1     66    0.85329E-03    0.2537102935E+03   -0.4172346502E+03    0.4883171780E+03
  1     67    0.86621E-03   -0.1496955426E+03    0.2230816384E+03    0.2686525132E+03
  1     68    0.87914E-03   -0.5173349550E+03   -0.7393402901E+03    0.9023632972E+03
  1     69    0.89207E-03    0.2467699372E+03   -0.1117292570E+04    0.1144219424E+04
  1     70    0.90500E-03   -0.4629116373E+03    0.1236218585E+04    0.1320046807E+04
  1     71    0.91793E-03   -0.1844673520E+04   -0.3586007588E+03    0.1879205922E+04
  1     72    0.93086E-03    0.1578734177E+04   -0.6042720507E+03    0.1690427849E+04
  1     73    0.94379E-03   -0.1538686163E+04   -0.1135732576E+03    0.1542871995E+04
  1     74    0.95671E-03    0.1324867895E+04   -0.1763780636E+04    0.2205945845E+04
  1     75    0.96964E-03    0.9759837942E+03   -0.1288616822E+02    0.9760688602E+03
  1     76    0.98257E-03   -0.8295694603E+03    0.1032683487E+04    0.1324620955E+04
  1     77    0.99550E-03    0.1000209931E+04    0.5719404553E+03    0.1152187394E+04
  1     78    0.10084E-02   -0.1870157883E+04   -0.1022508944E+04    0.2131434973E+04
  1     79    0.10214E-02    0.5168557794E+02   -0.6764728890E+03    0.6784445213E+03
  1     80    0.10343E-02   -0.4943405954E+03   -0.2010062354E+04    0.2069957316E+04
  1     81    0.10472E-02   -0.2482921129E+03   -0.8678377510E+01    0.2484437312E+03
  1     82    0.10601E-02   -0.7246545286E+03    0.1013121951E+04    0.1245608395E+04
  1     83    0.10731E-02   -0.1831277557E+04    0.3253505060E+03    0.1859954419E+04
  1     84    0.10860E-02    0.9124715832E+03    0.1602758072E+04    0.1844298736E+04
  1     85    0.10989E-02   -0.1089752718E+04    0.8422003843E+03    0.1377266305E+04
  1     86    0.11119E-02    0.1393225759E+04   -0.5634769063E+03    0.1502858689E+04
  1     87    0.11248E-02   -0.7987797006E+03   -0.1027746209E+04    0.1301657129E+04
  1     88    0.11377E-02   -0.1272228966E+03    0.6378309781E+03    0.6503952814E+03
  1     89    0.11506E-02   -0.1897062616E+03   -0.3790919434E+03    0.4239093857E+03
  1     90    0.11636E-02   -0.1178904907E+04    0.9747153885E+03    0.1529668875E+04
  1     91    0.11765E-02   -0.1875242086E+04    0.4139790223E+03    0.1920393582E+04
  1     92    0.11894E-02    0.1506909618E+03   -0.9486310026E+03    0.9605251403E+03
  1     93    0.12024E-02    0.1518109583E+04    0.3277913042E+03    0.1553094924E+04
  1     94    0.12153E-02    0.1081604634E+04    0.1273653061E+03    0.1089077823E+04
  1     95    0.12282E-02    0.4473543862E+03   -0.7789740408E+03    0.8982908789E+03
  1     96    0.12411E-02   -0.8054803166E+03   -0.7043716032E+03    0.1070017708E+04
  1     97    0.12541E-02   -0.8192023711E+03    0.4268512771E+03    0.9237394316E+03
  1     98    0.12670E-02    0.1462718155E+03   -0.4319044409E+03    0.4560009760E+03
  1     99    0.12799E-02   -0.4394437790E+03   -0.2438711944E+03    0.5025773517E+03
  1    100    0.12929E-02    0.4678462741E+03   -0.6660193550E+03    0.8139176355E+03


% itn    run  time           vxave               vyave               vaverun
  2      1    0.12929E-04    0.1983365477E+04    0.1105635120E+04    0.2270719629E+04
  2      2    0.25857E-04   -0.2079895038E+04   -0.8102151661E+03    0.2232131713E+04
  2      3    0.38786E-04    0.2537621548E+03    0.1892178230E+04    0.1909118563E+04
  2      4    0.51714E-04   -0.1231229684E+04    0.2456516723E+02    0.1231474718E+04
  2      5    0.64643E-04   -0.4439365580E+03   -0.1079456221E+04    0.1167178392E+04
  2      6    0.77571E-04    0.1262245730E+04   -0.6244057337E+03    0.1408242452E+04
  2      7    0.90500E-04    0.1301057816E+04    0.3241639769E+03    0.1340833220E+04
  2      8    0.10343E-03   -0.1269749119E+03   -0.1785146137E+04    0.1789656212E+04
  2      9    0.11636E-03   -0.4169972572E+03    0.3983322065E+03    0.5766760436E+03
  2     10    0.12929E-03   -0.8058801670E+01   -0.3384038332E+03    0.3384997763E+03
  2     11    0.14221E-03    0.8654999852E+02    0.1138344802E+04    0.1141630321E+04
  2     12    0.15514E-03   -0.8440254430E+03    0.2038071820E+03    0.8682835458E+03
  2     13    0.16807E-03   -0.2781869414E+02    0.7803437334E+03    0.7808394342E+03
  2     14    0.18100E-03    0.1076169345E+04    0.2909883353E+03    0.1114815980E+04
  2     15    0.19393E-03   -0.2010666177E+03   -0.8045388259E+02    0.2165654912E+03
  2     16    0.20686E-03   -0.6224055188E+03   -0.2423424671E+02    0.6228771376E+03
  2     17    0.21979E-03   -0.1116087359E+04   -0.8874699424E+03    0.1425922120E+04
  2     18    0.23271E-03    0.2706843652E+03   -0.3629734860E+03    0.4527910966E+03
  2     19    0.24564E-03   -0.1136605039E+04    0.3223926849E+03    0.1181443210E+04
