% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.10468E-03
  1      2    0.25857E-04    0.38815E-03
  1      3    0.38786E-04    0.83107E-03
  1      4    0.51714E-04    0.14656E-02
  1      5    0.64643E-04    0.22583E-02
  1      6    0.77571E-04    0.32572E-02
  1      7    0.90500E-04    0.44592E-02
  1      8    0.10343E-03    0.58795E-02
  1      9    0.11636E-03    0.72993E-02
  1     10    0.12929E-03    0.88822E-02
  1     11    0.14221E-03    0.10677E-01
  1     12    0.15514E-03    0.12681E-01
  1     13    0.16807E-03    0.14683E-01
  1     14    0.18100E-03    0.16857E-01
  1     15    0.19393E-03    0.18984E-01
  1     16    0.20686E-03    0.21436E-01
  1     17    0.21979E-03    0.24080E-01
  1     18    0.23271E-03    0.26883E-01
  1     19    0.24564E-03    0.29652E-01
  1     20    0.25857E-03    0.32752E-01
  1     21    0.27150E-03    0.35738E-01
  1     22    0.28443E-03    0.38758E-01
  1     23    0.29736E-03    0.42021E-01
  1     24    0.31029E-03    0.45434E-01
  1     25    0.32321E-03    0.48793E-01
  1     26    0.33614E-03    0.52451E-01
  1     27    0.34907E-03    0.56008E-01
  1     28    0.36200E-03    0.59471E-01
  1     29    0.37493E-03    0.63209E-01
  1     30    0.38786E-03    0.67298E-01
  1     31    0.40079E-03    0.71598E-01
  1     32    0.41371E-03    0.75997E-01
  1     33    0.42664E-03    0.80617E-01
  1     34    0.43957E-03    0.85415E-01
  1     35    0.45250E-03    0.90121E-01
  1     36    0.46543E-03    0.94639E-01
  1     37    0.47836E-03    0.99431E-01
  1     38    0.49129E-03    0.10412E+00
  1     39    0.50421E-03    0.10871E+00
  1     40    0.51714E-03    0.11375E+00
  1     41    0.53007E-03    0.11885E+00
  1     42    0.54300E-03    0.12415E+00
  1     43    0.55593E-03    0.12971E+00
  1     44    0.56886E-03    0.13456E+00
  1     45    0.58179E-03    0.14046E+00
  1     46    0.59471E-03    0.14618E+00
  1     47    0.60764E-03    0.15163E+00
  1     48    0.62057E-03    0.15684E+00
  1     49    0.63350E-03    0.16239E+00
  1     50    0.64643E-03    0.16783E+00
  1     51    0.65936E-03    0.17331E+00
  1     52    0.67229E-03    0.17861E+00
  1     53    0.68521E-03    0.18415E+00
  1     54    0.69814E-03    0.18991E+00
  1     55    0.71107E-03    0.19566E+00
  1     56    0.72400E-03    0.20080E+00
  1     57    0.73693E-03    0.20694E+00
  1     58    0.74986E-03    0.21315E+00
  1     59    0.76279E-03    0.21880E+00
  1     60    0.77571E-03    0.22471E+00
  1     61    0.78864E-03    0.23084E+00
  1     62    0.80157E-03    0.23717E+00
  1     63    0.81450E-03    0.24344E+00
  1     64    0.82743E-03    0.24940E+00
  1     65    0.84036E-03    0.25521E+00
  1     66    0.85329E-03    0.26077E+00
  1     67    0.86621E-03    0.26648E+00
  1     68    0.87914E-03    0.27319E+00
  1     69    0.89207E-03    0.28000E+00
  1     70    0.90500E-03    0.28607E+00
  1     71    0.91793E-03    0.29199E+00
  1     72    0.93086E-03    0.29862E+00
  1     73    0.94379E-03    0.30507E+00
  1     74    0.95671E-03    0.31083E+00
  1     75    0.96964E-03    0.31768E+00
  1     76    0.98257E-03    0.32471E+00
  1     77    0.99550E-03    0.33065E+00
  1     78    0.10084E-02    0.33753E+00
  1     79    0.10214E-02    0.34447E+00
  1     80    0.10343E-02    0.35138E+00
  1     81    0.10472E-02    0.35811E+00
  1     82    0.10601E-02    0.36455E+00
  1     83    0.10731E-02    0.37106E+00
  1     84    0.10860E-02    0.37778E+00
  1     85    0.10989E-02    0.38463E+00
  1     86    0.11119E-02    0.39025E+00
  1     87    0.11248E-02    0.39660E+00
  1     88    0.11377E-02    0.40234E+00
  1     89    0.11506E-02    0.40834E+00
  1     90    0.11636E-02    0.41555E+00
  1     91    0.11765E-02    0.42231E+00
  1     92    0.11894E-02    0.42922E+00
  1     93    0.12024E-02    0.43686E+00
  1     94    0.12153E-02    0.44369E+00
  1     95    0.12282E-02    0.45044E+00
  1     96    0.12411E-02    0.45738E+00
  1     97    0.12541E-02    0.46521E+00
  1     98    0.12670E-02    0.47173E+00
  1     99    0.12799E-02    0.47847E+00
  1    100    0.12929E-02    0.48470E+00


% itn    run  time           mean square displacement
  2      1    0.12929E-04    0.99475E-04
  2      2    0.25857E-04    0.34052E-03
  2      3    0.38786E-04    0.74726E-03
  2      4    0.51714E-04    0.13011E-02
  2      5    0.64643E-04    0.19790E-02
  2      6    0.77571E-04    0.28629E-02
  2      7    0.90500E-04    0.38070E-02
  2      8    0.10343E-03    0.49091E-02
  2      9    0.11636E-03    0.61734E-02
  2     10    0.12929E-03    0.74961E-02
  2     11    0.14221E-03    0.89849E-02
  2     12    0.15514E-03    0.10713E-01
  2     13    0.16807E-03    0.12464E-01
  2     14    0.18100E-03    0.14374E-01
  2     15    0.19393E-03    0.16498E-01
  2     16    0.20686E-03    0.18562E-01
  2     17    0.21979E-03    0.20748E-01
  2     18    0.23271E-03    0.23006E-01
  2     19    0.24564E-03    0.25440E-01
  2     20    0.25857E-03    0.27971E-01
