% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-04   -0.7092921160E+02   -0.1040831521E+04    0.1043245516E+04
  1      2    0.25857E-04    0.8241824794E+03   -0.2811545860E+01    0.8241872750E+03
  1      3    0.38786E-04   -0.1044351661E+04    0.6596115238E+03    0.1235215671E+04
  1      4    0.51714E-04   -0.1189155098E+04   -0.1496827878E+03    0.1198538604E+04
  1      5    0.64643E-04    0.1060480272E+04    0.1683758805E+04    0.1989889977E+04
  1      6    0.77571E-04   -0.1166224317E+03    0.6867327055E+03    0.6965648573E+03
  1      7    0.90500E-04    0.1055705326E+04    0.3376254911E+03    0.1108379316E+04
  1      8    0.10343E-03    0.1357685583E+04    0.1444846709E+04    0.1982647764E+04
  1      9    0.11636E-03    0.2067528622E+04    0.4133544496E+03    0.2108444096E+04
  1     10    0.12929E-03   -0.6563482829E+03    0.1785438849E+04    0.1902257856E+04
  1     11    0.14221E-03    0.5501798519E+03    0.2828018663E+03    0.6186071169E+03
  1     12    0.15514E-03    0.1309596394E+04   -0.2961336493E+03    0.1342660736E+04
  1     13    0.16807E-03   -0.7742001125E+02    0.4861839886E+03    0.4923095865E+03
  1     14    0.18100E-03   -0.5125380150E+03   -0.1753839076E+01    0.5125410157E+03
  1     15    0.19393E-03   -0.9947454344E+02   -0.9532014341E+03    0.9583778789E+03
  1     16    0.20686E-03    0.2872840962E+03    0.3664263124E+03    0.4656182926E+03
  1     17    0.21979E-03   -0.4110112402E+03   -0.5908752676E+03    0.7197665049E+03
  1     18    0.23271E-03    0.1308614045E+04   -0.4531907654E+03    0.1384865549E+04
  1     19    0.24564E-03    0.3288831412E+03   -0.1322758814E+04    0.1363031547E+04
  1     20    0.25857E-03   -0.2963413599E+03   -0.1267654735E+03    0.3223161288E+03
  1     21    0.27150E-03    0.3364246685E+03   -0.1618343237E+03    0.3733254692E+03
  1     22    0.28443E-03   -0.2078980253E+03    0.8150628478E+03    0.8411593397E+03
  1     23    0.29736E-03   -0.1129028733E+04   -0.1553900120E+03    0.1139671855E+04
  1     24    0.31029E-03    0.1387690187E+04   -0.4151368672E+03    0.1448455271E+04
  1     25    0.32321E-03   -0.8298831720E+02    0.1129143806E+04    0.1132189382E+04
  1     26    0.33614E-03    0.4597351108E+03   -0.1711687030E+04    0.1772351224E+04
  1     27    0.34907E-03    0.1516363079E+03    0.5723445350E+03    0.5920910713E+03
  1     28    0.36200E-03    0.1532577094E+04   -0.3293555841E+03    0.1567567431E+04
  1     29    0.37493E-03   -0.1209865006E+03    0.7794638321E+03    0.7887975652E+03
  1     30    0.38786E-03    0.6482445304E+03   -0.6214796375E+03    0.8980300168E+03
  1     31    0.40079E-03   -0.7181516115E+03    0.1325812817E+04    0.1507820070E+04
  1     32    0.41371E-03   -0.4492356772E+03    0.5776839520E+03    0.7318001381E+03
  1     33    0.42664E-03    0.9534878093E+03   -0.4985667698E+03    0.1075968320E+04
  1     34    0.43957E-03    0.1140092870E+04    0.5188953577E+03    0.1252622906E+04
  1     35    0.45250E-03   -0.9869712901E+03    0.4713224120E+03    0.1093735408E+04
  1     36    0.46543E-03    0.7176628491E+02   -0.5943345659E+03    0.5986517985E+03
  1     37    0.47836E-03    0.2715207672E+03   -0.1237015583E+04    0.1266464006E+04
  1     38    0.49129E-03   -0.7934768481E+02   -0.2806676132E+03    0.2916682433E+03
  1     39    0.50421E-03    0.3927850907E+03   -0.1185822908E+03    0.4102948783E+03
  1     40    0.51714E-03    0.7649992998E+02   -0.9388940097E+03    0.9420054144E+03
  1     41    0.53007E-03    0.7508796437E+03    0.6615237271E+03    0.1000716684E+04
  1     42    0.54300E-03   -0.4340166333E+03   -0.2916327404E+03    0.5228958723E+03
  1     43    0.55593E-03    0.1142663306E+04    0.1093536779E+03    0.1147883992E+04
  1     44    0.56886E-03    0.1973330453E+02   -0.5169867488E+03    0.5173632203E+03
  1     45    0.58179E-03   -0.1254851547E+04    0.2511162291E+03    0.1279731130E+04
  1     46    0.59471E-03   -0.8680208985E+03    0.1830838940E+03    0.8871189280E+03
  1     47    0.60764E-03    0.1384477223E+04   -0.1343807897E+04    0.1929403235E+04
  1     48    0.62057E-03    0.7671119070E+03   -0.9826119046E+03    0.1246590082E+04
  1     49    0.63350E-03    0.3668664925E+03    0.5014647374E+03    0.6213355826E+03
  1     50    0.64643E-03   -0.4918552397E+03    0.3024467838E+03    0.5774042205E+03
  1     51    0.65936E-03    0.7490598204E+03    0.1185711403E+04    0.1402498537E+04
  1     52    0.67229E-03   -0.2802663810E+03   -0.1239990610E+04    0.1271269427E+04
  1     53    0.68521E-03    0.9938086691E+02   -0.1025832442E+04    0.1030635123E+04
  1     54    0.69814E-03   -0.3957175807E+03    0.2313132228E+03    0.4583647137E+03
  1     55    0.71107E-03   -0.6425462775E+03    0.2266418200E+03    0.6813458984E+03
  1     56    0.72400E-03   -0.2489994794E+03    0.9527568506E+03    0.9847570041E+03
  1     57    0.73693E-03    0.9530094549E+02   -0.1224968682E+04    0.1228670233E+04
  1     58    0.74986E-03   -0.7297620668E+03    0.6650873971E+02    0.7327865219E+03
  1     59    0.76279E-03    0.2000557630E+04    0.9167904802E+03    0.2200621643E+04
  1     60    0.77571E-03    0.7525932155E+03   -0.1045224905E+04    0.1287979678E+04
  1     61    0.78864E-03    0.7658719957E+03    0.4657685770E+03    0.8963817720E+03
  1     62    0.80157E-03   -0.5185236105E+03   -0.6678463800E+03    0.8455090312E+03
  1     63    0.81450E-03    0.1030441447E+04    0.5897270911E+03    0.1187260552E+04
  1     64    0.82743E-03    0.1036179236E+04   -0.9181866585E+03    0.1384461682E+04
  1     65    0.84036E-03   -0.3226197579E+03   -0.8721753413E+03    0.9299318976E+03
