% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.15166E-03
  1      2    0.25857E-04    0.55567E-03
  1      3    0.38786E-04    0.12007E-02
  1      4    0.51714E-04    0.20225E-02
  1      5    0.64643E-04    0.30551E-02
  1      6    0.77571E-04    0.42413E-02
  1      7    0.90500E-04    0.56757E-02
  1      8    0.10343E-03    0.72787E-02
  1      9    0.11636E-03    0.91084E-02
  1     10    0.12929E-03    0.11108E-01
  1     11    0.14221E-03    0.13321E-01
  1     12    0.15514E-03    0.15731E-01
  1     13    0.16807E-03    0.18317E-01
  1     14    0.18100E-03    0.21027E-01
  1     15    0.19393E-03    0.23841E-01
  1     16    0.20686E-03    0.26891E-01
  1     17    0.21979E-03    0.29976E-01
  1     18    0.23271E-03    0.33406E-01
  1     19    0.24564E-03    0.36941E-01
  1     20    0.25857E-03    0.40450E-01
  1     21    0.27150E-03    0.44102E-01
  1     22    0.28443E-03    0.47898E-01
  1     23    0.29736E-03    0.51617E-01
  1     24    0.31029E-03    0.55375E-01
  1     25    0.32321E-03    0.59543E-01
  1     26    0.33614E-03    0.63783E-01
  1     27    0.34907E-03    0.67795E-01
  1     28    0.36200E-03    0.71980E-01
  1     29    0.37493E-03    0.75970E-01
  1     30    0.38786E-03    0.79888E-01
  1     31    0.40079E-03    0.84563E-01
  1     32    0.41371E-03    0.89457E-01
  1     33    0.42664E-03    0.93819E-01
  1     34    0.43957E-03    0.98947E-01
  1     35    0.45250E-03    0.10372E+00
  1     36    0.46543E-03    0.10859E+00
  1     37    0.47836E-03    0.11408E+00
  1     38    0.49129E-03    0.11925E+00
  1     39    0.50421E-03    0.12476E+00
  1     40    0.51714E-03    0.13043E+00
  1     41    0.53007E-03    0.13572E+00
  1     42    0.54300E-03    0.14120E+00
  1     43    0.55593E-03    0.14685E+00
  1     44    0.56886E-03    0.15258E+00
  1     45    0.58179E-03    0.15874E+00
  1     46    0.59471E-03    0.16477E+00
  1     47    0.60764E-03    0.17071E+00
  1     48    0.62057E-03    0.17694E+00
  1     49    0.63350E-03    0.18305E+00
  1     50    0.64643E-03    0.18979E+00
  1     51    0.65936E-03    0.19581E+00
  1     52    0.67229E-03    0.20272E+00
  1     53    0.68521E-03    0.20934E+00
  1     54    0.69814E-03    0.21692E+00
  1     55    0.71107E-03    0.22394E+00
  1     56    0.72400E-03    0.23140E+00
  1     57    0.73693E-03    0.23879E+00
  1     58    0.74986E-03    0.24617E+00
  1     59    0.76279E-03    0.25296E+00
  1     60    0.77571E-03    0.25968E+00
  1     61    0.78864E-03    0.26680E+00
  1     62    0.80157E-03    0.27436E+00
  1     63    0.81450E-03    0.28175E+00
  1     64    0.82743E-03    0.28975E+00
  1     65    0.84036E-03    0.29721E+00
  1     66    0.85329E-03    0.30461E+00
  1     67    0.86621E-03    0.31310E+00
  1     68    0.87914E-03    0.32095E+00
  1     69    0.89207E-03    0.32923E+00
  1     70    0.90500E-03    0.33745E+00
  1     71    0.91793E-03    0.34570E+00
  1     72    0.93086E-03    0.35312E+00
  1     73    0.94379E-03    0.36148E+00
  1     74    0.95671E-03    0.36962E+00
  1     75    0.96964E-03    0.37785E+00
  1     76    0.98257E-03    0.38594E+00
  1     77    0.99550E-03    0.39423E+00
  1     78    0.10084E-02    0.40230E+00
  1     79    0.10214E-02    0.41083E+00
  1     80    0.10343E-02    0.41923E+00
  1     81    0.10472E-02    0.42724E+00
  1     82    0.10601E-02    0.43490E+00
  1     83    0.10731E-02    0.44340E+00
  1     84    0.10860E-02    0.45228E+00
  1     85    0.10989E-02    0.45946E+00
  1     86    0.11119E-02    0.46640E+00
  1     87    0.11248E-02    0.47442E+00
  1     88    0.11377E-02    0.48324E+00
  1     89    0.11506E-02    0.49096E+00
  1     90    0.11636E-02    0.49826E+00
  1     91    0.11765E-02    0.50554E+00
  1     92    0.11894E-02    0.51294E+00
  1     93    0.12024E-02    0.52116E+00
  1     94    0.12153E-02    0.52874E+00
  1     95    0.12282E-02    0.53641E+00
  1     96    0.12411E-02    0.54367E+00
  1     97    0.12541E-02    0.55149E+00
  1     98    0.12670E-02    0.55869E+00
  1     99    0.12799E-02    0.56670E+00
  1    100    0.12929E-02    0.57513E+00


