% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-04    0.1991133989E+04    0.9957224100E+03    0.2226224984E+04
  1      2    0.25857E-04    0.1226972011E+03    0.3225604432E+03    0.3451084506E+03
  1      3    0.38786E-04    0.5386363990E+03    0.2192994068E+03    0.5815680529E+03
  1      4    0.51714E-04    0.1055491506E+04    0.3339095467E+03    0.1107049188E+04
  1      5    0.64643E-04    0.1392774091E+04   -0.5591354024E+02    0.1393895976E+04
  1      6    0.77571E-04   -0.8851286547E+02    0.1433495596E+03    0.1684744004E+03
  1      7    0.90500E-04   -0.8382949134E+03   -0.2296940009E+04    0.2445132259E+04
  1      8    0.10343E-03   -0.8044302527E+02   -0.9309559135E+03    0.9344249532E+03
  1      9    0.11636E-03    0.1833892168E+03   -0.6130308242E+02    0.1933640938E+03
  1     10    0.12929E-03   -0.3533852552E+03    0.1572303113E+04    0.1611526673E+04
  1     11    0.14221E-03    0.1667965349E+03   -0.4170133908E+03    0.4491338912E+03
  1     12    0.15514E-03    0.5160108015E+03    0.6240534598E+03    0.8097591419E+03
  1     13    0.16807E-03    0.5879854383E+03    0.5460427389E+03    0.8024272854E+03
  1     14    0.18100E-03   -0.1063673631E+04   -0.8099482861E+03    0.1336943462E+04
  1     15    0.19393E-03   -0.1026600720E+04   -0.1706038428E+03    0.1040679926E+04
  1     16    0.20686E-03    0.6129490166E+03    0.1037860826E+04    0.1205347083E+04
  1     17    0.21979E-03    0.2906026039E+03   -0.1244065754E+04    0.1277556055E+04
  1     18    0.23271E-03   -0.9431153729E+03   -0.1086786732E+04    0.1438948229E+04
  1     19    0.24564E-03    0.3253298185E+03    0.8725019961E+03    0.9311816279E+03
  1     20    0.25857E-03   -0.9642965652E+03    0.1987758557E+03    0.9845708235E+03
  1     21    0.27150E-03   -0.8324789120E+03    0.4630923292E+03    0.9526151606E+03
  1     22    0.28443E-03   -0.2066893219E+03   -0.5221162542E+03    0.5615388309E+03
  1     23    0.29736E-03   -0.2387880265E+03    0.1898263431E+03    0.3050471473E+03
  1     24    0.31029E-03    0.9585930629E+03   -0.1334601924E+03    0.9678389758E+03
  1     25    0.32321E-03    0.7784069463E+03   -0.9060506789E+03    0.1194506261E+04
