% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-03   -0.1102752949E+03    0.1805125013E+04    0.1808490241E+04
  1      2    0.25857E-03   -0.1060284863E+04    0.2177899243E+04    0.2422281797E+04
  1      3    0.38786E-03   -0.8595145087E+03   -0.5742794849E+03    0.1033712783E+04
  1      4    0.51714E-03   -0.1117766014E+03    0.2876784609E+03    0.3086306944E+03
  1      5    0.64643E-03    0.1075420844E+04    0.7026343306E+03    0.1284610833E+04
  1      6    0.77571E-03   -0.9589521271E+03   -0.3966344254E+03    0.1037741803E+04
  1      7    0.90500E-03    0.1746921713E+04    0.4527177109E+02    0.1747508228E+04
  1      8    0.10343E-02    0.7412246837E+03    0.4825602966E+03    0.8844650765E+03
  1      9    0.11636E-02    0.3348283002E+03    0.3466004990E+03    0.4819148229E+03
  1     10    0.12929E-02    0.3441624697E+03   -0.1348753470E+03    0.3696473519E+03
  1     11    0.14221E-02    0.7125498762E+03   -0.2330646786E+03    0.7496975860E+03
  1     12    0.15514E-02    0.3545859538E+04   -0.7704323156E+03    0.3628592815E+04
  1     13    0.16807E-02   -0.6458198374E+03   -0.1377909590E+03    0.6603556699E+03
  1     14    0.18100E-02   -0.3522034627E+03    0.7352330881E+03    0.8152392122E+03
  1     15    0.19393E-02   -0.6659655931E+03    0.1934971347E+04    0.2046368560E+04
  1     16    0.20686E-02   -0.2644157983E+03    0.6182050216E+03    0.6723787349E+03
  1     17    0.21979E-02    0.5364955971E+03    0.5944280085E+02    0.5397786326E+03
  1     18    0.23271E-02    0.3649589441E+03    0.2781091830E+03    0.4588461055E+03
  1     19    0.24564E-02   -0.3521191274E+03   -0.1116956279E+03    0.3694100610E+03
  1     20    0.25857E-02    0.5993316151E+03   -0.6767165625E+03    0.9039600051E+03
  1     21    0.27150E-02   -0.8267384646E+03   -0.3149687208E+03    0.8847043483E+03
  1     22    0.28443E-02   -0.5482635187E+02    0.2074469311E+04    0.2075193690E+04
  1     23    0.29736E-02    0.4906274405E+03    0.5415904097E+03    0.7307772966E+03
  1     24    0.31029E-02    0.1159210370E+04    0.1156688864E+03    0.1164966941E+04
  1     25    0.32321E-02   -0.6954412950E+03   -0.4800039885E+03    0.8450103099E+03
  1     26    0.33614E-02    0.2925973249E+03   -0.8351472517E+03    0.8849204069E+03
  1     27    0.34907E-02    0.1517388360E+04    0.1283999075E+03    0.1522811207E+04
  1     28    0.36200E-02   -0.1641712255E+04   -0.7470579454E+03    0.1803694736E+04
  1     29    0.37493E-02   -0.5265812037E+03   -0.2143589686E+03    0.5685398240E+03
  1     30    0.38786E-02    0.7141656846E+03    0.1963585439E+04    0.2089425854E+04
  1     31    0.40079E-02    0.2322130942E+04    0.1794869609E+03    0.2329057251E+04
  1     32    0.41371E-02   -0.1722211065E+04    0.9146899068E+03    0.1950043225E+04
  1     33    0.42664E-02    0.1522329724E+04   -0.1010851032E+04    0.1827377246E+04
  1     34    0.43957E-02   -0.7669946055E+03   -0.2219731578E+03    0.7984690399E+03
  1     35    0.45250E-02   -0.7075900118E+02    0.4398831502E+03    0.4455379019E+03
  1     36    0.46543E-02    0.6855250918E+03   -0.2347981314E+03    0.7246204620E+03
  1     37    0.47836E-02    0.6766272051E+03   -0.6967365796E+03    0.9712189434E+03
  1     38    0.49129E-02    0.2206067622E+03    0.3836354952E+03    0.4425421299E+03
  1     39    0.50421E-02    0.3887146429E+03   -0.1293662531E+03    0.4096763369E+03
  1     40    0.51714E-02    0.1800093754E+04   -0.1177432569E+04    0.2150973031E+04
  1     41    0.53007E-02   -0.1535107112E+03   -0.1530915680E+04    0.1538592980E+04
  1     42    0.54300E-02   -0.6428461661E+02   -0.9604291206E+03    0.9625781047E+03
  1     43    0.55593E-02   -0.7532355959E+03   -0.4477149519E+02    0.7545650070E+03
  1     44    0.56886E-02    0.9018082486E+03    0.3324952533E+03    0.9611509822E+03
  1     45    0.58179E-02   -0.1129598774E+04   -0.7748845414E+03    0.1369831903E+04
  1     46    0.59471E-02    0.8831576367E+03   -0.1164159091E+04    0.1461243922E+04
  1     47    0.60764E-02    0.1404752709E+04    0.2724622833E+03    0.1430931819E+04
  1     48    0.62057E-02    0.1031731000E+04    0.1661937799E+04    0.1956145726E+04
  1     49    0.63350E-02   -0.9996026032E+03    0.1056962795E+04    0.1454776861E+04
  1     50    0.64643E-02    0.9927833980E+03   -0.1244497218E+03    0.1000553151E+04
  1     51    0.65936E-02   -0.5718062424E+03   -0.4275112033E+02    0.5734021601E+03
  1     52    0.67229E-02    0.6786936032E+02   -0.9727163806E+03    0.9750812310E+03
  1     53    0.68521E-02   -0.8062471631E+03    0.2490038324E+02    0.8066315869E+03
  1     54    0.69814E-02    0.8249604474E+03    0.1195659593E+02    0.8250470895E+03
  1     55    0.71107E-02    0.8408316210E+02   -0.4841203743E+03    0.4913680036E+03
  1     56    0.72400E-02    0.4125466840E+03   -0.3744256525E+03    0.5571259604E+03
  1     57    0.73693E-02   -0.1291489922E+03   -0.5373881677E+03    0.5526893386E+03
  1     58    0.74986E-02   -0.8827834980E+03    0.8464649479E+02    0.8868324157E+03
  1     59    0.76279E-02   -0.5321798935E+03   -0.9964227468E+03    0.1129634334E+04
  1     60    0.77571E-02    0.2375623260E+03   -0.2142617405E+04    0.2155747017E+04
  1     61    0.78864E-02   -0.5580584326E+03   -0.2835881497E+02    0.5587785219E+03
